Div ARTEFACT DNA DNA/Academ-1 DNA/Academ-2 DNA/Academ-2? DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-EnSpm? DNA/CMC-Mirage DNA/CMC-Transib DNA/Crypton DNA/Crypton-A DNA/Crypton-H DNA/Crypton-I DNA/Crypton-V DNA/Crypton? DNA/Dada DNA/Ginger DNA/Ginger-1 DNA/Ginger-2 DNA/IS3EU DNA/Kolobok DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/Kolobok-T2? DNA/Kolobok? DNA/MULE DNA/MULE-MuDR DNA/MULE-MuDR? DNA/MULE-NOF DNA/MULE-NOF? DNA/Maverick DNA/Merlin DNA/P DNA/P-Fungi DNA/PIF-Harbinger DNA/PIF-Harbinger? DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/PiggyBac? DNA/Sola-1 DNA/Sola-2 DNA/Sola-2? DNA/Sola-3 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Pogo? DNA/TcMar-Stowaway DNA/TcMar-Stowaway? DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/TcMar? DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Ac? DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-Tip100? DNA/hAT-hAT1 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hAT6 DNA/hAT-hATm DNA/hAT-hATw DNA/hAT-hATx DNA/hAT-hobo DNA/hAT? DNA? DNA?/hAT? LINE LINE/CR1 LINE/CR1-Zenon LINE/CRE LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-DRE LINE/L1-Tx1 LINE/L2 LINE/L2? LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/R2-Hero LINE/R2-NeSL LINE/RTE-BovB LINE/RTE-ORTE LINE/RTE-RTE LINE/RTE-X LINE/Rex-Babar LINE? LINE?/Penelope? LTR LTR/Bhikhari LTR/Copia LTR/Copia? LTR/DIRS LTR/ERV-Foamy LTR/ERV1 LTR/ERV1? LTR/ERV4 LTR/ERVK LTR/ERVK? LTR/ERVL LTR/ERVL-MaLR LTR/ERVL? LTR/Gypsy LTR/Gypsy? LTR/Ngaro LTR/Pao Other Other/DNA_virus RC/Helitron RC/Helitron? Retroposon Retroposon? SINE/5S-Sauria-RTE SINE/7SL SINE/B4 SINE/ID SINE/L2 SINE/MIR SINE/U SINE/tRNA SINE/tRNA-5S SINE/tRNA-7SL SINE/tRNA-CR1 SINE/tRNA-Ceph SINE/tRNA-Core SINE/tRNA-Core-L2 SINE/tRNA-Core-RTE SINE/tRNA-Deu SINE/tRNA-Deu-I SINE/tRNA-Deu-L2 SINE/tRNA-Deu-RTE SINE/tRNA-I SINE/tRNA-L2 SINE/tRNA-Meta SINE/tRNA-RTE SINE/tRNA-V Satellite Satellite/Y-chromosome Satellite/acromeric Satellite/centromeric Satellite/macro Satellite/telomeric Simple_repeat Unknown rRNA snRNA tRNA 
10 0 1038565 89355 6063 3515 506002 36167 1309813 17955 0 623647 5082 24 193211 0 1197 48 449 70573 189250 12260 1885 493437 0 631767 773 381 53424 4744 94007 1322 43 0 89847 137882 1110394 10675 49748 0 162481 7223 106682 32 183707 859651 4 95354 779 1483593 262 73777 45821 0 4177 264 398154 0 137016 50 0 0 0 433945 3888 273434 1046909 0 135506 51592 804 158593 2234027 0 0 0 223685 0 2540990 421071 285976 102 655 52 0 24712 3018309 20736 16510 0 97 425 810 0 73486 2682608 0 821238 230783 214 0 26 0 194 1161481 0 0 128 97654 162 0 2889 60 24967 0 151 0 5055 81 0 368 102 0 0 0 420025 0 0 92000 0 561 316888 0 0 0 0 0 21 57 0 1559 8878 588722 0 43 0 0 530 0 0 0 0 0 0 0 0 12827 0 0 12830 0 0 0 0 0 0 9356625 8686 1441 2090 
11 0 976735 80989 6747 5383 540279 40989 1238004 22315 0 546668 6110 76 212695 0 1281 50 670 83282 147506 12142 6892 492367 37 624280 1837 194 120714 7395 100179 2074 40 0 106417 142435 962921 5417 34579 0 160923 6437 107518 86 175898 802026 0 89925 2071 1247798 1361 86111 68272 0 2617 20 387143 0 118398 123 90 0 0 422328 3012 236718 989105 0 123539 62895 109 148560 2117421 0 74 0 222702 0 2396765 183548 261973 37 554 0 0 32758 2421054 11496 10189 0 85 201 1342 0 65639 2276743 0 914502 319443 143 0 16 67 3293 848561 0 0 413 108678 229 0 5806 0 29709 0 368 0 4049 30 0 666 100 0 0 0 474390 0 355 78927 0 679 234959 0 0 49 0 0 0 55 0 1092 8573 519031 0 0 0 0 261 0 0 0 0 0 0 0 0 9455 0 0 20820 0 0 0 0 0 0 11487880 886 1321 1202 
12 0 889242 84249 5216 8701 535024 55464 1253136 31171 0 595105 5476 46 262773 0 1570 136 758 77750 142675 8808 11255 501593 46 419917 1203 368 137372 5782 91302 2128 110 0 94922 167198 1146652 3010 43003 0 171743 3611 103190 111 159503 708458 0 110498 2200 1119741 1463 54872 72127 0 4701 105 337767 0 120893 56 0 27 56 458366 4974 258115 915996 0 107135 37103 734 140992 2086159 46 0 0 205003 0 2107524 169054 249956 155 774 0 0 27821 2618712 6865 17104 0 162 268 1270 0 82946 2609953 0 1206242 231198 193 0 0 0 2408 654016 0 36 397 64358 386 0 5817 0 19276 0 522 0 4531 101 0 318 89 158 0 0 465791 0 756 75738 0 4552 223924 0 0 0 0 0 85 21 0 1078 6584 518092 0 0 0 0 642 0 0 0 0 0 0 0 0 9004 0 61 16638 0 0 0 62 0 0 14172155 1422 2157 955 
13 0 830091 78321 5830 12158 497083 57429 1207371 26822 0 541641 6228 67 213842 0 1646 0 1458 111216 160671 7827 13121 420007 65 552118 2447 340 115548 5451 108194 2553 111 42 113572 180706 1124046 2940 33778 0 177966 2276 90971 548 144508 752963 51 124812 3740 918514 2116 54140 70728 0 4458 92 295610 0 108055 311 272 0 0 438487 4810 284214 793990 0 109434 39946 1487 111464 2100406 0 0 43 183272 0 1932892 153908 254914 719 900 0 0 26741 2187103 4189 10336 1 689 441 1880 0 75741 2627737 0 861059 213628 112 0 303 59 12980 484792 0 0 344 51390 563 0 6053 45 24354 0 214 0 5099 117 0 656 97 0 0 0 575651 115 286 78608 0 5149 218406 0 0 0 121 0 16 0 0 1421 5403 590530 0 0 0 0 815 0 0 0 0 0 0 0 0 5107 0 0 20202 0 0 0 0 0 0 14396191 2282 1830 1478 
14 0 754454 75924 6565 14587 484447 53527 1076179 25796 0 529123 7670 15 221648 0 962 86 936 89778 147958 5413 7743 395070 0 521344 3141 413 78610 11693 103950 3029 46 0 83656 181957 1081692 2691 32384 0 173969 3085 87898 62 153481 650469 104 106570 1980 837385 2893 43164 60912 0 2374 282 275360 0 117788 139 204 0 0 450822 5454 250412 768916 0 97835 32176 5913 89016 1999865 0 0 0 187050 0 1886238 147702 248379 1481 690 0 0 13153 2005623 4479 11134 70 591 531 3160 0 199720 2493787 0 660445 223904 448 0 83 0 1643 431366 0 109 599 35715 1487 63 10594 77 22917 0 504 0 7088 41 0 839 27 40 0 0 470108 0 1225 67174 0 236 233862 0 0 0 5201 0 0 42 0 1540 2281 601482 0 0 0 0 883 0 0 0 0 0 0 0 6 3996 3 61 30522 0 0 0 0 0 0 13534186 2111 1915 804 
15 0 641752 68460 9764 14302 440927 52451 1022207 19983 0 543901 11228 14 205823 0 1924 297 915 89641 175920 5494 5722 374792 41 414671 4120 479 70637 13143 97425 4085 0 0 83605 135140 977895 2275 33532 0 149720 2025 90699 226 144484 562832 101 107518 1473 760837 3300 31576 57577 0 1397 565 212021 0 109259 593 420 42 0 420124 5369 181518 734216 0 89029 32016 2568 88824 1977036 0 0 130 201022 0 1745151 131070 270263 1736 944 0 0 12098 1905258 2326 9471 0 223 61 4035 0 169269 2507900 0 674921 179711 150 132 704 58 1264 341717 0 0 237 32285 1804 0 2392 0 28937 0 260 0 5347 0 0 854 0 234 0 0 368387 0 1593 78188 0 3987 197710 0 0 0 5195 0 0 44 0 1011 2120 537861 0 0 0 0 932 0 0 0 0 0 0 0 57 1732 10 0 33351 0 0 0 67 0 0 12292905 4505 1362 965 
16 0 588856 75631 5043 15432 442725 39591 963674 17648 0 501474 9940 81 191407 0 2481 90 1166 96736 190189 3041 9622 346136 0 439491 3698 606 80455 6793 78061 2902 248 0 89223 118511 878683 5137 35865 0 140004 1255 56548 0 158303 512689 156 102127 1951 721403 5193 39308 45695 0 1043 218 183192 0 101902 544 339 65 14 393596 6796 211588 720369 0 86782 42367 725 70031 1820867 0 0 82 180386 0 1553944 179854 271602 889 1717 0 0 10135 1656746 906 8333 0 396 184 2813 152 97288 2628761 0 780407 167952 422 54 1186 0 1350 257642 0 47 227 19493 1449 0 7450 74 17949 0 192 84 6075 38 56 876 109 161 0 0 324617 0 3220 106263 0 2480 227789 0 0 0 120 0 0 244 0 1330 1785 478163 0 0 0 0 657 0 0 0 0 0 0 0 55 1134 0 0 26954 0 0 0 63 0 0 10854176 2923 1474 2017 
17 0 594521 81365 7401 14567 437330 41099 895725 19522 48 501957 7823 156 252870 0 3609 466 1261 96177 169273 2585 16045 308889 0 392380 3676 632 81592 8088 89841 4796 177 0 71802 118804 732142 7649 35640 0 152299 1335 59337 738 149651 498031 312 93139 2168 616834 8615 42888 43821 0 479 549 157244 0 89409 584 632 13 0 366523 7820 225134 663647 0 81315 66688 983 72687 1782761 0 0 0 170937 0 1455412 123482 255168 387 968 0 171 12440 1582273 2273 8970 0 518 796 3461 44 145394 2708060 0 905707 149884 324 168 2616 214 2517 208135 0 0 459 18103 1220 0 3854 0 12934 0 296 0 6253 13 0 729 108 52 80 0 321995 127 1448 141429 0 3125 233303 41 0 0 121 2 31 0 0 1351 1185 455381 0 0 0 0 599 0 0 0 0 0 0 0 86 1877 0 0 28919 0 0 0 0 0 0 10302349 688 711 1294 
18 0 568630 90266 4089 8449 447523 37443 803546 19228 0 492142 17619 134 215683 0 3228 568 1194 100629 171120 4030 8719 272355 82 483644 4556 664 107707 6766 84852 3889 0 0 95799 112242 683060 4546 36283 88 140365 2378 59342 524 128565 451007 362 81368 1022 612706 6902 30799 27374 0 1743 297 126517 0 87527 496 493 151 0 303599 9811 170518 623134 0 76687 29014 394 64532 1681342 0 44 85 134417 0 1315814 158116 237631 474 1212 0 0 2985 1420799 2016 5042 0 377 430 3708 75 234095 2647577 0 869969 173864 106 66 4518 102 4535 176374 0 53 252 14100 1262 0 2111 0 13141 0 492 0 6511 0 76 1243 0 166 0 0 332733 63 1376 191932 0 2610 238500 60 0 0 0 0 0 75 0 956 296 423989 0 0 51 0 711 0 0 0 0 0 0 0 6 2369 70 0 28753 0 67 0 0 0 0 9093933 626 455 1447 
19 0 582963 84149 5290 7833 378047 24399 756455 20166 0 475624 14072 445 207423 0 1973 930 2135 106971 156549 3291 19897 242801 47 436792 4224 851 152934 6578 68795 3215 80 0 92803 115467 642981 3947 34136 0 122107 1861 53298 316 117043 400665 777 76611 1176 513118 5675 30802 21630 0 1383 399 102635 0 69705 763 897 41 0 276266 14763 119794 588161 0 84152 17235 485 57435 1423162 0 58 0 111594 0 1204227 203808 227038 356 1706 0 0 11464 1311624 1516 6300 0 202 238 4241 9 157691 2543943 0 928951 159555 273 59 5737 494 5368 149731 0 0 464 14394 2443 0 1040 0 12549 0 724 0 6013 151 149 1205 0 114 0 0 339046 69 1053 188203 0 12918 224621 0 0 17 120 0 130 79 0 407 642 342364 0 0 136 0 277 0 0 0 0 0 0 0 172 2020 0 0 37775 0 0 0 0 0 0 7052250 1736 1043 2083 
