Div ARTEFACT DNA DNA/Academ-1 DNA/Academ-2 DNA/Academ-2? DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-EnSpm? DNA/CMC-Mirage DNA/CMC-Transib DNA/Crypton DNA/Crypton-A DNA/Crypton-H DNA/Crypton-I DNA/Crypton-V DNA/Crypton? DNA/Dada DNA/Ginger DNA/Ginger-1 DNA/Ginger-2 DNA/IS3EU DNA/Kolobok DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/Kolobok-T2? DNA/Kolobok? DNA/MULE DNA/MULE-MuDR DNA/MULE-MuDR? DNA/MULE-NOF DNA/MULE-NOF? DNA/Maverick DNA/Merlin DNA/P DNA/P-Fungi DNA/PIF-Harbinger DNA/PIF-Harbinger? DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/PiggyBac? DNA/Sola-1 DNA/Sola-2 DNA/Sola-2? DNA/Sola-3 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Pogo? DNA/TcMar-Stowaway DNA/TcMar-Stowaway? DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/TcMar? DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Ac? DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-Tip100? DNA/hAT-hAT1 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hAT6 DNA/hAT-hATm DNA/hAT-hATw DNA/hAT-hATx DNA/hAT-hobo DNA/hAT? DNA? DNA?/hAT? LINE LINE/CR1 LINE/CR1-Zenon LINE/CRE LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-DRE LINE/L1-Tx1 LINE/L2 LINE/L2? LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/R2-Hero LINE/R2-NeSL LINE/RTE-BovB LINE/RTE-ORTE LINE/RTE-RTE LINE/RTE-X LINE/Rex-Babar LINE? LINE?/Penelope? LTR LTR/Bhikhari LTR/Copia LTR/Copia? LTR/DIRS LTR/ERV-Foamy LTR/ERV1 LTR/ERV1? LTR/ERV4 LTR/ERVK LTR/ERVK? LTR/ERVL LTR/ERVL-MaLR LTR/ERVL? LTR/Gypsy LTR/Gypsy? LTR/Ngaro LTR/Pao Other Other/DNA_virus RC/Helitron RC/Helitron? Retroposon Retroposon? SINE/5S-Sauria-RTE SINE/7SL SINE/B4 SINE/ID SINE/L2 SINE/MIR SINE/U SINE/tRNA SINE/tRNA-5S SINE/tRNA-7SL SINE/tRNA-CR1 SINE/tRNA-Ceph SINE/tRNA-Core SINE/tRNA-Core-L2 SINE/tRNA-Core-RTE SINE/tRNA-Deu SINE/tRNA-Deu-I SINE/tRNA-Deu-L2 SINE/tRNA-Deu-RTE SINE/tRNA-I SINE/tRNA-L2 SINE/tRNA-Meta SINE/tRNA-RTE SINE/tRNA-V Satellite Satellite/Y-chromosome Satellite/acromeric Satellite/centromeric Satellite/macro Satellite/telomeric Simple_repeat Unknown rRNA snRNA tRNA 
20 0 557153 59860 3988 7408 414490 25107 692454 20541 0 438936 12565 231 185908 0 2451 721 1560 104768 137574 3000 14358 222085 0 454031 4047 535 188291 6119 54737 2873 334 0 67206 88413 617886 4005 38253 0 109499 932 47782 11 98605 343348 1009 86959 1501 480762 5127 25520 11961 0 791 291 92655 0 60967 494 414 0 32 237070 12488 100967 503016 0 85189 18981 1529 40195 1256205 61 0 96 102742 0 1128685 340966 187360 674 1645 0 0 2861 1243215 604 6348 0 671 897 5638 0 110313 2694998 0 868570 139350 904 0 3230 135 3361 138604 0 0 344 13623 3322 0 1725 2 10691 0 791 0 5797 173 55 1101 0 109 0 0 370959 0 3648 130591 0 6651 247152 46 0 0 0 0 1 139 0 702 2291 326740 0 79 54 0 190 0 46 0 0 0 13 57 331 568 0 0 26818 0 0 0 0 0 0 5280243 857 528 455 
21 0 529353 52346 3944 5048 376676 19841 652725 19158 0 445436 6819 277 178243 0 2638 723 1484 93935 131475 3614 15277 201366 227 396785 5049 740 161474 5960 61095 2913 515 0 72580 62248 576567 1754 25773 0 95134 1545 50503 184 79665 304251 1458 85226 1784 410140 7461 17246 13596 0 517 100 73060 0 45314 862 939 0 0 224781 14104 99196 443159 0 72095 18107 305 41566 1130144 0 0 119 79729 0 1028570 234913 171601 2397 2131 0 18 5462 1138842 1907 3102 59 496 671 5538 0 96768 2597264 0 919271 99829 1569 0 3320 246 3933 133030 0 0 570 6678 3218 0 436 0 13966 0 397 0 7160 0 195 1381 20 62 82 254 304235 0 5780 136741 0 5813 226374 0 0 0 0 55 0 169 0 676 535 287229 0 0 48 0 422 0 0 0 0 7 0 0 381 838 84 20 32322 0 78 0 0 0 0 3769390 1175 244 1248 
22 0 484594 42269 2151 1817 359179 23683 598323 20020 0 472332 10726 64 148482 0 1868 1552 1181 83769 120079 3924 12772 178062 205 347609 6492 1086 168635 7929 55808 2997 441 0 67638 53153 516739 2626 23873 0 109892 451 36014 244 82878 295420 908 79903 1423 408811 6164 9719 8409 119 154 11 65158 0 39807 856 632 0 0 206586 14589 92296 372386 0 55371 13508 483 37114 1029061 0 66 0 71625 0 880485 201966 154482 1390 2182 0 0 5491 1101339 926 2497 0 840 499 6131 248 98306 2439013 0 771666 101724 213 0 6563 34 2865 148972 0 0 441 9721 12067 7 293 29 13943 0 387 0 6102 0 0 874 13 0 0 0 240551 0 3671 103816 0 7958 195747 0 0 0 0 110 85 211 0 186 1121 266675 0 0 14 0 189 0 0 0 0 10 0 0 72 1288 288 74 28550 64 37 0 0 0 0 2848585 1247 147 662 
23 0 427516 33034 3107 2352 359979 17328 579901 19798 0 437652 6955 121 146667 53 1739 918 2808 76190 100402 4063 8448 143957 121 225050 4093 1438 130965 8923 49091 3547 429 0 58522 41040 492996 2105 22281 0 79858 1180 29649 -2 54266 237901 3842 65323 1813 359939 4803 11226 9359 0 540 508 64734 0 33241 196 577 0 1 174276 12450 68673 320142 0 43917 13391 751 34615 829560 0 0 0 56403 0 775605 156598 125310 1696 1368 0 0 7689 960651 403 3500 0 581 583 5422 0 145343 2029574 80 704372 107248 812 56 3111 0 4613 176425 51 85 545 9449 24147 0 176 0 20868 227 376 0 6135 340 55 1190 0 192 0 0 196686 0 9430 72185 0 9505 183097 63 0 0 0 55 0 212 0 457 739 243833 0 1 0 0 232 57 0 0 0 0 0 0 357 647 0 0 65101 0 0 24 27 0 0 2469123 855 769 935 
24 0 411892 27028 1413 1477 295543 11209 490419 18958 0 394724 6876 0 136607 0 2387 2833 1480 71706 88104 3900 10775 123283 69 178234 3552 2078 120928 8954 42006 3087 436 0 68333 35518 377455 1483 20243 60 66986 700 27472 147 56070 188796 4750 67550 687 273173 3514 8879 4978 177 575 136 63850 0 28839 179 678 0 0 156667 12024 71899 254970 0 36588 14694 368 27195 696123 0 99 0 46442 0 714149 133776 145361 2220 1222 0 0 5349 759336 1863 2420 0 965 1420 5121 0 85470 1787925 0 678803 92417 90 0 1602 117 4494 182304 0 0 1472 8189 9083 0 548 0 21210 0 301 0 5345 68 49 858 0 32 0 280 185897 0 8756 67429 0 9741 137969 0 0 0 0 0 24 157 0 0 1278 215343 0 0 0 0 99 0 164 24 52 0 0 0 281 803 62 0 42320 0 0 0 0 0 0 1427124 2233 878 1061 
25 0 351512 23409 1947 1824 249047 12276 426876 21033 0 340807 10275 0 131693 0 3365 1963 1408 62003 67083 3223 8319 95207 207 203385 4395 1628 89550 8477 72321 3618 1447 0 68815 32555 329808 1859 16480 0 53235 944 27516 0 40455 150052 6714 64439 822 219043 4101 8282 4566 0 1009 353 58015 0 17899 349 519 108 0 127102 12360 47866 217022 0 23218 12727 503 27714 649610 0 16 0 39833 0 602713 71458 144779 1208 1065 0 0 6790 712981 1224 2568 56 1025 1716 6790 0 46973 1750732 0 667294 100562 311 0 1688 0 5109 189428 0 73 183 5956 14481 47 22 33 19192 40 453 0 6211 332 176 1281 18 64 0 0 278385 167 8954 43931 0 7493 112385 0 0 0 0 218 0 95 0 318 660 181936 0 0 60 0 228 0 67 70 0 0 0 0 281 542 205 0 28633 0 38 0 0 0 0 1100499 296 1489 1235 
26 0 293688 17112 1369 554 246329 10246 414759 21136 0 279603 4814 0 109740 0 1357 3678 1588 60855 57183 5406 8486 74786 8 258083 4519 1283 65124 9595 44897 2098 423 0 110588 30092 298176 2399 12001 0 43256 439 23525 25 35299 159741 8647 63016 795 176314 4268 6580 3663 57 435 95 49517 0 12173 324 1112 0 0 108371 14081 32880 185254 0 20253 12366 845 24571 540012 0 133 63 37452 0 553785 46438 170056 2924 1494 0 0 4635 669283 2303 1417 0 247 1907 8594 0 39840 1886931 0 599806 91345 248 0 1382 0 2729 164915 0 1 510 7416 9337 105 140 95 13158 0 333 0 4020 239 64 2513 28 905 0 1034 258210 65 5135 37540 0 12921 130129 0 0 0 118 98 0 201 0 0 1164 156462 0 0 16 0 243 0 70 0 0 42 0 0 176 676 0 64 44366 0 0 0 35 0 0 864413 959 654 545 
27 0 255472 15850 1408 490 247688 10121 353916 18408 0 267980 7852 0 96257 0 2928 4969 1584 50048 47711 4414 10883 52249 174 243852 3831 1106 50504 14729 29072 2382 1073 0 70924 14285 244750 1126 14441 0 45011 347 18471 17 31305 148062 3984 71344 700 173788 3648 5917 3076 0 91 587 90493 0 11817 234 923 0 0 103305 12660 25099 141550 0 19703 9526 576 17830 419341 0 17 0 28167 86 629434 33031 165404 1115 1198 0 0 5499 701687 729 1823 0 985 2015 9236 0 49625 1856477 0 559835 81323 770 0 1244 0 3082 191189 0 78 1038 4559 4860 0 489 0 12752 0 193 0 3968 126 152 1663 138 0 0 199 230612 131 6364 19880 0 2519 189169 0 0 0 0 5 0 462 0 0 756 135333 132 0 0 0 0 0 0 58 0 0 0 0 400 716 291 100 45642 0 0 1092 0 0 0 684720 338 778 529 
28 0 215345 11666 1152 824 178098 6759 300307 21354 0 248338 6073 0 68270 0 1236 6256 605 39037 43345 3730 7557 38821 72 230137 7198 621 35575 21812 20794 1374 2711 0 54668 14671 232970 3067 12811 0 48087 606 18593 0 23316 115117 7322 54712 461 143129 3991 5782 3564 0 189 232 107297 0 7265 74 1361 0 -4 60447 14882 27268 117770 0 14501 8420 456 20807 324299 0 0 0 17400 0 481786 25088 127306 1004 1163 0 0 6052 831947 1304 851 0 971 1603 6523 0 76846 2083511 0 628179 64882 995 59 799 0 2787 158220 0 431 472 4117 9511 0 353 0 10925 296 89 0 3823 125 0 665 0 38 0 43 165675 0 4266 27251 0 3786 107075 0 52 0 0 62 0 128 0 78 1272 111174 132 0 0 60 40 0 0 114 0 0 6 0 382 243 135 92 46426 0 0 0 0 0 0 566217 991 156 430 
29 0 179071 9341 898 608 140556 6904 259433 15122 0 245254 6225 37 56668 0 759 9946 912 43850 37728 2484 11165 28659 0 250356 4860 2182 26643 24127 22614 1586 723 0 56637 11285 199783 2605 11492 0 54933 256 16836 156 17820 95780 6333 34542 539 126950 3642 6715 1308 0 78 0 62718 0 4507 36 1620 0 0 56147 15074 15289 96192 0 8530 10241 459 9669 266796 0 0 0 18495 0 400815 19885 91396 727 354 0 0 4327 770935 753 908 0 339 3146 5555 0 124927 2223291 0 634191 60381 299 0 3992 132 1025 119654 0 0 560 2246 6662 0 188 0 12433 0 720 0 1740 0 81 507 0 252 0 2642 127242 234 5658 20455 0 1573 69325 0 0 0 0 0 0 88 0 0 496 87451 0 0 0 0 0 0 51 0 0 0 0 0 116 196 63 0 40015 0 0 202 0 120 0 457577 284 156 493 
30 0 167557 11039 424 209 113837 10609 219399 11566 0 242202 2412 0 52520 0 1503 8815 1049 30898 30998 2289 7226 17032 166 159910 4633 888 14595 18667 24876 1482 400 0 45079 9147 145161 365 12271 0 52208 373 15475 0 14300 84690 2544 32043 541 114492 2331 7236 1151 0 82 86 55141 0 4985 110 508 0 79 45986 14459 16781 74129 0 8576 5386 141 11580 218814 0 0 0 14211 0 352824 15277 62956 214 1250 0 0 8936 733692 1183 1352 0 504 1807 3963 118 271197 2005213 0 585626 61176 907 0 722 0 1391 94286 0 177 1246 4126 2901 0 146 0 9843 0 1539 0 2251 0 179 1282 0 277 0 2064 99050 0 7991 9331 0 621 53483 0 0 0 0 0 0 17 0 0 0 75590 0 0 0 0 0 0 0 9 0 0 0 0 246 112 174 0 23859 0 0 176 0 0 0 370172 276 0 10 
31 0 142768 8386 214 1350 102280 9844 180029 11439 0 224355 5660 0 47755 0 2011 9007 1024 24634 24487 865 7662 10471 433 162971 1554 1259 12890 8708 18681 1175 1110 0 42181 6749 128420 679 9056 0 39715 111 13243 0 14046 73597 2815 22043 952 101646 3985 8097 979 0 253 26 66602 0 2648 18 1053 83 159 35603 10880 14394 70666 0 5822 5882 406 5199 190283 0 0 0 10537 0 410093 16146 56450 442 458 0 0 6527 781810 895 793 0 620 1309 6025 0 231453 1672013 0 495403 71550 319 0 1103 0 650 80429 0 100 1326 2277 12980 0 111 0 10248 0 2307 0 3208 103 84 532 0 32 0 441 97890 0 8244 14849 0 7186 53773 0 0 0 0 248 0 40 0 0 999 58279 0 0 0 0 75 0 0 0 0 0 0 0 198 141 68 0 26519 0 0 0 0 0 0 298305 141 181 87 
32 0 129283 11323 341 410 88178 12784 138387 9259 0 189811 4388 11 38965 0 2453 7981 848 20364 17144 671 4780 6853 0 153836 2241 1512 8496 6534 21149 524 907 0 46909 6949 130561 228 7952 0 41545 169 16775 195 13154 58916 2221 16550 108 101205 3514 5912 903 0 751 0 60300 0 2447 16 463 0 0 23035 13211 15616 65831 0 7556 4367 336 7835 160081 0 0 0 7865 0 383924 10810 44590 36 335 0 0 10095 762299 1856 1443 0 111 1059 4804 0 149118 1664938 0 527215 88043 366 0 746 0 714 73446 0 169 123 5284 19557 0 868 0 28396 0 1063 0 2082 91 0 751 0 0 0 547 85583 266 7401 12526 0 23364 39140 0 0 0 0 0 0 56 0 0 640 45716 0 26 0 0 0 0 0 0 0 0 0 0 309 184 78 0 32728 0 0 0 0 0 0 355515 511 0 76 
33 0 118524 9973 484 230 76612 12127 113269 6745 0 158358 2950 0 42224 0 1123 6296 363 17961 9238 318 5692 4250 0 253428 2327 1103 3218 2284 17800 585 680 0 62984 5351 98295 0 8732 0 49265 53 16838 0 11946 65990 262 12431 296 96467 3016 5422 868 0 0 0 68961 0 1016 118 921 0 0 16137 8172 33898 66202 0 5083 12828 296 9869 147509 0 0 0 5600 0 310073 9790 30145 0 740 0 0 17110 881931 2937 1280 0 515 3382 4419 0 95505 1201469 0 549713 73549 494 0 328 0 110 60873 0 193 97 4638 31987 0 363 0 10367 0 874 0 1953 0 0 457 0 103 0 368 67171 0 13744 15113 0 15924 45013 90 0 0 0 247 0 0 0 0 0 34254 0 0 0 0 0 0 66 0 0 0 0 0 18 96 89 122 39447 0 0 155 0 220 0 504816 612 0 135 
34 0 114466 9521 129 0 78870 12674 105719 5152 0 140777 5702 21 39012 0 273 4184 405 14675 6344 124 6048 1991 0 310118 983 116 1599 912 24844 879 1206 0 63142 3257 126921 0 16590 0 71369 236 25251 144 17240 82065 0 5163 0 109694 1532 4748 969 0 518 147 74687 0 641 292 1210 0 0 14421 11515 24548 59920 0 9501 8841 264 7868 166821 0 0 0 6064 0 261060 10742 37560 35 138 0 0 13576 1017349 3960 860 0 396 2462 3080 0 73406 932041 0 448445 55007 1092 0 99 0 214 46030 0 252 463 3302 14877 0 31 0 4225 554 283 0 1301 0 0 742 0 170 0 0 50921 37 128833 19734 0 10640 35869 0 0 0 0 886 0 68 0 0 0 27127 0 0 0 0 0 0 0 0 0 0 0 0 300 0 0 -2 22719 0 53 0 0 0 0 722321 1420 0 0 
35 0 105276 8891 252 194 67564 15174 98363 3280 0 130445 6512 0 33521 0 865 1373 334 14521 6295 208 12584 1212 0 334695 924 687 1028 2300 29207 1087 218 0 58833 4008 190432 0 18265 0 39342 0 20946 0 24755 89493 0 6972 0 102884 1419 2474 486 0 973 21 86738 0 316 0 401 0 0 12920 9845 18603 55059 0 7320 10147 45 1900 175118 0 0 0 2373 0 266624 8496 33617 26 740 0 0 7234 960548 2568 511 0 0 2862 2980 0 75202 636346 0 312927 35427 249 0 386 0 234 34409 0 0 456 3394 8453 0 0 0 8641 0 256 0 893 65 0 55 0 105 0 0 45069 431 7113 20905 0 8716 43662 0 0 0 0 0 0 19 0 0 0 19351 0 0 0 0 0 0 0 0 0 0 0 0 25 7 0 99 23637 0 0 0 30 187 0 748362 654 185 70 
36 0 94113 10939 129 0 82765 12837 134290 2716 0 114121 1550 0 23362 0 523 798 669 12607 3313 16 17577 1272 0 271371 1211 771 487 492 15984 290 678 0 74030 1800 285602 0 25250 0 40430 100 19167 0 25196 100845 518 4740 0 80036 852 4104 738 0 859 0 106171 0 474 0 171 0 0 10167 5838 13177 53084 0 8168 3378 0 3776 140400 0 0 0 4923 0 264468 7588 31230 0 351 0 0 8690 942603 417 1808 0 0 2720 2608 0 92121 521036 0 304089 38921 367 0 0 0 0 22620 0 184 43 4222 8915 0 -7 0 4901 219 80 0 1198 0 0 269 0 242 0 0 41440 196 4972 28146 0 7729 44910 0 0 0 0 0 0 0 77 0 0 12468 0 0 0 0 0 0 0 0 0 0 0 0 12 59 0 0 20133 0 0 174 0 0 0 574434 3652 1633 0 
37 0 85470 20392 0 0 101561 13341 118232 2534 0 107177 4147 0 22937 0 629 733 366 19814 1763 0 23073 1552 88 230272 1128 580 243 768 19592 322 1032 0 65946 1267 260758 0 27094 0 50832 165 28978 0 31971 125396 1503 4879 111 91402 1017 2347 487 0 2735 0 116164 0 250 0 0 0 0 8286 5376 13214 46205 0 2953 5768 0 3931 119264 0 0 0 3057 0 259202 13638 35479 0 343 0 0 5190 872692 1178 3356 0 113 2362 1753 0 118962 377755 0 262316 37117 1125 0 244 0 0 14899 0 0 0 2722 6166 0 0 0 4040 718 30 0 1349 0 0 81 0 0 0 0 44671 139 5496 50456 0 7981 37867 0 0 0 0 0 0 97 0 0 0 9711 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 21937 0 0 0 0 0 0 307128 1526 1332 0 
38 0 71095 16032 117 0 114210 13928 165147 2843 0 100662 1763 0 17321 0 391 0 108 22153 908 0 18953 484 0 202502 550 674 0 0 18392 504 1617 0 34309 1807 227259 0 22679 0 38959 694 32956 0 36664 68640 201 10128 0 113357 780 2664 162 0 3656 0 129346 0 0 0 120 0 0 11389 6357 11934 43473 0 6645 2442 119 3438 134625 0 0 0 5685 0 252381 5790 26047 0 0 0 0 1372 795073 692 3873 0 88 5014 524 0 119221 330804 0 233052 29233 974 0 46 0 12 11346 0 0 0 7011 3616 0 0 21 2570 1028 0 0 1900 0 0 52 0 43 0 96 49245 0 5908 72955 0 4535 37632 0 0 0 0 0 0 82 0 0 447 6924 0 0 0 0 0 0 63 0 0 0 0 0 0 240 0 0 20289 0 0 0 0 0 0 106241 8145 647 80 
39 0 41400 25113 0 0 100279 8181 209111 1853 0 98126 1941 0 8240 0 318 28 1235 17093 1058 0 13760 208 0 197456 801 376 0 95 14286 70 398 0 28228 1252 211841 0 24221 0 56276 133 25618 0 34799 42538 434 15199 702 107200 202 905 1033 0 519 0 137985 0 0 0 269 0 0 8808 6109 5347 33400 0 5721 4662 0 2931 108371 0 0 0 4179 0 223126 5861 26915 0 146 0 0 1077 757966 125 4878 0 0 1869 858 0 83725 264927 0 149855 19003 38 0 0 0 0 12778 0 0 48 10600 1680 0 76 0 3594 755 0 0 1157 0 0 229 0 0 0 0 68677 0 6064 50836 0 7004 40758 0 0 0 0 0 0 0 0 0 449 4289 0 0 0 0 0 0 0 0 0 0 0 0 0 140 0 0 12904 0 0 370 0 0 0 62319 1675 0 0 
40 0 39341 24927 0 0 127741 16345 182025 1405 0 77623 2125 0 6457 0 385 0 0 14038 355 0 7972 586 0 155727 939 390 0 0 15604 289 954 0 26425 382 152792 0 16287 0 41192 0 15759 0 35602 29920 0 27853 0 111061 0 1741 131 0 2864 0 132243 0 550 0 240 0 0 7155 3860 8521 28544 0 5474 6162 0 1956 99725 0 0 0 4976 0 225619 1621 19431 0 24 0 0 3251 711742 331 2360 0 0 1431 299 0 79795 163112 0 144386 10090 414 0 10 0 286 12140 0 0 0 7580 587 0 0 0 54 0 0 0 966 0 0 313 0 0 0 0 68900 162 1754 93996 0 390 34281 0 0 0 0 0 0 70 0 0 0 4024 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 15912 0 0 0 0 0 0 43810 2376 1251 0 
41 0 26325 19437 0 0 88486 11711 142360 587 0 67069 1348 0 5805 0 535 0 634 11307 53 275 7099 295 0 129315 188 218 0 0 8378 121 625 0 30452 489 115587 0 7849 0 28640 0 18992 0 28834 14840 0 7979 151 118653 201 1111 1 0 2009 0 94201 0 117 0 270 0 0 14152 3684 7703 17700 0 7337 3575 0 1757 83289 0 0 0 4434 0 226934 1975 16586 0 28 0 0 2099 675287 351 2891 0 153 3934 225 0 45117 139464 0 129290 6034 0 0 0 0 0 17997 0 0 204 500 843 0 64 0 2238 1177 0 0 984 0 0 53 0 0 0 0 56284 0 741 42049 0 233 62604 0 0 0 0 0 0 0 0 0 0 1076 0 0 0 0 0 0 0 0 0 0 0 0 50 31 6 0 4195 0 0 0 0 0 0 22109 5208 510 0 
42 0 12174 14174 0 0 51322 6988 98065 1640 0 46623 1167 0 3535 0 30 0 624 9463 442 0 2695 81 0 72542 208 435 163 0 7961 14 4 0 22068 454 60368 0 7078 0 17243 0 11331 0 23770 5327 458 7686 0 84195 39 873 589 0 913 0 78117 0 783 0 0 0 0 5981 3121 3515 13703 0 2862 2321 0 1990 72865 0 0 0 3944 0 223706 1742 15907 0 938 0 0 245 556402 403 4391 0 20 3334 496 0 11773 94188 0 84527 6017 180 0 0 0 241 19224 0 0 161 763 1174 0 0 0 345 32 0 0 1079 0 0 44 0 0 0 0 77738 0 512 25208 0 2 25517 0 0 0 0 0 0 0 0 0 0 1025 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9926 0 0 0 0 0 0 17800 1429 0 0 
43 0 12669 11508 0 0 46141 8539 60449 21 0 40275 28 0 2207 0 0 0 141 6486 0 0 2154 0 0 41423 768 0 0 0 11303 437 0 0 12394 0 45376 0 9417 0 15459 1202 13767 0 20271 6593 119 2473 0 57650 105 494 434 0 735 0 52397 0 1198 0 0 0 0 5340 2697 5786 8147 0 435 951 0 2448 51081 0 0 0 8724 0 220979 1670 16142 0 851 0 0 188 375236 270 1810 0 0 878 0 0 8415 59662 0 32614 4989 0 0 0 0 0 20180 0 0 27 388 0 0 0 0 1941 251 0 0 970 0 0 0 0 0 0 0 77278 0 331 20275 227 0 10401 0 0 0 0 0 0 0 0 0 0 794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8947 0 0 0 0 0 0 7972 0 0 0 
44 0 6764 4232 0 0 16937 7249 38923 935 0 34263 183 0 1455 0 0 0 116 7221 0 0 3914 279 0 31557 1857 181 0 0 9048 28 343 0 7839 0 30121 0 5083 0 6440 595 7319 0 9169 2465 0 767 0 32425 0 1056 0 0 218 0 33868 0 0 0 0 0 0 1400 1655 513 3419 0 2047 1299 180 1667 39801 0 0 0 11280 0 146399 139 4624 0 248 0 0 370 304917 98 298 0 53 2895 224 0 4826 31685 0 31821 1975 191 0 0 0 0 28303 0 0 0 186 961 0 0 0 1592 0 0 0 306 0 0 0 0 0 0 0 47720 0 211 12545 0 0 4001 0 0 0 0 0 0 0 0 0 0 243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5989 0 0 0 0 0 0 7835 2097 0 0 
45 0 3607 2363 0 0 9619 2585 16131 0 0 10467 0 0 635 0 0 0 0 4669 0 0 2544 0 0 16561 1707 0 0 0 5624 0 0 0 4758 -18 19966 0 1502 0 1834 0 4332 0 6913 1162 0 204 0 20659 0 277 134 0 536 0 24945 0 0 0 0 0 0 1333 1050 354 4731 0 1044 835 0 584 29839 0 0 0 10570 0 80867 499 4223 0 0 0 0 0 232924 165 692 0 0 748 207 0 7250 21933 0 16615 1505 1874 0 0 0 0 25937 0 0 0 451 0 0 0 0 594 0 0 0 268 0 0 0 0 0 0 0 41263 0 213 5474 0 0 5259 0 0 0 0 0 0 0 0 0 0 496 0 0 0 0 0 0 0 0 0 0 0 0 0 87 0 0 6700 0 0 0 0 0 0 3726 0 0 0 
46 0 4591 2965 0 0 8721 5181 18520 246 0 4955 0 0 800 0 0 0 459 3744 0 0 432 0 0 4998 1594 527 0 0 5673 311 0 0 10142 0 9229 0 1256 0 3545 299 4366 0 5017 181 0 758 0 10157 0 0 0 0 154 0 29645 0 0 0 0 0 0 1427 1424 248 1019 0 1254 1149 0 0 16259 0 0 0 3948 0 62613 534 2875 0 121 0 0 0 127268 168 0 0 0 398 0 0 2641 14201 0 7219 1087 554 0 0 0 0 19810 0 0 0 24 0 0 0 0 605 0 0 0 155 0 0 531 0 0 0 0 20791 0 179 2578 0 0 2839 0 0 0 0 0 0 0 0 0 0 174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4987 0 0 0 0 0 0 1141 0 0 0 
47 0 3559 1340 0 0 3005 2537 7546 438 0 1863 303 0 325 0 0 0 29 1251 0 0 296 0 0 1869 2866 91 0 0 2499 62 0 0 7060 0 9639 0 703 0 1139 0 813 0 1919 637 0 71 0 3695 0 270 0 0 0 0 14226 0 0 0 0 0 0 29 1223 0 483 0 135 1225 0 245 13573 0 0 0 2925 0 30498 626 1404 0 0 0 0 0 64547 0 1 0 0 833 0 0 1677 17191 0 4517 574 50 0 0 0 0 16660 0 0 0 0 0 0 0 0 1713 0 0 0 74 0 0 0 0 0 0 0 10201 0 0 2488 0 0 156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4626 0 0 0 0 0 0 414 373 0 62 
48 0 1830 981 0 0 933 1973 3539 166 0 1436 5 0 125 0 0 0 0 1000 0 0 496 0 0 478 0 0 0 0 1022 0 141 0 8834 0 2940 0 28 0 1131 0 1156 0 2554 779 0 -15 0 4518 0 0 0 0 0 0 9856 0 0 0 0 0 0 82 999 0 406 0 0 1062 0 453 6697 0 0 0 0 0 22496 417 1162 0 0 0 0 0 36991 104 0 0 0 334 132 0 3199 19009 0 2470 277 462 0 0 0 0 11494 0 0 0 313 0 0 0 0 1724 0 0 0 0 0 0 0 0 0 0 0 5456 0 450 197 0 0 610 0 0 0 0 0 0 0 0 0 0 145 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6279 0 0 0 0 0 0 -7 0 0 0 
49 0 615 1249 0 0 1093 321 1232 0 0 845 0 0 0 0 0 0 364 983 0 0 698 0 0 0 17 198 0 0 898 0 0 0 4914 0 1031 0 0 0 0 0 1016 0 1422 374 0 170 0 1276 0 0 0 0 0 0 4035 0 0 0 0 0 0 145 480 0 60 0 0 1190 0 683 6124 0 0 0 -5 0 20139 75 533 0 0 0 0 0 20195 0 0 0 0 600 20 0 942 11105 0 2936 132 0 0 0 0 0 12842 0 0 0 0 0 0 0 0 0 0 0 0 529 0 0 0 0 0 0 0 3420 0 318 569 0 0 411 0 0 0 0 0 0 0 0 0 0 148 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5473 0 0 0 0 0 0 383 0 0 0 
