Div ARTEFACT DNA DNA/Academ-1 DNA/Academ-2 DNA/Academ-2? DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-EnSpm? DNA/CMC-Mirage DNA/CMC-Transib DNA/Crypton DNA/Crypton-A DNA/Crypton-H DNA/Crypton-V DNA/Crypton? DNA/Dada DNA/Ginger DNA/Ginger-1 DNA/Ginger-2 DNA/IS3EU DNA/Kolobok DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/Kolobok-T2? DNA/Kolobok? DNA/MULE DNA/MULE-MuDR DNA/MULE-MuDR? DNA/MULE-NOF DNA/MULE-NOF? DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-Harbinger? DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/PiggyBac? DNA/Sola-1 DNA/Sola-2 DNA/Sola-2? DNA/Sola-3 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Stowaway? DNA/TcMar-Tc1 DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/TcMar? DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-Tip100? DNA/hAT-hAT1 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hATm DNA/hAT-hATw DNA/hAT-hATx DNA/hAT-hobo DNA/hAT? DNA? DNA?/TcMar-Fot1? DNA?/hAT? LINE LINE/CR1 LINE/CR1-Zenon LINE/CRE LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-DRE LINE/L1-Tx1 LINE/L2 LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/R2-Hero LINE/R2-NeSL LINE/RTE LINE/RTE-BovB LINE/RTE-ORTE LINE/RTE-RTE LINE/RTE-X LINE/Rex-Babar LINE? LINE?/Penelope? LTR LTR/Bhikhari LTR/Copia LTR/Copia? LTR/DIRS LTR/ERV-Foamy LTR/ERV-Lenti LTR/ERV1 LTR/ERV1? LTR/ERV4 LTR/ERVK LTR/ERVK? LTR/ERVL LTR/ERVL-MaLR LTR/ERVL? LTR/Gypsy LTR/Gypsy? LTR/Ngaro LTR/Pao LTR/Unknown Other/DNA_virus RC/Helitron RC/Helitron? RNA Retroposon/SVA Retroposon? SINE/5S-Sauria-RTE SINE/7SL SINE/B4 SINE/ID SINE/U SINE/tRNA SINE/tRNA-7SL SINE/tRNA-Core SINE/tRNA-Deu-I SINE/tRNA-Deu-L2 SINE/tRNA-I SINE/tRNA-L2 SINE/tRNA-Mermaid SINE/tRNA-Meta SINE/tRNA-RTE SINE? SINE?/tRNA Satellite Satellite/acromeric Satellite/centromeric Satellite/macro Simple_repeat Unknown rRNA snRNA tRNA 
10 0 1245010 184005 16032 5309 507435 150444 1531966 6422 0 698339 13546 0 285047 648 9635 157 45464 93882 7923 3169 163528 43 270402 419 177 84704 1095 63472 410 4044 0 366147 39665 637673 53774 0 225556 36057 105806 0 270732 570624 3135 127269 321 829689 217271 37741 65835 4459 31 797101 50793 0 15940 0 0 238712 1008 67785 617935 208953 77113 33346 257330 2182729 0 119 0 204597 1072736 236846 253175 3026 330 0 0 0 23082 2022958 41 9097 40 0 0 376 0 165512 2020299 564570 91776 1 0 3156 0 25159 0 19221 34 0 355 11039 405 0 26 0 7379 0 107 0 0 928 74 0 245 0 0 0 0 261948 0 0 57330 4183 7928 1072839 0 0 0 0 0 0 0 11953 0 215686 0 0 0 0 0 0 99 0 0 0 0 2704 0 0 0 0 2360787 2914 567 6374 
11 0 1157879 153748 17663 2646 460191 158972 1386964 6046 0 647941 16435 35 296775 1808 8918 249 39162 104883 6948 10050 201564 49 244887 1531 136 41725 4463 52574 696 3640 0 324041 38052 607736 42381 0 226283 34885 82079 145 181356 517268 4523 106853 79 778679 147372 116801 60726 2660 0 666673 47336 0 5378 0 0 233711 1199 70451 573083 224251 72698 59330 207610 2247475 0 0 0 169242 1057952 192624 224160 4881 331 0 0 0 38534 2093019 26 7273 0 217 146 597 0 150280 1739688 598315 81582 78 0 397 0 18175 0 25928 20 0 365 10398 1019 0 0 0 3945 0 46 0 0 834 23 0 159 0 71 0 0 327680 0 73 50449 6278 6702 1101235 48 0 0 0 0 0 24 19868 0 220541 0 0 0 0 0 0 0 0 0 0 0 3493 0 0 0 0 2225971 1378 375 7732 
12 0 1068819 154373 14828 3369 415849 183905 1259863 4077 0 595896 15926 63 242706 753 10278 118 53130 106530 8356 5910 193376 0 221895 618 307 27549 1281 53283 643 6277 0 312690 27171 536103 56081 0 212537 26636 58518 0 131087 484575 9324 92208 14 733665 157951 52755 55582 2654 42 593356 54177 0 4884 0 0 249081 1476 77887 515992 247421 83668 37901 154825 2355097 0 0 57 165052 1074088 177002 209014 5701 844 0 0 0 79721 2059167 13 6085 0 89 179 624 0 123392 1651312 572602 82629 75 35 2039 0 26364 0 21835 0 0 229 5122 363 0 36 0 6767 0 43 0 0 1838 48 0 75 0 87 0 0 282394 0 217 67612 2665 22343 1086588 0 0 0 0 0 0 49 23048 0 195304 0 55 0 0 0 0 0 0 0 207 0 4695 0 0 0 0 2092019 5964 180 7347 
13 0 985482 120465 9163 4837 418663 248015 1182336 5811 0 548096 12339 0 208884 1495 10379 746 52984 65863 7162 7382 173338 0 238044 830 406 23604 1670 45930 708 6470 0 313330 30402 545301 39178 0 183590 18964 47724 110 132265 516018 14109 62705 285 646914 145125 27346 47650 3505 64 472123 60254 48 3426 0 0 263325 1312 121438 532557 227230 66273 23642 110811 2158079 59 0 59 170737 971275 202753 205090 10069 365 0 40 0 52490 2190995 0 18475 0 0 262 685 0 130822 1562492 623518 95680 0 0 1772 52 18441 51 26856 64 0 384 5262 495 80 91 0 6254 0 0 0 0 868 147 0 329 82 105 0 0 257886 0 430 80616 1749 1636 1081789 0 0 0 0 0 0 0 40447 0 167504 0 38 0 0 0 0 0 0 0 0 0 7565 0 0 16 0 1962278 3285 245 4161 
14 0 858929 108087 9630 2967 389586 220663 1023710 4232 0 535020 13508 119 175110 1260 17231 752 61062 65424 9848 7146 160113 0 236828 1157 220 16020 3054 34857 663 8448 0 312549 26006 444273 48879 0 147200 13927 55144 0 101296 432350 9825 62203 450 540450 111586 21659 39914 930 218 424523 58012 44 858 46 0 268398 2139 198244 507883 217095 53329 19552 84509 1895120 0 0 0 168535 973142 185468 238678 13922 390 0 0 0 27849 2105607 178 12912 0 594 184 804 14 111955 1513174 567941 111571 53 49 1909 56 22510 0 29116 86 0 436 1831 297 0 175 0 4553 0 39 0 0 968 97 0 285 0 0 43 0 263023 0 295 85603 3554 5084 970290 0 0 0 0 0 0 0 47254 0 164636 0 0 0 0 0 0 0 0 0 0 0 7242 0 0 0 0 1879490 1245 919 5940 
15 0 754504 82181 11007 2229 412014 123301 943303 3487 43 488302 13664 38 158329 1146 21075 518 70717 64514 10062 10241 146098 25 221844 518 358 16715 3025 41682 1165 7100 0 301659 21935 461154 74844 0 148778 13756 42567 151 119676 393867 14078 63083 418 530241 105886 43499 33988 958 267 377669 62254 0 1264 0 0 277747 2304 255578 444311 219652 45094 10604 76738 1568320 0 0 84 160583 937493 136536 234026 17590 881 0 0 0 27352 1939022 234 7494 0 852 112 1248 0 97354 1396944 506733 124244 170 0 2384 0 14443 0 32354 0 0 161 3558 534 0 108 0 7122 0 16 0 0 2047 51 0 434 0 0 0 0 217948 0 894 66065 3164 16137 900020 104 0 0 0 0 0 0 45924 0 166658 0 0 0 0 0 0 0 0 0 0 0 6156 62 0 0 0 1706402 2518 178 5303 
16 0 691789 73461 10215 3751 459261 96412 896433 5786 0 478858 17226 76 133199 1552 23175 637 56361 62724 9441 6527 128874 0 206655 1712 169 18944 4084 36619 986 11025 0 310134 28229 436827 47084 0 114964 7336 46221 102 91269 368802 13676 55559 192 471069 92818 97037 26858 2102 185 352085 60908 44 1066 0 0 254573 3638 205862 381018 199277 63315 9292 66423 1409198 0 0 223 147262 879675 145225 303171 16529 611 0 0 0 16583 1711239 247 7413 0 1533 199 1593 0 70539 1290915 461425 83849 134 0 1545 0 14794 0 37746 0 0 361 3017 643 0 35 0 4400 0 0 0 0 1615 119 0 276 73 0 0 0 223147 0 600 54818 1921 10538 820800 0 0 0 0 372 0 64 43282 0 162281 0 0 0 0 0 0 0 0 0 0 0 4699 0 0 57 0 1547308 484 240 3787 
17 0 643912 76143 9629 2854 446612 79046 844318 4824 0 466584 29026 64 134471 1233 20734 1169 60994 61381 9119 8097 112907 67 190580 2095 469 19069 3452 37161 904 7014 0 311854 24901 380164 50116 0 111745 6975 43721 0 81477 375605 13138 58176 476 408597 85832 81349 25104 1396 17 329373 48613 45 859 130 0 257081 2592 140730 348772 190794 55120 9228 61928 1199680 0 0 110 123831 811161 124646 222138 14689 579 0 0 0 18424 1636839 127 6799 80 525 483 1727 84 75163 1312689 408204 92254 45 0 2838 0 14328 0 36223 0 0 559 2721 677 0 93 0 4432 0 99 0 0 2159 166 46 175 0 0 0 0 184210 0 3316 44092 1848 11602 721914 0 0 0 0 245 0 89 39640 0 142409 0 0 0 0 0 0 0 0 15 123 0 3557 0 0 0 0 1394813 711 112 1475 
18 0 583118 67678 10440 3402 477347 87169 773860 6561 0 409641 43081 57 115727 1483 14189 462 49981 64171 6226 7504 101724 149 193024 1875 99 27537 4455 41064 1281 5486 0 245424 21194 368391 34527 0 88948 5782 53067 0 82886 351843 14368 78884 145 413317 69373 47483 22930 1683 40 326977 47651 1 726 49 0 225708 3569 130092 321942 153003 43294 12158 66869 1015066 0 0 82 101863 794696 129112 186682 9388 784 0 0 0 17595 1491350 150 8950 0 130 108 1329 0 56592 1310066 425848 99768 195 0 2308 0 9184 0 35802 26 0 622 3095 2054 0 54 0 5392 0 166 0 0 1919 0 75 543 36 56 0 0 160727 0 3213 45286 3624 13280 669465 50 0 0 0 0 0 0 37427 0 141586 0 0 0 0 0 0 0 0 83 0 0 5238 0 270 0 0 1321695 1289 142 2232 
19 0 566082 62185 8715 3095 429544 70146 669045 7001 0 446403 74475 84 112738 1969 13928 906 55348 57281 6224 6413 84967 24 165047 2512 455 34376 3937 40899 1062 9862 0 216040 15720 301670 34480 0 79465 3090 39524 0 78681 340817 7850 74390 542 374562 58330 35523 15275 1262 186 305995 44961 209 73 0 0 207987 3349 99873 295109 132319 50657 9698 50844 928401 0 0 151 91188 740252 145813 147394 8224 298 0 0 0 12391 1428086 20 4831 59 291 286 1425 0 62772 1341138 412432 84927 157 0 1099 227 10007 0 35055 67 126 611 3782 914 0 78 0 10507 0 288 0 0 2190 128 85 319 27 0 0 0 185006 40 2552 37039 4592 5158 627105 0 0 0 0 0 0 0 38910 0 127620 13 0 0 0 0 0 0 0 0 0 0 3920 0 140 0 0 1383616 1028 254 2280 
