Div ARTEFACT DNA DNA/Academ-1 DNA/Academ-2 DNA/Academ-2? DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-EnSpm? DNA/CMC-Mirage DNA/CMC-Transib DNA/Crypton DNA/Crypton-A DNA/Crypton-H DNA/Crypton-V DNA/Crypton? DNA/Dada DNA/Ginger DNA/Ginger-1 DNA/Ginger-2 DNA/IS3EU DNA/Kolobok DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/Kolobok-T2? DNA/Kolobok? DNA/MULE DNA/MULE-MuDR DNA/MULE-MuDR? DNA/MULE-NOF DNA/MULE-NOF? DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-Harbinger? DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/PiggyBac? DNA/Sola-1 DNA/Sola-2 DNA/Sola-2? DNA/Sola-3 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Stowaway? DNA/TcMar-Tc1 DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/TcMar? DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-Tip100? DNA/hAT-hAT1 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hATm DNA/hAT-hATw DNA/hAT-hATx DNA/hAT-hobo DNA/hAT? DNA? DNA?/TcMar-Fot1? DNA?/hAT? LINE LINE/CR1 LINE/CR1-Zenon LINE/CRE LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-DRE LINE/L1-Tx1 LINE/L2 LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/R2-Hero LINE/R2-NeSL LINE/RTE LINE/RTE-BovB LINE/RTE-ORTE LINE/RTE-RTE LINE/RTE-X LINE/Rex-Babar LINE? LINE?/Penelope? LTR LTR/Bhikhari LTR/Copia LTR/Copia? LTR/DIRS LTR/ERV-Foamy LTR/ERV-Lenti LTR/ERV1 LTR/ERV1? LTR/ERV4 LTR/ERVK LTR/ERVK? LTR/ERVL LTR/ERVL-MaLR LTR/ERVL? LTR/Gypsy LTR/Gypsy? LTR/Ngaro LTR/Pao LTR/Unknown Other/DNA_virus RC/Helitron RC/Helitron? RNA Retroposon/SVA Retroposon? SINE/5S-Sauria-RTE SINE/7SL SINE/B4 SINE/ID SINE/U SINE/tRNA SINE/tRNA-7SL SINE/tRNA-Core SINE/tRNA-Deu-I SINE/tRNA-Deu-L2 SINE/tRNA-I SINE/tRNA-L2 SINE/tRNA-Mermaid SINE/tRNA-Meta SINE/tRNA-RTE SINE? SINE?/tRNA Satellite Satellite/acromeric Satellite/centromeric Satellite/macro Simple_repeat Unknown rRNA snRNA tRNA 
20 0 553701 69477 6666 2821 398902 55348 616015 6902 0 364267 70742 88 96122 2002 11578 1393 49566 63479 5551 4410 71715 233 170064 3226 340 41768 7095 38497 1481 9843 0 208565 17094 296822 33438 0 79325 2234 41980 0 66701 353237 10634 72605 727 365065 45874 34704 14310 1900 123 288009 41457 121 1411 0 0 210213 3049 88365 302913 98894 46956 8133 45504 855199 0 0 75 78195 729470 137961 138263 4969 1051 0 0 0 12604 1662400 129 8916 46 66 742 1796 70 52264 1404631 425917 98142 158 0 2002 0 8576 0 33851 0 0 197 1617 407 0 246 0 5460 0 310 34 0 1389 99 0 332 0 0 0 0 146932 0 6493 31483 3354 7526 570515 0 0 77 0 0 0 0 41634 0 111285 0 0 52 0 0 0 0 0 0 0 0 2347 0 0 0 0 1228509 635 228 1848 
21 0 488929 56323 5870 2252 343918 52094 562106 8600 0 354535 53929 142 87888 1094 12107 963 38411 48471 6989 6670 58707 30 157066 1632 246 49982 4883 36175 845 6485 85 222593 15325 289029 25689 0 71560 3013 36903 0 62209 277764 5137 81312 553 342936 43787 40131 13571 1280 94 269263 36137 163 719 0 0 201825 4950 92556 312408 82096 31763 10064 33028 748761 0 0 155 71485 638921 160229 127705 5058 2393 0 0 0 16483 1374941 59 2706 0 425 199 3668 110 39467 1559378 452145 89771 72 0 1327 0 6030 0 41154 0 247 140 1590 1037 0 62 0 7431 95 416 0 0 1758 87 0 862 0 0 0 0 174473 0 3777 41533 4304 16709 501892 0 0 0 0 0 0 0 64482 0 100390 0 0 0 0 0 74 0 73 0 0 0 5912 0 28 51 0 1183872 686 0 1685 
22 0 472321 48416 5018 1958 297818 46109 465220 7507 0 343064 55891 49 85055 1796 13033 898 38087 48314 4552 5058 51752 59 138181 2379 377 60530 3829 49207 2030 7545 0 209414 15745 261312 21566 0 67773 1562 34495 151 58834 276759 4563 59841 635 324495 37965 40305 15868 976 128 235170 29336 152 1230 0 0 181884 5550 86090 292876 68885 28166 9348 31355 682166 0 0 251 58259 621908 148351 113108 6367 1058 111 0 72 19266 1072205 418 5842 0 491 483 2773 68 46454 1650970 450696 88649 201 0 2025 0 6387 0 37472 0 0 670 3289 1405 0 94 0 6421 0 430 0 0 1710 122 0 372 65 0 0 0 143582 111 3495 44859 2487 6959 442148 0 294 77 79 0 0 37 72727 0 96268 0 0 52 0 0 0 0 0 0 0 0 5620 0 0 0 0 1076761 576 235 1453 
23 0 450806 52615 6431 2256 305175 57423 445057 8666 0 309170 57207 0 71530 864 12726 1316 43968 41202 4166 4569 36686 548 147347 1645 575 63119 3826 37984 1322 6075 0 242044 11130 250738 19141 0 62346 1511 32166 0 46791 230385 4744 57847 545 277158 30104 39678 12740 714 87 201408 31454 409 1164 0 0 141506 5890 88431 270906 46144 26314 11898 23828 596223 0 0 374 46331 553916 126263 107297 4580 925 0 0 0 38099 1027562 89 6145 0 308 1391 4768 0 46535 1542583 422487 72300 312 0 1390 97 4248 0 38731 0 0 583 1013 2146 0 207 0 7158 0 92 0 0 2434 199 135 555 19 0 0 45 128576 154 4001 50501 2603 2192 373807 0 55 0 0 0 0 0 56088 0 89469 0 0 0 0 57 0 0 0 0 4 0 5099 0 0 71 0 943907 1193 0 1867 
24 0 446791 41980 3414 3388 242751 44178 381173 8800 0 301028 62127 134 65579 1132 13704 682 30250 34547 2548 4096 39858 236 157007 1566 728 54907 2388 39824 1117 7696 0 211271 9746 242675 19977 0 48961 474 26476 133 40238 200859 4356 38444 564 257250 24638 50846 13785 1095 484 188161 24917 48 951 0 0 120870 5560 96365 240480 49824 23376 9080 26399 529854 0 49 579 48390 516206 92402 106913 2543 589 0 0 0 64584 1036047 206 3837 0 0 890 5787 0 34324 1498168 415426 68546 165 52 613 37 5271 0 37522 0 0 475 1282 3241 0 21 0 8904 0 131 0 0 2440 16 58 438 0 118 0 0 122397 0 2931 37555 2521 14368 333000 0 0 0 0 0 0 0 38834 0 76518 0 0 208 0 0 0 0 0 0 0 0 5067 0 0 0 0 846684 1285 0 971 
25 0 446299 38088 4376 1534 210369 41242 312927 7341 0 248551 49489 0 57795 1268 12110 646 22928 35071 2895 4121 20942 386 151161 1252 581 41869 6190 36821 852 3948 0 209681 8539 198095 14271 0 58591 518 30400 0 39278 183634 670 34436 272 235644 21397 77842 11708 1154 205 179496 24502 40 614 0 0 96286 4125 85276 195099 29906 21566 7020 24385 494726 0 0 0 40957 453469 79420 94543 5831 292 0 0 0 90213 876710 552 4414 0 161 677 4297 0 29957 1503528 387527 79578 75 113 694 21 5966 0 38046 0 0 195 1906 282 0 28 0 5667 0 0 0 0 1683 0 0 398 0 210 0 0 122800 0 4013 35960 1891 2792 253453 0 0 0 0 0 0 0 28351 60 68245 0 42 0 55 0 0 0 0 0 0 0 7275 0 0 0 0 705756 749 156 246 
26 0 398437 27845 3534 1392 220098 42578 268856 10088 0 225698 34869 0 52871 1263 9809 795 30909 39831 3021 2811 17577 225 129925 983 371 33710 2543 39171 899 4425 0 188086 8199 175130 12765 0 44189 95 27190 0 31747 156272 1697 27114 207 198202 16162 64741 6818 575 221 163376 17574 177 2178 0 0 89148 5170 61784 158280 32786 16091 9440 27054 404578 0 0 366 34746 431012 75393 79238 3611 889 0 0 0 66053 833356 243 1808 0 176 676 6310 0 35634 1521591 357603 81510 352 0 576 0 3372 0 37332 85 0 462 1216 844 0 14 0 5095 0 133 0 70 1369 57 92 915 0 0 0 0 115871 -51 2148 31189 1435 8103 228134 0 0 0 0 0 0 0 14332 0 62229 0 78 0 0 0 0 0 0 0 0 0 6067 11 0 0 0 558632 581 312 533 
27 0 351979 30542 1783 1860 172523 46039 234522 6296 0 209898 31037 0 45180 647 10751 914 21653 33971 2639 4136 12724 175 112786 1504 771 24199 3483 31752 983 10651 0 158952 7172 154616 12184 0 49819 458 17471 58 26177 134896 581 18959 274 180868 13591 59511 8905 9 134 163999 18406 320 599 0 0 73013 4093 38943 132155 27859 14944 8137 25926 374006 0 0 261 29449 360699 58718 70151 5429 398 0 0 0 26707 773653 269 2707 0 246 658 4620 0 28311 1545942 342450 65770 306 0 142 0 2901 0 31493 0 0 380 1235 1560 0 15 0 3992 0 153 0 0 1003 251 0 408 0 98 0 0 106184 0 2785 27142 814 3485 184123 0 0 0 0 0 0 0 12428 0 49722 0 0 0 67 0 0 0 0 74 0 0 3518 0 0 0 0 469359 264 0 208 
28 0 336385 22320 2531 1208 162721 44765 216222 5571 0 188211 24060 0 41739 948 8327 536 17858 26146 2070 2267 8749 106 103241 881 1143 17236 4706 24396 419 5628 0 176916 8135 139945 12929 0 34343 5 15880 0 21150 121138 1242 16875 134 170814 8493 67404 6352 637 20 166512 13490 78 2728 0 126 60084 5016 32770 99455 23543 16849 2859 18559 327321 0 0 314 27660 306932 43621 67472 2622 543 0 0 0 22193 766820 485 2564 0 181 370 3943 0 42333 1476947 312412 63650 261 0 272 0 2961 0 31086 0 0 226 1667 2857 0 0 88 4395 5 67 0 0 1323 161 0 386 0 83 0 0 95157 0 3227 23567 691 8634 148274 11 0 0 0 0 0 0 6008 0 45713 0 0 0 0 0 0 0 0 0 0 0 4186 0 0 0 0 366801 82 0 481 
29 0 321749 22180 1567 527 138332 51201 163311 2317 86 169271 16437 0 34409 214 5548 167 15101 19593 1351 5714 7191 193 85738 1837 548 13344 3044 22028 727 5708 0 163918 9332 114152 9511 0 38798 0 24232 0 19427 110899 1490 14869 246 156272 8598 46114 7882 458 0 169553 11489 136 12494 0 168 53284 5575 24949 77415 13983 15260 8811 23293 257391 0 0 369 20462 253177 44891 68116 1468 365 0 0 0 16028 695356 237 3247 0 294 438 4792 0 43418 1360427 296229 67212 329 0 165 0 1630 0 26760 0 0 294 874 252 0 178 0 4298 0 78 0 0 1131 0 0 121 0 0 0 0 90206 420 2473 18210 1491 1736 109750 0 0 0 0 0 0 0 6640 0 41182 0 60 0 0 0 0 0 52 0 0 0 7684 0 0 0 0 309656 130 156 92 
30 0 253319 17693 878 272 146159 52852 156796 3458 0 163013 17109 114 31832 711 4614 81 14759 20565 1226 3261 3331 453 79548 705 66 9189 1691 15205 639 4805 0 137662 6754 90212 7521 0 34720 46 23575 0 14421 93750 1328 13696 168 145495 10031 49800 10628 495 81 189464 10269 0 3090 0 0 46874 4759 22479 62575 16408 10660 3647 17401 287291 0 0 542 20065 221080 26548 62093 768 209 0 0 0 14230 655303 710 1054 0 191 1309 2512 0 51798 1418065 344471 82934 505 0 119 100 2497 0 21561 0 0 205 564 291 94 29 0 4553 0 0 0 0 3104 97 23 565 61 0 0 0 73614 0 622 20579 252 1984 91701 0 0 0 0 0 0 0 3332 0 34430 0 0 0 0 0 0 0 0 0 0 8 6637 0 0 0 0 237806 499 0 75 
31 0 185217 14204 303 0 140618 44929 129603 2355 28 133820 16923 0 26857 587 2563 402 16743 17649 1580 2418 1617 42 95196 1506 479 3769 3099 13788 395 3609 0 147161 6649 86993 6998 0 32371 144 18914 0 22416 76260 1725 7779 130 118612 5751 39641 7565 108 0 196815 7567 0 1686 0 0 26583 5603 16289 61891 12833 13048 2105 19270 242763 0 66 774 10773 209635 23294 61459 620 425 0 0 0 9137 637971 291 766 0 110 1220 1479 0 76022 1189665 319819 83840 363 0 113 0 2344 0 14309 0 0 266 767 2711 0 0 0 7272 0 0 0 0 1598 0 0 3773 0 0 0 0 73204 0 2386 23156 570 4773 77114 0 0 0 0 0 248 0 1957 0 24433 0 0 0 0 0 0 0 0 0 0 0 3851 0 0 0 0 221618 201 0 10 
32 0 145277 12059 203 555 126488 47288 105329 1551 0 131203 11308 0 22403 173 2156 282 11544 18218 607 3870 1111 95 104410 1131 303 3674 2903 15399 449 5561 0 115072 8183 75447 11537 0 34815 121 19640 0 19089 69301 292 7309 254 120697 4285 36354 9241 0 7 249902 4807 90 1699 0 320 29019 5149 14354 41510 7555 12345 1976 14011 174145 0 0 1175 13057 204343 21475 65976 243 462 0 0 0 16266 638094 441 602 0 0 858 1824 0 53838 1154306 279183 75540 0 0 417 0 976 0 12574 0 0 26 684 798 0 26 0 6655 0 0 0 0 1267 50 0 546 0 0 0 0 67793 0 749 15361 441 2281 49797 0 73 0 0 0 59 60 2418 0 19461 0 0 0 0 0 0 0 0 0 0 0 4527 0 0 0 0 203092 0 0 366 
33 0 111899 16716 548 161 123303 41881 99410 1094 0 117315 11051 68 24061 565 2305 284 12076 16827 1018 2130 768 0 93700 1172 464 2185 922 23321 484 4233 0 96198 5256 80008 18205 0 40442 92 19364 0 18099 78541 385 4559 176 109513 4398 37636 8589 726 0 292706 3820 126 1515 0 445 22879 4066 11057 35120 9394 13345 2312 11910 156385 0 0 346 9951 220479 18975 55738 1077 339 0 0 0 5680 622941 206 1076 0 122 1280 936 0 46272 901164 262949 54723 277 0 323 0 1964 0 11024 0 69 62 178 1549 0 0 0 6914 0 229 0 0 2500 0 0 133 0 0 0 0 48248 0 1671 20850 127 5642 49452 0 0 0 0 0 68 0 1220 0 16793 0 0 0 0 0 0 0 0 0 0 0 4512 0 652 0 0 147973 92 0 0 
34 0 80626 15283 246 99 121706 39790 84453 1127 0 116373 7595 0 17371 945 1731 298 10546 20094 922 2062 675 166 112782 1059 560 1301 1341 20119 488 3295 0 98899 7026 89747 23634 0 37771 139 15394 0 21738 60779 680 4077 197 119762 8331 34891 11921 0 0 279236 3411 0 1740 0 0 18360 1949 5157 27722 7160 8487 3871 16906 167893 0 0 347 10816 214419 12381 62676 121 295 0 0 0 8776 596792 784 681 0 157 3131 837 0 42464 751027 237974 61011 448 0 0 0 2421 0 12012 0 0 0 0 6087 0 0 0 7121 0 0 0 0 745 0 0 223 0 0 0 0 49386 0 967 17068 144 4986 40598 0 73 0 0 0 0 0 602 0 12931 0 0 0 0 0 0 0 56 10 0 0 6232 0 501 0 0 130776 0 0 0 
35 0 56263 14935 265 0 109860 41368 77403 760 0 114886 6351 0 15781 386 1001 244 11105 13863 327 1692 212 0 127718 43 317 712 647 20919 135 6908 0 83910 4750 97723 22391 0 46269 816 22244 0 25331 59791 81 2698 12 106003 7330 33360 11188 1682 81 272507 1430 60 639 0 0 17634 3466 5585 23338 8222 8855 1197 32210 177159 0 0 1041 10311 236415 11820 51883 423 175 0 0 0 6198 544163 642 305 0 0 2540 478 0 38968 593302 212896 63205 217 0 0 0 2328 0 11717 0 118 168 276 9331 0 0 0 5711 0 0 0 0 999 51 0 173 0 0 0 0 48459 0 500 29236 0 5569 27386 0 0 0 0 0 276 0 615 0 10551 0 0 0 0 0 0 0 0 0 0 0 2566 0 0 0 0 102511 0 0 0 
36 0 34721 14384 107 82 109196 42963 83729 528 0 101431 4615 0 15707 239 675 311 10642 9886 264 1070 104 0 130727 463 22 649 336 15698 246 4080 0 62324 4806 93939 15076 0 54854 1844 19324 0 25884 60453 927 1570 61 114775 8096 33605 9686 1632 31 288486 1271 0 1005 0 110 14120 2734 6452 21039 9607 6224 1151 25381 167249 0 0 482 10715 196814 14487 53240 0 455 0 0 0 4194 519329 397 661 0 129 1335 1505 0 46819 455836 213489 39493 32 0 0 0 3221 0 13101 0 0 32 655 4874 121 0 0 13862 0 0 0 0 948 6 0 25 0 0 0 0 36670 293 589 32843 166 696 21963 0 0 0 0 0 282 0 644 0 5633 0 0 0 0 0 0 0 0 81 0 0 3111 0 0 0 0 87986 0 0 0 
37 0 23364 13783 0 92 107352 34270 71152 242 0 108209 2110 0 13666 120 101 326 16198 6780 318 1046 262 0 154297 71 0 -13 669 13480 18 2997 0 47407 5227 86038 17601 0 54726 2866 32474 0 47969 57267 0 1091 140 133417 2911 28216 14534 1386 0 319907 472 0 156 0 0 12296 2994 2812 23562 13995 6835 797 19283 201992 0 0 165 8975 189984 9817 43892 0 314 0 0 0 2876 495950 1056 969 0 0 1559 895 0 47563 360392 183216 36948 233 0 188 0 959 0 10136 0 15 0 0 970 0 0 0 9175 0 0 0 0 980 0 0 0 0 0 0 0 22897 0 534 51589 707 2649 16843 0 0 0 0 0 0 0 445 0 4873 0 0 0 0 0 0 0 0 0 0 0 1885 0 0 0 0 76560 0 124 0 
38 0 20622 24366 0 28 107369 45857 82755 197 0 107133 1443 0 10927 59 0 0 18290 4906 771 1368 0 0 119666 156 0 306 616 14117 349 806 0 50006 2792 96154 15710 0 49985 1409 31184 0 38110 56006 343 1274 0 133189 8234 27396 9644 1274 1 340116 678 0 168 0 383 16045 1550 1492 25098 11871 7219 697 14032 174614 0 0 1126 10255 195199 8476 45070 0 0 0 0 0 2476 496523 51 982 0 0 211 236 0 51133 261644 127143 33067 168 0 0 0 196 0 3230 0 0 0 174 4142 0 0 0 6907 0 0 0 0 529 0 0 15 0 0 0 0 25897 0 572 45359 321 4232 12188 0 0 0 0 0 0 0 260 0 2152 0 0 0 0 0 0 0 0 0 0 0 1599 0 0 0 0 56872 369 0 0 
39 0 14932 20828 0 0 120648 44541 69350 0 0 110238 2061 0 3820 174 138 3 14884 5771 427 312 0 0 128996 334 0 0 264 12163 34 718 0 32510 3514 87247 13654 0 44342 1698 24626 0 28524 47098 390 1445 0 133108 12579 22835 15652 973 0 343602 1823 0 593 0 0 9948 2879 1240 28906 10291 6659 499 16668 175693 0 0 236 9463 183866 8781 37030 0 20 0 0 0 603 504326 303 653 0 0 984 97 0 57872 188349 95770 26347 4 0 0 0 0 0 2321 0 0 0 88 988 0 0 0 6201 0 0 0 0 785 0 0 61 0 0 0 0 27979 140 1326 48652 230 3052 10494 0 0 0 0 0 0 0 209 0 2671 0 0 0 0 0 0 0 0 0 0 0 627 0 0 0 0 42055 0 0 0 
40 0 12127 25092 0 0 113523 35815 65210 0 0 105897 2629 0 3238 135 0 25 12821 4736 99 858 0 0 92726 0 111 0 0 9246 213 1007 0 27106 2031 74382 9472 0 50977 2328 22895 0 31029 32052 0 1611 0 134450 12110 25837 16141 672 81 260758 697 0 808 0 0 10017 1823 1581 9949 9163 7037 168 2675 173861 0 0 0 7507 207025 5373 31407 0 0 0 0 0 241 444844 359 0 0 0 442 940 0 28272 122227 84435 17566 366 0 0 0 0 0 1040 0 0 9 118 288 0 0 0 2858 0 0 0 0 387 12 0 0 0 0 0 0 23799 0 1176 32702 568 0 5201 0 0 0 0 0 0 0 353 0 1940 0 0 0 0 0 0 0 0 0 0 0 2026 0 0 0 0 44799 0 0 0 
41 0 9064 20538 0 0 103125 40111 45004 584 0 94304 808 0 6170 0 92 0 13276 5417 0 950 0 0 64271 138 0 0 1639 3679 42 482 0 18392 760 52081 4961 0 27906 2280 23281 0 34660 23067 1091 1071 0 100789 10180 15734 11184 548 0 231973 0 0 87 0 0 13781 1068 931 12815 8448 4431 663 8335 150241 0 0 244 9461 191211 3869 27151 0 248 0 0 0 255 380153 97 90 0 0 458 87 0 28048 93938 48546 9720 169 0 0 0 0 0 1108 0 0 0 312 0 0 0 0 5133 0 0 0 0 0 0 0 0 0 0 0 0 24784 0 178 37991 0 655 8993 0 0 0 0 0 0 0 105 0 1394 0 0 0 0 0 0 0 0 0 0 0 588 0 0 0 0 26914 244 0 0 
42 0 3862 19899 0 0 79692 37327 51230 0 0 79636 1017 0 4231 0 0 0 11119 2177 30 634 0 0 53601 51 0 0 680 9293 0 0 0 10536 1480 30117 4338 0 19060 819 12418 0 24829 18424 42 1751 0 92598 7594 17965 6091 466 10 182847 1175 0 25 0 0 9221 273 752 6266 3300 5691 0 5827 118651 0 0 133 6278 194059 3974 21815 124 0 0 0 0 0 312018 0 1256 0 0 332 316 0 15651 65308 25833 6172 19 0 0 0 201 0 570 0 0 0 36 472 0 0 0 2168 0 0 0 0 411 0 0 0 0 0 0 0 27878 0 0 34612 460 1047 7155 0 0 0 0 0 0 0 257 0 1251 0 0 0 0 0 0 0 0 0 0 0 2039 0 0 0 0 24390 0 0 0 
43 0 3588 17826 0 0 66732 23156 31967 0 0 48043 178 0 3185 0 0 0 7630 3100 0 608 0 0 33359 127 4 0 0 2874 115 523 0 8979 1060 25568 3080 0 15267 0 10681 0 25795 10383 0 472 0 82508 5312 10240 3620 128 0 144317 798 0 93 0 0 6998 583 802 6508 3986 2303 302 10516 108792 0 0 0 5943 146470 1561 19424 0 37 0 0 0 15 233821 89 1040 0 0 59 5 0 9817 34634 19013 6373 0 0 0 0 48 0 0 0 0 0 0 330 0 0 0 1374 0 0 0 0 88 0 0 90 0 0 0 0 23247 0 0 21827 170 0 3955 0 0 0 0 0 0 0 103 0 444 0 0 0 0 0 0 0 0 0 0 0 1341 0 0 0 0 17822 0 0 0 
44 0 1197 19928 0 0 57138 22949 27761 0 0 38875 295 0 909 0 0 0 7230 725 0 896 0 0 15732 315 0 0 0 6426 0 445 0 5070 0 15900 858 0 7123 0 6603 0 14363 8330 0 1645 0 54306 1360 5506 3012 457 0 116213 1300 0 18 0 0 6428 1050 344 3473 2016 5246 98 16825 81813 0 0 0 6364 111695 1030 13158 0 0 0 0 0 0 199123 113 0 0 0 167 0 0 8743 19252 15461 3364 0 0 0 0 0 0 748 0 0 0 0 542 0 0 0 671 0 0 0 0 60 0 0 0 0 0 0 0 16734 0 77 23893 0 0 4220 0 0 0 0 0 0 0 15 0 654 0 0 0 0 0 0 0 0 0 0 0 1567 0 0 0 0 8262 0 0 0 
45 0 1617 12801 0 0 35099 15130 13401 0 0 26938 0 0 2949 0 0 36 7025 1112 0 567 0 0 7871 96 5 0 372 2297 110 104 0 4368 42 9916 320 0 5698 683 6404 0 9235 3103 0 1098 0 32770 439 5054 3740 0 0 90823 1231 0 330 0 0 1912 436 801 4630 967 2454 0 2672 64399 0 0 0 2556 71319 528 5883 0 113 0 0 0 0 136363 0 0 0 0 419 0 0 5362 11825 5168 1882 131 0 0 0 0 0 782 0 0 0 0 0 0 0 0 205 0 0 0 0 79 0 0 17 0 0 0 0 12305 0 78 16940 0 0 4524 0 0 0 0 0 0 0 0 0 109 0 0 0 0 0 0 0 0 0 0 0 134 0 0 0 0 9751 0 0 0 
46 0 2069 5957 0 0 23477 18855 12028 0 0 18779 0 0 789 0 0 0 4777 1146 92 371 0 0 7220 26 0 0 0 769 0 0 0 4097 0 7696 659 0 2740 0 3548 0 7084 2362 0 149 0 17391 158 4106 2499 0 0 51694 947 0 345 0 0 1778 223 0 2457 1457 1288 156 3755 43467 0 0 0 4379 49411 202 2367 0 0 0 0 0 0 64716 134 0 0 0 144 0 0 3462 6274 3184 1899 223 0 149 0 0 0 292 0 0 0 0 0 0 0 0 579 0 0 0 0 36 0 0 0 0 0 0 0 12894 0 0 8876 0 0 2518 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 375 0 0 0 0 4017 0 0 0 
47 0 582 8427 0 0 9873 11963 5429 0 0 7315 0 0 477 0 0 0 4120 0 0 37 0 0 2682 0 0 0 0 1076 247 0 0 717 728 7832 3151 0 1157 0 2760 0 5569 919 0 280 0 14537 60 861 931 0 0 29012 0 0 172 0 0 1140 496 0 794 2433 3234 0 1212 26331 0 0 0 1081 43128 106 1512 0 0 0 0 0 0 46835 34 0 0 0 434 0 0 1724 3148 4679 474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 726 0 0 0 0 29 0 0 0 0 0 0 0 6802 0 215 3519 0 0 3292 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 466 0 0 0 0 1027 0 0 0 
48 0 2998 6360 0 0 6939 5840 4505 0 0 4009 96 0 62 0 0 27 3020 152 0 0 0 0 4219 0 0 0 258 3261 0 0 0 274 395 2199 544 0 2328 0 1430 0 2985 1459 0 0 0 7513 58 1515 819 0 0 18450 0 0 0 0 0 0 51 0 1437 510 1182 0 1829 19525 0 0 0 585 16277 109 1016 0 0 0 0 0 0 28823 260 0 0 0 294 0 0 935 3402 3391 823 0 0 0 0 0 0 0 0 0 0 41 0 0 0 0 191 0 0 0 0 0 0 0 0 0 0 0 0 4463 0 0 2299 0 0 1560 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 424 0 0 0 0 720 0 0 0 
49 0 3929 2010 0 0 4099 4357 393 0 0 3374 0 0 0 0 0 0 755 0 0 65 0 0 2578 0 0 0 0 2773 0 0 0 254 0 668 23 0 176 0 624 0 919 432 0 587 0 3754 0 867 553 0 0 22380 0 0 0 0 0 37 136 0 0 1359 219 0 828 14450 0 0 201 612 8299 0 413 0 0 0 0 0 0 18418 0 0 0 0 0 0 0 412 412 1572 489 34 0 0 0 0 0 118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3591 0 185 2047 0 0 1000 0 0 0 0 0 0 0 0 0 165 0 0 0 0 0 0 0 0 0 0 0 339 0 0 0 0 705 0 0 0 
50 0 412 1611 0 0 3130 2078 953 0 0 1691 49 0 20 0 0 0 578 0 0 342 0 0 0 0 0 0 0 720 0 0 0 781 0 543 425 0 0 0 1561 0 850 82 0 0 0 636 39 0 296 0 0 6629 0 0 0 0 0 351 493 0 665 1259 949 0 0 5800 0 0 0 138 11863 0 0 0 0 0 0 0 0 8597 0 0 0 0 265 0 0 414 81 1277 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 129 0 0 0 0 0 0 0 1195 0 0 2286 0 0 428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 0 0 0 
51 0 1328 1286 0 0 1355 1713 529 0 0 1042 0 0 0 284 0 0 0 195 0 0 0 0 416 0 0 0 0 1135 0 0 0 0 0 4 0 0 234 0 497 0 0 0 0 0 0 375 0 0 1675 0 0 5502 0 0 0 0 0 287 22 0 0 384 0 0 0 2045 0 0 0 184 2545 0 0 0 0 0 0 0 0 6999 0 0 0 0 0 160 0 0 88 339 274 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 862 0 0 949 0 0 149 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 114 0 0 0 
52 0 0 872 0 0 1073 311 277 153 0 495 0 0 0 0 0 0 238 0 0 0 0 0 0 0 0 0 681 754 0 0 0 287 0 230 30 0 0 0 0 0 7 0 0 0 0 612 0 0 224 0 0 1523 0 0 0 0 0 0 0 0 223 0 359 0 13 1163 0 0 0 0 1006 0 0 0 0 0 0 0 0 2382 0 0 0 0 0 0 0 0 0 0 0 197 0 0 0 0 0 0 0 0 495 0 0 0 0 0 0 0 0 0 0 611 0 0 0 0 0 0 0 645 0 0 0 0 0 255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 165 0 0 0 
