Div DNA DNA/Academ-1 DNA/Academ-2 DNA/Academ-2? DNA/CMC-Chapaev DNA/CMC-Chapaev-3 DNA/CMC-EnSpm DNA/CMC-EnSpm? DNA/CMC-Transib DNA/Crypton DNA/Crypton-A DNA/Crypton-H DNA/Crypton-I DNA/Crypton-V DNA/Crypton? DNA/Dada DNA/Ginger DNA/Ginger-1 DNA/Ginger-2 DNA/IS3EU DNA/Kolobok DNA/Kolobok-E DNA/Kolobok-Hydra DNA/Kolobok-T2 DNA/Kolobok-T2? DNA/Kolobok? DNA/MULE DNA/MULE-MuDR DNA/MULE-MuDR? DNA/MULE-NOF DNA/Maverick DNA/Merlin DNA/P DNA/PIF-Harbinger DNA/PIF-Harbinger? DNA/PIF-ISL2EU DNA/PIF-Spy DNA/PiggyBac DNA/PiggyBac? DNA/Sola-1 DNA/Sola-2 DNA/Sola-2? DNA/Sola-3 DNA/TcMar DNA/TcMar-Fot1 DNA/TcMar-ISRm11 DNA/TcMar-Mariner DNA/TcMar-Pogo DNA/TcMar-Stowaway DNA/TcMar-Stowaway? DNA/TcMar-Tc1 DNA/TcMar-Tc1? DNA/TcMar-Tc2 DNA/TcMar-Tc4 DNA/TcMar-Tigger DNA/TcMar-m44 DNA/TcMar? DNA/Zator DNA/Zisupton DNA/hAT DNA/hAT-Ac DNA/hAT-Blackjack DNA/hAT-Charlie DNA/hAT-Pegasus DNA/hAT-Tag1 DNA/hAT-Tip100 DNA/hAT-hAT19 DNA/hAT-hAT5 DNA/hAT-hATm DNA/hAT-hATw DNA/hAT-hATx DNA/hAT-hobo DNA/hAT? DNA?/hAT? LINE LINE/CR1 LINE/CR1-Zenon LINE/CRE LINE/Dong-R4 LINE/I LINE/I-Jockey LINE/L1 LINE/L1-DRE LINE/L1-Tx1 LINE/L2 LINE/Penelope LINE/Proto2 LINE/R1 LINE/R1-LOA LINE/R2 LINE/R2-Hero LINE/R2-NeSL LINE/RTE-BovB LINE/RTE-ORTE LINE/RTE-RTE LINE/RTE-X LINE/Rex-Babar LINE? LINE?/Penelope? LTR LTR/Bhikhari LTR/Copia LTR/DIRS LTR/ERV-Foamy LTR/ERV1 LTR/ERV1? LTR/ERV4 LTR/ERVK LTR/ERVK? LTR/ERVL LTR/ERVL-MaLR LTR/ERVL? LTR/Gypsy LTR/Gypsy-Troyka LTR/Gypsy? LTR/Ngaro LTR/Pao LTR/Unknown Other/DNA_virus RC/Helitron RC/Helitron? RNA Retroposon Retroposon/SVA Retroposon? SINE/5S SINE/5S-Sauria-RTE SINE/7SL SINE/B4 SINE/ID SINE/L2 SINE/U SINE/tRNA SINE/tRNA-5S SINE/tRNA-7SL SINE/tRNA-Core SINE/tRNA-Core-RTE SINE/tRNA-Deu-L2 SINE/tRNA-L2 SINE/tRNA-Meta SINE/tRNA-RTE SINE? SINE?/tRNA Satellite Satellite/acromeric Satellite/macro Simple_repeat Unknown rRNA snRNA tRNA 
20 460857 66360 4293 2943 368437 56800 528424 9953 399792 32253 132 84057 0 2506 19818 1592 98677 57974 5603 7157 27602 57 188965 3571 833 29063 3453 60311 2043 7305 521434 15615 334350 22842 0 78284 2275 32261 67 75820 403471 15652 95446 741 378491 68505 158638 22379 1493 130 291689 0 39790 0 2878 0 0 193975 8005 52444 234207 101626 41593 7969 46023 807316 365 66260 760513 179507 127169 7062 681 0 17626 1073193 296 5830 0 114 212 3728 8 72307 2003137 589879 107177 141 0 1688 0 8024 42381 19 94 758 3953 2157 0 141 0 4797 53 9 1514 43 83 587 0 0 0 0 147354 0 0 261 38132 1304 3664 522441 0 111 0 0 0 0 0 0 6 34928 0 0 129147 0 0 14 90 0 0 0 0 0 0 27645 0 16 0 982007 747 270 1649 
21 406637 54322 3823 2838 360553 51969 486468 12925 360904 33900 101 76794 68 1998 17645 969 79296 56193 4094 6137 23129 64 192631 5986 1176 30336 2419 65317 1977 7277 585222 14213 340663 14062 0 66843 1137 33094 81 65327 366596 7202 89126 499 340911 50716 73132 17933 3018 0 276772 0 39534 53 554 0 0 179687 7375 41533 217814 71662 42878 7463 51981 799655 0 54951 740682 134023 140635 4274 1482 0 24279 1018457 50 6314 0 89 758 5086 0 68387 1939840 581293 119720 169 0 1550 0 9358 42054 0 0 297 2397 4180 0 49 0 3831 122 0 2296 197 119 786 0 0 0 0 151048 0 76 2033 42359 2224 38878 490707 0 0 0 0 0 0 119 0 14 34141 0 0 106870 0 0 0 0 0 0 0 0 0 0 24933 0 0 0 843251 0 107 1943 
22 372398 51709 4466 2211 352984 47093 421836 20018 319802 36382 67 79936 0 2908 18787 1159 63801 50914 4032 10477 19594 1 190282 3045 1136 45948 3299 56514 2003 8075 598494 17526 307858 13485 0 65165 1158 32037 31 70642 327864 6453 80636 431 347868 37829 64145 14241 636 40 305970 0 33282 49 662 0 0 153770 8584 40948 228444 59000 40162 8579 38123 658871 91 54339 673835 98134 128274 3778 1724 0 29376 988441 241 5721 0 127 442 4285 83 68408 1671087 567617 92279 412 0 1595 0 6597 45839 0 0 431 4176 4428 0 170 0 4875 129 0 2018 164 77 863 0 53 0 0 129492 0 0 1133 47850 1564 14841 420818 0 0 0 0 0 0 0 0 0 28380 0 0 102604 0 0 0 0 0 7 0 0 0 0 19344 0 0 0 715750 514 0 998 
23 363641 39822 4004 2560 350558 56075 383057 7227 335350 33797 0 76751 0 2245 18435 878 50726 44231 3734 8908 15120 239 157030 3322 1355 48683 5588 57228 2152 7320 596712 15447 278583 13044 0 59178 1172 29924 0 51401 263862 5629 72586 566 311642 34724 72673 20864 2031 0 231195 0 34956 122 516 79 19 145334 8447 42195 204036 51628 29772 8984 32102 610992 0 43971 637386 87867 120688 2764 1101 0 38833 961675 0 4641 0 252 295 4767 84 60525 1577245 491662 80951 374 0 612 0 5492 47374 0 0 381 2356 4812 0 371 65 4639 8 56 2552 0 0 345 0 107 0 0 133271 0 0 2030 39161 1003 10600 365250 0 0 0 0 0 0 0 63 85 24781 0 0 91238 0 1 0 11 124 0 0 76 0 0 18717 71 0 0 651382 413 364 1620 
24 354880 39951 5024 1375 328086 52194 367122 8892 325446 36635 255 67202 0 2031 19920 1065 47768 39344 3627 12068 11872 0 138637 2267 201 41995 3185 68373 2251 7047 535834 14175 241410 13022 0 58842 1287 25020 28 41520 243276 3126 59409 508 303685 22625 83923 11411 1320 11 249570 0 25459 0 182 0 0 134984 10279 51047 180163 40214 23935 9189 32155 566255 59 51973 562415 78286 140616 1396 278 0 25864 943799 211 4731 64 85 472 3538 66 52373 1584402 429196 83653 96 0 1114 0 4058 50534 0 0 255 2928 3150 0 0 0 5014 138 0 2929 27 0 413 0 453 0 0 114452 0 0 1584 40473 206 9297 309336 0 0 0 0 170 0 0 0 0 20258 0 0 80956 0 64 0 0 0 0 0 0 0 0 18195 0 0 0 562478 160 466 1461 
25 308912 34753 3926 847 288482 56458 328359 6569 314043 32466 26 56853 0 1307 17884 1138 45279 32972 2291 8636 11599 92 138698 2760 370 41646 11245 60435 2067 9945 545954 9672 208428 11330 0 46118 456 24703 0 34336 211012 3302 50571 440 302813 14624 106649 18192 1078 66 238491 0 22342 93 405 0 103 143467 10082 42452 136659 32533 20255 7448 27397 488228 436 47844 516508 61626 110324 3718 935 0 43235 936713 396 6059 0 123 484 6725 0 84346 1768194 410419 66441 231 0 879 102 5583 61834 0 0 415 846 1156 0 0 0 5060 0 0 1896 90 141 386 0 86 0 0 123812 0 0 1097 37043 1088 22295 262019 0 0 0 0 0 0 0 0 0 15194 0 0 79262 0 0 92 67 0 0 108 88 0 0 7181 0 26 0 469075 553 533 363 
26 275608 32909 2414 1336 308374 50340 308502 5014 299754 32417 0 53165 0 2311 13273 497 37499 39760 1888 7757 4670 265 137217 1636 2158 31790 6024 50845 1004 5451 496169 11036 183477 10535 0 45446 925 25703 376 24757 189626 1765 38520 921 318975 12979 116787 11783 582 108 224705 0 19079 129 313 0 0 112068 9726 49986 120896 29439 19752 12151 25557 437185 284 35986 492951 58613 103797 2086 517 0 56909 857327 290 4152 0 59 740 3026 26 83058 1867386 407136 72132 234 0 954 0 3915 96121 0 0 451 3864 1832 0 107 47 3594 0 0 2037 17 0 753 0 34 0 94 124997 0 0 3160 53679 873 27112 200598 0 0 0 0 0 0 0 0 8 11929 0 0 64603 0 0 50 0 2 0 0 248 0 0 5237 0 0 0 393465 481 399 816 
27 254708 25967 2489 986 293025 64875 271283 5228 244693 28328 0 54843 0 919 10210 735 39452 28502 1543 4239 2727 153 135293 1552 995 22216 6569 45447 2318 7510 756279 13149 146180 7595 0 39030 205 25072 0 30654 175863 1822 30744 341 277735 11813 97684 12200 602 91 227607 0 15990 154 743 0 0 89508 10624 44490 99219 24751 15087 8743 20643 354083 415 30197 388503 53211 95592 1851 423 0 20641 819666 254 2995 0 154 486 4473 0 66354 1873657 419824 57647 353 0 1054 85 3569 74541 0 0 322 2048 1246 0 163 0 3058 0 0 2089 36 67 125 0 29 0 0 132405 0 0 1270 44397 213 6398 168284 0 0 0 0 168 0 0 0 0 9809 0 0 57827 0 0 0 0 134 0 94 0 0 0 4008 0 0 0 337270 112 1098 390 
28 227136 25600 2210 481 244763 57543 226332 3142 240170 23244 0 57377 0 1041 9897 591 32112 32487 1997 3783 2365 0 197135 935 2181 17944 2556 39017 606 7775 885064 10897 140976 10809 0 35549 104 24587 230 25838 145132 1104 22711 473 248827 9763 90395 10085 898 0 252715 0 9110 70 699 33 85 77326 9670 27363 100344 17928 10922 7859 23228 312174 468 25122 352156 66695 75193 1863 642 0 23172 808100 228 1610 81 0 352 4633 0 58198 1935744 462766 54468 215 0 165 120 3970 70979 0 0 203 730 1569 0 173 0 4836 33 0 1730 0 0 117 0 0 51 0 109123 0 0 1155 31594 356 9295 144763 0 0 0 0 0 0 0 0 46 5733 0 0 53876 0 0 0 0 67 23 72 0 0 0 5226 0 0 0 271370 0 596 287 
29 183607 22041 1280 1036 195538 87731 171792 3749 222058 20983 0 40979 0 1930 7922 1274 21134 33430 1588 2691 3332 19 151045 687 478 12869 2828 27227 1489 8907 580669 9494 120350 11762 0 26759 105 16508 115 21480 146145 1102 18195 854 203044 9383 65864 6660 939 82 293827 0 8073 69 629 0 0 54293 9593 21691 76744 16219 10611 7430 16477 292035 732 21570 321575 63880 87781 984 1108 0 19076 763662 760 1191 0 593 1710 3867 0 73081 1919327 450586 73552 525 0 1013 0 3988 48697 0 0 591 2168 1621 0 0 0 2843 0 0 1013 0 0 391 0 0 0 0 102286 0 0 268 30844 594 7743 112797 0 0 0 0 0 0 0 0 0 5827 0 0 40828 0 0 0 0 74 0 0 0 0 0 4985 14 0 0 247788 0 0 198 
30 147062 19197 1291 491 194210 111712 166541 1961 195148 18749 0 48873 0 2509 7958 412 21431 25202 1580 2392 2633 -12 125794 960 888 7715 1769 24302 849 5446 378422 11098 119594 13152 0 27905 82 17246 0 19126 135101 554 20369 174 181668 6496 65404 6734 354 0 302499 0 7805 0 1335 0 0 43812 8644 9534 62105 10429 10153 4824 16503 215436 1769 16087 307434 46081 84876 303 371 0 11822 692257 104 1021 0 212 664 4996 0 94411 1760400 401425 84904 547 0 931 0 3406 29571 0 0 145 586 885 0 0 0 4055 81 0 2983 73 0 436 0 0 0 0 107913 0 0 1173 30904 121 12766 97837 19 0 0 0 0 0 0 248 0 5296 0 0 34132 0 0 0 0 0 0 91 0 0 0 4168 0 0 0 223733 0 0 0 
31 126170 19607 325 199 178195 104149 124604 1833 197386 12399 0 34428 0 990 3384 287 16548 24009 1249 2205 347 0 117917 1696 203 4660 2859 25624 648 8330 347971 10238 83692 11732 0 33273 457 24839 0 15508 129958 937 14299 37 171525 6731 66136 7456 570 0 295731 0 4194 0 3405 0 0 36555 8093 12201 47583 11460 8978 6123 16629 180343 401 15308 279338 34192 85970 1221 389 0 13624 709723 649 1657 0 0 556 3111 0 88214 1643721 366493 81129 364 0 200 0 3111 19900 0 0 212 686 4425 0 131 0 3424 0 0 1413 23 0 205 0 0 0 0 97122 0 0 1062 23887 647 6816 70309 0 0 0 0 0 0 0 0 0 3690 0 0 29790 0 0 0 0 0 0 0 0 0 0 5630 0 0 0 174919 0 0 0 
32 83638 19950 62 217 169889 80992 119362 1461 163081 10466 0 35191 0 814 3795 185 20786 23478 470 2310 213 254 150872 1249 558 4042 1784 34048 554 10116 317667 10824 90521 12436 0 29175 422 19065 0 20611 122140 1205 12379 15 157114 4503 42238 8318 233 0 378111 0 5733 65 4250 92 0 29695 6877 8588 54468 7153 7581 5268 12762 188306 2233 10131 267279 25174 87669 768 393 0 10948 675835 252 763 0 16 2622 2376 0 66844 1457166 307084 77707 77 0 384 0 2243 13340 0 0 164 207 7799 0 0 0 10916 65 0 746 104 0 349 0 0 0 0 76767 0 0 724 30660 0 8445 71310 0 0 0 0 0 0 0 274 0 1661 0 0 24356 0 0 0 0 0 0 0 0 0 0 6992 0 0 0 149271 0 0 195 
33 58050 18434 36 380 165965 64193 100913 1304 160470 8822 0 27530 0 764 1491 366 16917 19091 491 970 477 0 173326 713 997 1714 1535 27765 249 14328 251091 9267 104989 9310 0 46963 0 16525 0 22896 106938 790 7468 236 183004 4469 42997 8629 2067 0 375097 0 2951 0 3331 0 0 24747 8217 6225 60036 9211 8184 7153 17718 194469 990 13977 241327 17538 90602 246 401 0 5625 593289 509 531 0 0 2480 2266 0 69331 1273379 285618 69783 64 0 143 1 2019 8943 0 0 161 838 4555 0 193 0 6791 0 0 1007 0 0 306 0 0 0 0 62001 0 0 834 26164 173 9819 48246 0 0 0 0 0 0 138 274 0 1188 0 0 19372 0 0 0 0 0 0 0 76 0 0 3550 0 0 0 136609 0 0 0 
34 46420 18931 0 203 160312 80643 98244 1066 138898 6472 0 19092 0 586 1209 198 15507 24712 234 2193 547 0 199562 656 335 801 1060 31688 252 6861 215858 4170 116964 14552 0 55309 1119 19722 0 29098 117584 1301 5704 47 173367 6405 47522 10562 833 0 400846 0 3363 0 4013 0 0 23449 6988 5667 44521 11028 11422 9375 8903 211050 632 14456 266311 16777 83066 390 141 0 8048 533703 478 328 0 0 3842 1893 0 89542 1090711 329337 71653 226 0 0 0 986 7512 0 0 76 428 2539 0 213 0 8758 0 0 1136 0 79 245 0 0 0 0 64820 0 0 393 21897 330 13059 29790 0 0 0 0 0 0 0 0 0 930 0 0 15503 0 0 0 0 0 0 0 0 0 0 5156 0 0 0 119690 0 0 122 
35 32553 12128 193 95 167087 71056 117926 266 153629 7446 0 16998 0 778 1079 93 18853 19446 236 2029 138 0 229182 210 398 681 427 20691 521 8755 220405 8209 141919 20162 0 50251 1115 23319 0 35862 132408 1124 2538 0 147090 15149 60646 11923 641 0 430422 0 1521 131 2358 0 0 34136 6456 4744 45964 17995 8850 5582 8519 254145 2010 12881 266785 13696 93607 214 745 0 8138 531053 515 628 0 0 237 1991 0 97169 817416 292154 74525 145 0 177 0 1130 4453 0 0 95 0 9865 0 69 0 12672 0 0 1390 241 0 49 0 0 0 0 52177 0 0 411 19796 169 16491 29812 0 0 0 0 0 0 0 0 0 588 0 0 9940 0 0 0 0 0 0 7 0 0 0 7663 15 0 0 125970 256 122 0 
36 25121 14378 0 0 155257 74634 115299 318 127968 5234 0 12007 0 302 688 122 21269 15717 133 838 29 0 248803 813 502 474 456 23497 523 7568 154883 6967 144127 23780 0 51178 1199 20386 0 33517 149165 2164 3574 238 177595 7500 70967 16632 565 0 413168 0 1349 0 2389 0 0 37137 5099 2666 50741 31073 10458 9876 13286 316906 2493 13213 291730 13286 80429 461 223 0 5228 489288 442 966 0 110 1092 528 0 93111 564474 242584 59978 769 0 226 0 495 3262 0 0 61 528 603 166 83 0 11371 0 0 690 0 0 33 0 0 0 0 40324 0 0 515 37012 0 20619 27179 0 0 0 0 0 0 0 0 0 712 0 0 7852 0 0 0 0 13 0 0 0 0 14 3402 0 0 0 91299 198 0 0 
37 19463 22014 0 98 210851 51884 112448 353 133561 1763 0 11509 0 356 80 237 25951 9153 420 1336 32 0 261395 144 289 -8 544 23825 609 4375 148053 10453 194973 17967 0 49555 1599 24733 0 44414 163944 2104 2292 0 176873 3045 46422 10344 2343 0 394744 0 2082 0 2901 0 0 44499 5245 3304 60680 22369 9095 5538 14906 322974 1326 9826 295100 28562 70676 22 302 0 3995 524708 376 794 0 0 899 216 0 118937 478854 222213 39941 781 0 187 0 121 2552 0 0 279 391 5483 0 0 0 12026 0 0 255 0 0 78 0 0 0 0 36066 0 0 156 43606 173 21404 21373 0 0 0 0 0 0 0 0 0 629 0 0 5872 0 0 0 0 0 0 44 0 0 0 2866 0 0 0 70337 0 0 0 
38 20551 19243 0 0 244854 45331 125008 38 124311 2326 0 6976 0 167 202 192 24504 6859 866 511 84 0 223830 282 266 0 682 15678 208 2483 123619 5108 142618 21578 0 40388 2506 36852 0 51513 125328 2673 3827 149 189800 1538 43909 12083 3776 0 390860 0 1386 0 2187 0 0 30458 2443 2740 46472 21789 6924 2862 8284 388598 2835 10054 337712 34662 81450 0 0 0 655 508044 38 357 0 86 0 740 0 90096 375113 172552 38875 435 0 598 0 0 2188 0 0 201 0 3765 0 0 0 3319 0 0 69 489 0 13 0 0 0 0 28654 0 0 474 68294 0 8580 11448 0 0 0 0 0 125 0 0 0 544 0 0 2955 0 0 0 0 0 0 0 0 0 0 3766 0 0 0 62359 0 0 0 
39 12794 36019 0 0 242761 53714 153547 174 150514 1456 0 8705 0 170 148 84 25524 5515 585 1066 176 0 186255 374 151 0 0 11062 153 3213 124719 2122 133792 16623 0 51527 2571 32984 0 74443 97008 1271 2063 0 207389 3839 44269 10570 1479 0 375828 0 2196 0 2049 0 0 18327 3667 1910 48730 20937 8828 3979 7688 370637 889 9066 341863 21106 86013 222 220 0 1114 463958 23 0 0 549 270 1034 0 79570 258538 132533 24319 489 0 0 0 218 1435 0 0 0 0 968 0 0 0 6439 0 0 928 0 0 32 0 0 0 0 30866 0 0 47 68104 0 13660 12447 0 0 0 0 0 0 0 0 0 70 73 0 2105 0 0 0 65 0 0 0 0 0 0 7693 0 0 0 54346 0 0 0 
40 10607 28726 135 0 285171 44189 192788 165 151607 769 0 4514 0 241 166 190 20250 2984 418 0 0 0 150258 96 96 0 1730 13090 137 812 86044 4142 162177 12332 0 41954 2179 26181 0 69924 65892 478 2171 0 186743 1391 45051 6653 2048 0 350246 0 770 0 2505 0 0 16835 2573 994 47623 17331 8796 2938 11490 370151 198 10517 400213 11515 70198 803 14 0 2417 364370 132 2620 0 209 658 323 0 72451 181358 90734 23004 237 0 0 0 228 786 0 0 0 0 946 0 0 0 7552 0 0 101 0 0 0 0 0 0 0 28760 0 0 209 67206 0 19204 14842 0 0 0 0 0 0 0 0 0 208 0 0 1365 0 0 0 0 0 0 0 0 0 0 6166 0 0 0 37196 0 0 0 
41 11197 28345 138 0 215012 45082 142942 161 131350 828 0 4331 0 187 0 0 18713 2419 163 228 0 0 106385 140 386 0 6180 9294 83 1099 35513 3411 101583 14574 0 24010 575 22298 0 78414 50429 536 1318 0 158209 257 35751 4074 4298 0 298797 0 2502 0 968 0 0 16129 1752 1778 28105 15258 12454 1447 6807 354448 473 11506 367096 9019 88654 769 0 0 425 351699 109 160 0 0 1198 312 0 58945 136622 74361 17021 282 0 0 0 131 302 0 0 0 0 683 0 0 0 1459 0 0 91 18 0 63 0 0 0 219 44458 0 0 0 58184 0 7555 12664 0 0 0 0 0 0 0 0 0 221 0 0 380 127 0 0 0 0 0 0 0 0 0 754 0 0 0 34869 0 0 0 
42 6408 23489 0 0 167272 43428 89615 0 123174 916 0 4186 0 205 0 0 17042 1982 136 910 0 0 87388 247 0 0 2416 6584 351 1406 17778 1570 66862 5530 0 20936 696 16485 0 44791 22227 456 780 0 147453 2078 22260 4630 839 0 265264 0 1414 0 0 0 0 17662 804 1312 31167 9846 14870 557 8081 295506 164 9047 293085 2729 63297 0 84 0 233 313791 0 0 0 0 705 137 0 45151 74069 40884 13265 254 0 0 0 0 1410 0 0 0 0 165 0 0 0 2187 0 0 352 0 0 33 0 0 0 0 45350 0 0 193 37733 0 3298 16271 0 0 0 0 0 0 0 0 0 0 0 0 447 0 0 0 0 0 0 0 0 0 0 2092 0 0 0 26344 0 0 0 
43 5384 25019 0 0 140618 39654 68766 340 79334 14 0 9889 0 205 0 101 10503 2288 0 -2 0 0 50872 0 0 0 1866 7198 327 278 10740 2121 42178 1514 0 18240 1164 17190 0 38084 18429 419 1543 0 105323 2072 11149 4026 440 0 188009 0 1227 0 124 0 0 11612 1086 971 27909 3236 9542 1677 6441 217676 202 4885 232357 1464 42198 0 0 0 0 228841 0 0 0 212 0 160 0 27057 38962 30871 10787 39 0 0 0 0 842 0 0 0 0 226 0 0 0 1613 0 0 268 0 0 0 0 0 0 0 38623 0 0 255 21789 0 3631 11151 0 0 0 0 0 0 0 0 0 0 0 0 254 0 0 0 0 0 0 0 0 0 0 2396 0 0 0 17621 0 0 0 
44 1264 22926 0 0 79314 33925 45042 0 54085 17 0 3188 0 193 0 57 14350 775 0 0 0 0 29066 0 0 0 617 4934 0 346 5402 1136 27136 3302 0 10280 0 10129 0 36476 11042 0 1009 0 91236 179 13376 3555 1267 0 139247 0 967 0 185 0 0 5195 1124 0 25853 5356 9589 0 2984 149627 0 2969 192236 1265 36863 0 0 0 0 159896 30 503 0 0 594 9 0 26884 22907 13003 4455 852 0 0 0 0 1988 0 407 0 0 0 0 0 0 1392 0 0 4 0 0 0 0 0 0 0 25248 0 0 0 20074 50 614 12953 0 0 0 0 0 0 0 0 0 144 0 0 322 0 0 0 0 0 0 0 0 0 0 749 0 0 0 13384 0 0 0 
45 1010 6582 0 0 59328 22265 22291 0 26754 0 0 889 0 983 0 0 14649 952 0 268 0 0 16843 188 136 0 619 4577 0 0 4311 447 11239 1174 0 4237 0 14801 0 24434 6009 0 668 0 56259 108 7189 1053 241 0 84737 0 373 0 0 0 0 3562 730 0 22050 3317 5883 464 2430 100308 191 4823 113847 269 19337 0 0 0 0 100952 131 105 0 426 81 29810 0 12077 17333 8979 3515 225 0 0 0 0 859 0 0 0 0 0 0 0 0 487 0 0 204 0 0 0 0 0 0 0 16207 0 0 49 12301 0 0 6101 0 0 0 0 0 0 0 0 0 0 0 0 133 0 0 0 0 0 0 0 0 0 0 2514 0 0 0 6897 0 0 0 
46 336 8621 0 0 34505 19999 11255 0 17653 20 0 128 0 0 0 0 8432 356 0 31 0 0 9479 74 28 0 0 2910 0 0 3537 0 8246 676 0 4402 0 6911 0 5656 4170 0 151 0 37088 376 3136 1477 638 0 64330 0 774 0 0 0 0 2182 1128 0 8995 650 7316 1760 1510 57805 512 3844 74365 0 10093 378 0 0 0 73256 0 0 0 0 0 45 0 6073 7262 6100 1775 380 0 0 0 0 778 0 0 0 0 0 0 0 0 1145 0 0 36 0 0 0 0 0 0 0 13951 0 0 209 4709 0 0 1694 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1979 0 0 0 4480 0 0 0 
47 449 6802 0 0 23602 29119 8790 0 13770 125 0 335 0 0 0 68 4166 736 0 0 0 0 1783 0 0 0 1090 2334 105 128 2875 388 2590 1428 0 1220 0 6187 0 6909 1939 0 0 0 18712 0 1165 951 228 0 35740 0 68 0 0 0 0 418 75 0 5440 635 5932 195 1677 30135 0 3649 50483 306 6012 148 0 0 0 34124 0 628 0 0 54 0 0 5911 3437 4286 877 230 0 0 0 0 1655 0 0 0 0 0 0 0 0 314 0 0 342 0 0 0 0 0 0 0 8264 0 0 0 2407 0 0 1022 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1385 0 0 0 1812 0 0 0 
48 356 1558 0 0 11525 15818 4015 0 12258 0 0 615 0 205 0 0 2174 12 0 0 0 0 2061 0 0 0 0 2348 0 0 844 0 1122 514 0 1671 0 155 0 4544 859 0 0 0 8818 142 1329 620 0 0 28140 0 1172 0 0 0 0 982 691 0 4800 682 5786 491 1001 18482 0 608 36130 444 3307 0 0 0 0 24022 208 0 0 0 265 320 0 1345 2477 1360 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 370 0 0 0 0 0 0 0 0 0 0 4343 0 0 0 1380 0 0 703 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 483 0 0 0 1049 0 0 0 
49 5 3805 0 0 12517 9088 1939 0 4873 95 0 36 0 0 0 0 3008 517 0 0 0 0 603 0 0 0 0 1559 149 0 1269 0 1229 43 0 664 0 421 0 426 525 0 0 0 6572 0 2192 755 0 0 13133 0 76 0 0 0 0 557 387 0 1978 0 2542 281 184 6355 0 194 18694 0 2992 102 142 0 0 16056 0 0 0 0 131 0 0 988 1904 780 307 442 0 0 0 0 483 0 0 0 0 0 0 0 0 182 0 0 100 0 0 0 0 0 0 0 3535 0 0 0 3 0 0 1036 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 126 0 0 0 
50 275 2212 0 0 6704 3399 250 0 2421 0 0 176 0 0 0 0 1894 246 0 0 0 0 101 20 0 0 0 1275 0 0 846 0 0 154 0 0 0 838 0 521 182 0 0 0 4735 0 0 572 390 0 10697 0 0 0 0 0 0 426 262 0 1255 0 518 202 0 6213 0 0 10730 0 608 0 0 0 0 6339 0 0 0 0 265 349 0 394 940 760 0 434 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 1968 0 0 218 979 0 0 1485 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 375 0 0 0 
51 0 902 0 0 2448 2223 390 0 700 0 0 0 0 0 0 0 920 0 0 0 0 0 192 0 0 0 428 2124 42 0 12 0 3 0 0 0 0 288 0 24 183 0 126 0 841 0 580 0 0 0 3632 0 0 0 0 0 0 1172 13 0 511 429 303 294 122 5866 0 0 5443 0 0 0 0 0 0 2664 0 0 0 0 0 0 0 720 91 0 0 304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3368 0 0 0 617 0 0 318 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98 0 0 0 0 0 0 0 
52 47 8 0 0 1575 1213 20 0 697 0 0 0 0 0 0 0 39 0 0 0 0 0 0 0 229 0 236 0 0 0 262 0 0 0 0 173 0 176 0 0 399 0 0 0 1373 0 171 0 0 0 3241 0 0 0 0 0 0 0 37 0 5 0 1036 283 0 2408 0 0 3249 0 321 0 0 0 0 1247 0 0 0 0 13 0 0 0 30 214 0 237 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 399 0 0 0 78 0 0 208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
53 148 0 0 0 1357 981 178 0 148 0 0 0 0 0 0 0 154 0 0 0 0 0 0 0 0 0 0 7 0 0 128 0 0 0 0 0 0 166 0 0 0 0 0 0 748 0 3 0 0 0 527 0 0 0 0 0 0 0 152 0 0 0 0 489 0 1474 0 0 2281 0 0 0 0 0 0 1778 0 0 0 0 0 0 0 0 255 33 0 245 0 0 0 0 0 0 0 0 0 0 0 0 0 348 0 0 0 0 0 0 0 0 0 0 120 0 0 0 380 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 397 0 0 0 0 0 0 0 
