"","ZNF384","KLF4","hb","Foxo1","MZF1","GSC2","ceh-48","THAP1","NKX2-2","NKX2-8","NFAT5","PRDM1","HLTF","RUNX1","ELF3","Deaf1","RARB(var.3)","Wt1","Sox3","Dlx1","Kr","ZNF148","EN2","MYF5","ZNF740","hlh-30","GSX1","EMX2","Gmeb1","D","dsc-1","h","NEUROD2","GABPA","HIC2","EGR4","IRF1","MEIS3","BARX1","HOXB6","PITX3","lim-7","Nkx2-5(var.2)","NRF1","Mad","NR4A1","RXRB(var.2)","br","br(var.4)"
"1",0.0118324477887271,0.0662298680289353,0.00894694686497207,0.0100048501190526,0.399505283922547,0.3681555186779,0.0537101234773634,0.342275190287025,0.0658213579015076,0.056529711687389,0.0572525292160188,0.0616786161247147,0.361086637859415,0.0605893643127198,0.0603775934550082,0.0633492443022821,0.0638323678295362,0.0571195108302637,0.0604152910105576,0.0511974028883613,0.064232265176031,0.0551281266639654,0.0530746172381939,0.058295342722391,0.059299524824409,0.0569491704018365,0.0527491277655426,0.0528029071411017,0.0541344976083006,0.0613137394800107,0.0629840884375445,0.0537847206757195,0.0566002455412054,0.0597703604867435,0.0555666137783754,0.0556767044268607,0.064712295938618,0.02027528813001,0.00256706461501506,0.00258810224415599,0.00958843197961888,0.432753736898369,0.312068204884958,0.00781628532302441,0.00477939383778263,0.00875921034755182,0.00867517411257419,0.0161094024305346,0.0143077979102655
"10",0.00595211465619208,0.00644588762548365,0.00597749212157417,0.00668428165124173,0.0273227830319859,0.36236587971515,0,0.0177677806796881,0,0,0,0,0.017954921722564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204088093676353,0.00553769102246656,0.00558307355368384,0.343461683277251,0.0408871654098581,0.0194872764232198,0.236560539084299,0.0167386987093525,0.00494093443840424,0.00489353090418145,0.0349918233946038,0.0310784921911643
"100",0.00321139866547368,0.00956478314561018,0.0023154754491614,0.00258926147353153,0.0155414201276102,0.0184052204628114,0.00622044130941436,0.0125062039111059,0.00817270080183498,0.00705684919141543,0.00663070525156906,0.00771600098766574,0.0138915276004554,0.00753612323854918,0.0075538950547273,0.00733679669055645,0.0073927496720786,0.00661529971890423,0.00699700070659401,0.00592943041726045,0.00803549721004009,0.0063846674371487,0.00614684011458213,0.00675147876302425,0.00739054728733031,0.00659557173153331,0.00610914353095181,0.0061153719926954,0.00626959022592805,0.00710105457227021,0.00729450614124603,0.00622908078860708,0.00708349445678554,0.00692230803764629,0.00643545084972587,0.00644820100506497,0.0074946586010602,0.00467252735162129,0.00077567244257218,0.000782029239781811,0.00444057986797651,0.0117037302686821,0.00583097400241447,0.00107537181973869,0.00116017528429041,0.00156267187454041,0.00154767953440571,0.0069181819724349,0.00614448301200927
"101",0.00598727586047562,0.0204176351456228,0.00572090658934448,0.00639735697946059,0.0327192066841967,0.0312437436318681,0.0128140592256467,0.0251542977543357,0.0165033697091052,0.014228753631771,0.0136591996572365,0.0155486084895079,0.0283085370561693,0.0152105486622647,0.015221581768254,0.0151137423605352,0.0152290050538736,0.0136274643834592,0.0144137653578518,0.0122145791209595,0.0161924099587575,0.0131523637321134,0.0126624413543823,0.013907992122545,0.0149083614292216,0.0135868248876422,0.0125847866943323,0.012597617275588,0.0129153055996185,0.0146281154869037,0.0150266241680159,0.0128318564835175,0.0142724704115528,0.0142598990586603,0.0132569771548716,0.013283242372647,0.0154389366305313,0.0873927808517896,0.000531066867191486,0.000535419070768934,0.00481388053759074,0.0147273800313794,0.0116775838164155,0.00170126250696477,0.00200809950060275,0.000575438326249127,0.000569917546580521,0.00783816265247003,0.00696157711019516
"102",0.331091416538167,0.548215296518621,0.00622593066872136,0.00696209602362099,0.596372974457243,0.944199272838486,0.533163095944831,0.560708923837042,0.631857617512478,0.541179169280733,0.568327416717808,0.589829348192689,0.737445537314382,0.581121350422187,0.577362190595918,0.628847543651712,0.633643355294617,0.567006986047105,0.59972313433933,0.508220127995012,0.614248408745951,0.5472391568451,0.526854630202601,0.578679090509525,0.568168398705676,0.565316071480076,0.523623601046443,0.524157451585497,0.537375721253442,0.608641742908948,0.6252227589977,0.533903598305454,0.541155544896737,0.593321116758957,0.551591877194911,0.552684711602669,0.642378118212164,0.0217993861408194,0.00146737368038579,0.00147939911329408,0.0152020929134669,0.0104212924922796,0.00788408603717313,0.0255368924235459,0.00130617197107883,0.0106975620360341,0.0105949291728789,0.0137990880651411,0.0122558589142803
"103",0.00482963927345463,0.0258685439999111,0.000625519133911189,0.000699481652884567,0.0236458231126861,0.043966943103488,0.0198828274886275,0.0266200070528105,0.0289011662732212,0.0251336125646965,0.0211941825486488,0.0275581150035879,0.0283418072732956,0.0267115756115944,0.0269821967361542,0.0234511115307349,0.0236299579218094,0.0211449407773485,0.0223649980872677,0.0189526492137757,0.0286993743750537,0.020407754837741,0.0196475708907409,0.0215802192900975,0.0262655048593691,0.0210818828446259,0.0195270786889902,0.0195469871527482,0.0200399255753525,0.022697592666632,0.0233159353182263,0.0199104424544853,0.0253121783878736,0.0221262527350521,0.0205700773774662,0.0206108315822646,0.0239556964914226,0.00699972034861083,0.00586500393171204,0.00591306886038729,0.0117281338998714,0.00112903554038276,0.00120661291298521,0.00670238720369694,0.00462390783997861,0.0011368210010798,0.00112591429225747,0.019206446775219,0.017058482474386
"104",0.0366006021087907,0.234071372498128,0.0320740427656743,0.0358665358614106,0.26112764988258,0.245547224313203,0.193863914946572,0.215948403670539,0.232513213996265,0.199341768013706,0.206650045388338,0.217347364088178,0.277787457977115,0.213910953286745,0.212756719979368,0.228655823413313,0.230399632817061,0.20616992239936,0.218065870633856,0.18479437983824,0.226345771113592,0.198982124166055,0.191570088019321,0.210414026846875,0.209220256568028,0.205555087426164,0.190395250589117,0.190589364465874,0.195395671440489,0.221308773952433,0.227337812190837,0.194133169678847,0.199426061234286,0.215738027238228,0.200564820744456,0.200962187250667,0.233575687852012,0.0122496978840844,0.00172112335743729,0.00173522832179532,0.0169374905961065,0.016626346838183,0.0133340412400407,0.325275873752845,0.00242978356192441,0.00341217503568445,0.0033794384839057,0.0268287688518255,0.0238283576667969
"105",0.0123922500290176,0.0424693791604525,0.00867436560983002,0.00970003836101746,0.0509219596312928,0.059343663355296,0.0275883408456126,0.0432398767656962,0.038134746831698,0.0330493145740266,0.0294079065178581,0.0361885567045419,0.0475117464922266,0.0352062247080344,0.0354303429975515,0.0325394996505626,0.0327876572729527,0.0293395812873922,0.0310324671174627,0.0262976755562581,0.0376871248203272,0.0283167017708789,0.02726191145762,0.0299435503144011,0.0345736564328152,0.0292520854952587,0.0270947229662931,0.0271223468786457,0.0278063216919104,0.0314939574474548,0.0323519364165589,0.0276266578853275,0.0332309575755469,0.0307011969218128,0.0285419317868525,0.0285984801270478,0.0332396345729716,0.0124956193279465,0.00235114430416337,0.00237041242138897,0.0103561188452868,0.013453326828792,0.0105590577815839,0.00758086445187089,0.0555397679118711,0.00191758236683394,0.00189918500040772,0.695944546694051,0.618113177927444
"106",0.00531831151569794,0.00803236371972637,0.00447479123159465,0.005003898677596,0.00804447627806126,0.00539610913024589,0.00270534936221962,0.00335618723098797,0.00369641531982389,0.00320084952791987,0.00288377838984666,0.00350375721761921,0.0038056094092505,0.00341164449246181,0.00343030256003146,0.00319086657364517,0.0032152012398442,0.00287707832695782,0.00304308496093125,0.00257878500893233,0.00364884543403211,0.00277677340238434,0.00267333926267947,0.00293630433228966,0.00334931526760238,0.00286849837331835,0.00265694453706285,0.00265965337461432,0.00272672485365667,0.00308833931591046,0.00317247387368806,0.00270910678204907,0.00321721177908863,0.00301060016535985,0.00279885975703237,0.00280440496241235,0.00325952273446349,0.00463856702838245,0.000426285481984795,0.000429778980288539,0.000981209725029311,0.000102124756765067,0.00010914187006587,0,0,0,0,0.00694359229532746,0.00616705155645709
"107",0.0557849387819351,0.0948049075354944,0.0502172995310747,0.0561550842733817,0.0999787559658622,0.56146609274226,0.0325041742070491,0.0486457762488577,0.0466769289075214,0.0405590198644432,0.0346479595083403,0.04445736500109,0.052041210523621,0.043129204094114,0.0435277201574993,0.0383375561136835,0.0386299317456258,0.0345674597346776,0.0365619927238554,0.0309835314963135,0.0462984404035701,0.0333623182517726,0.0321195799411964,0.0352790470888943,0.0423960234205896,0.0344643734894479,0.0319226009391639,0.0319551470231932,0.0327609960087484,0.0371057137893909,0.03811657189187,0.0325493187752188,0.0408317643494261,0.0361716950901824,0.0336276809177202,0.0336943053338499,0.0391624447002707,0.00502856542101562,0.00153387406753626,0.00154644448496673,0.503998635760494,0.0234438091708795,0.00816814807596318,0.168855103789486,0.000671573374010922,0.000430955448163375,0.00042682084334516,0.000945284779907276,0.000839568299127424
