"","EBF3","YY1","ZFP42","vfl","IRF2","pho","IRF8","Hand1::Tcf3","IRF3","YY2","ZBTB14","ZBTB7A","TFDP1","TCF12(var.2)","TCF4","efl-1","E2F6","EGR1","KLF9","KLF6","MXI1","Stat2","ZFP57","IRF7","TCF3","E2F1","E2F7","brk","NFIC","ASCL1(var.2)","E2F2","SP3","SNAI1","Prdm15","NFYC","KLF4","HES1","IRF9","Klf1","gcm2","MYC","ZEB1","POU4F1","POU4F3","POU4F2","fkh","TFAP4","SOX18","Atf1","atf-7","zip-8","FOSL1::JUND(var.2)","FOSB::JUNB(var.2)","JUND(var.2)","JUN::JUNB(var.2)","FOXD2","FOXE1","CREB1","Foxj3","JUN","FOSL1::JUN(var.2)","NEUROG2(var.2)","TFE3","TFEB","USF2","FOSL2::JUN(var.2)","ATF2","JUNB(var.2)","FOSB::JUN","Stat92E","Creb5","JDP2(var.2)","FOSL2::JUND(var.2)","ATF3","ATF7","FOS::JUN(var.2)","RELA","SNAI3","SNAI2","FIGLA","Atoh1","ATOH7","NEUROG2","Bhlha15","RFX1","RFX3","RFX4","FOXC1","FOXB1","Ptf1a(var.2)","vnd","blmp-1","PAX1","PAX6","PAX9","sv","SOX15","FOXO3","FOXN3","FOXG1","FOXP1","eor-1","GATA5","Foxo1","slp1"
"1",0.00744792510602159,0.0278928530112717,0.0113808162196565,0.00302150998300519,0.00838677194568164,0.0281170236433863,0.0420459600499376,0.0223860405822796,0.00536445604363011,0.0111497676626041,0.0201275880965792,0.0127316638732546,0.0926698629524854,0.0717383549900005,0.0780535774237285,0.100764212885239,0.0729652586338825,0.00972733521080823,0.0102119303432388,0.0128766787333531,0.0274508050418472,0.00787837416167985,0.0117452879964429,0.0206504609316196,0.0807886666876198,0.0990162776761193,0.118165048642368,0.0147955277090207,0.00678266829993074,0.0780864548413535,0.0616167843437977,0.0492986854593123,0.068499152039084,0.0129240203933229,0.0557371907466097,0.00343386968409275,0.0626748128039835,0.0544465376279455,0.0902835247254922,0.00824724051318196,0.0363175221113805,0.0677024352950533,0.0840097463103559,0.078958095573455,0.0989812768263127,1.24478584045642,0.101464505693937,0.0117450256117846,0.334756672060497,0.122605596037022,0.298744190499075,0.2799233083753,0.0175629376891987,0.0192198258560828,0.00796988099424431,1.27118121836128,1.20173157612768,0.0749470830767847,0.276073618207916,0.0409012438145935,0.0357614440210189,0.0761882887360762,0.0155843275781964,0.0359080290913487,0.00721308452759272,0.289258551751518,0.0447035746423591,0.0372048617559897,0.280642501244557,0.00744598098397046,0.0361123777230354,0.0570372749239532,0.0475543950801854,0.251666854064151,0.291664300624846,0.0180605254943109,0.00597637693990604,0.0844778864590838,0.0739006827605131,0.0892277893313171,0.072925399324503,0.0682448056930218,0.0683973712095254,0.0793234102524053,0.0427259623065355,0.0484631363385065,0.053848284845135,1.16432203849704,1.09271496544082,0.0890290829876269,0.0519435141659177,0.00528510139457324,0.053367761505193,0.0518280374770932,0.0545190779177157,0.0536028037160541,0.0316560791361343,0.237714846102315,0.0381773678131303,0.0373552057431667,1.10237170665044,0.0078348584896405,0.0151289462739572,0.0087497778049826,0.0815552032516336
"10",0.00862247793274724,0.0294985854966238,0.00929884177111504,0.00232966382614115,0.00601492513845709,0.0295235719156099,0.00760194394114723,0.0195410460098853,0.00576070029908264,0.00914514116709496,0.019932894887539,0.018977324580597,0.0642703293465403,0.0698416968353451,0.0765002086913369,0.0681267099744885,0.0544138454732123,0.00825876558026765,0.0309308583698973,0.0146113225364784,0.0290445850249125,0.0039456907344563,0.00960758740461145,0.0247429458899277,0.0813376788085674,0.0542110813773408,0.0759167479942006,0.0144098665635197,0.00898374636512377,0.0740356289958626,0.0370512879195526,0.996672562008538,0.0639349944651035,0.0104639059215157,0.0345478022384879,0.0265991041900866,0.033282264023603,0.010352858405581,1.1411909187763,0.00591485432141533,0.0406262177011788,0.0638403408776937,0.0725269686543899,0.0756426269400245,0.097997844960523,0.0416746889385903,0.084338183162011,0.0339428144953091,1.02130214129066,1.05136140933083,1.16146275786805,1.00454242699725,0.693584060874409,0.703397310439425,0.0039915196902763,0.0373690119202366,0.0368172279552675,1.02146770796522,0.0270148796945219,0.742797071195254,1.04171571422049,0.0709888340263649,0.019049969359294,0.00168344365388585,0.00517316599662316,1.05086599901869,1.02877562319241,0.330411825831832,1.02971978696294,0.00534019745511481,0.702984520466514,0.711680867481438,1.01864630609201,0.040636568234657,1.05081234730022,0.0168622203144015,0.0145804765073793,0.0825933560592137,0.0702393277956039,0.0772336762292933,0.0654303883939703,0.0613807759072244,0.060767297645034,0.0725677991890412,0.0279927748175519,0.0414738056193058,0.331644504522461,0.0352250880089876,0.0348216713341851,0.0746666832438161,0.0145708225439211,0.00485955366804383,0.0609739626556755,0.0591263269342246,0.0622410208468827,0.0611405719974189,0.084331467248026,0.0169139809034434,0.0038060353974254,0.00375896585858889,0.0380338843138895,0.00561909726302476,0.432808419578662,0.0100803573639907,0.0103407463262463
"100",0.0051621745386355,0.00501904559640718,0.00245717023924867,0.00308966968406656,0.00165587262337936,0.00507415420880464,0.00233513104731688,0.0154680534133831,0.00130128162704565,0.00241377213935581,0.00678080867772373,0.00492432924226369,0.0200158519160186,0.0732506063387013,0.0804529481805837,0.0223178445276258,0.0165085231201581,0.00198360825040119,0.00352845411601373,0.0072754688256848,0.00461207217622185,0.00211097852029339,0.00253788586796583,0.0176837888820566,0.0763091478346736,0.0222074047563426,0.0253793199538816,0.0171321201223153,0.00231547974773692,0.0833890524252021,0.0203489761668903,0.0157932879142468,0.0679614349064566,0.00277263615917764,0.0134908465966129,0.00222411681100028,0.00618352047139661,0.00637877920979129,0.0174288012600289,0.00162832373082886,0.00785704193208433,0.0714108368181198,1.54296053127975,1.49902976219074,1.50565763154262,0.0177974513717031,0.0899140398489464,0.00215569734895928,0.0228817113975189,0.0203558395726219,0.0316260420127983,0.0183274919064498,0.00549630649058655,0.00682928368183122,0.00213549740630203,0.0144880407171025,0.0146103783694209,0.0146959955092759,0.0200524655793197,0.0139722828193339,0.0139473334099632,0.0839344088768662,0.00239728811312496,0.00098713210110782,0.00142414140705376,0.0210099160629286,0.0165393161137268,0.0145391405184937,0.019828409444116,0.00147012416045348,0.013188087770511,0.00905450977976053,0.0166106794143447,0.0118560787788261,0.0198496812264884,0.00759429047839192,0.00370025335293773,0.0819226220267977,0.0792667060820675,0.084039651696216,0.0794519838095482,0.0737191998547319,0.0728977848173809,0.0894482632232437,1.18459618167803,1.21692874072835,1.27937765844899,0.0138535498576293,0.0140255641786305,0.0866329982557442,0.0054428228111343,0.00606019239116235,0.0322092996997998,0.0316565172739131,0.0330619373280324,0.0324995708915022,0.0106836078430658,0.00836180486377918,0.00382003683724165,0.00378572088102835,0.0239020367633391,0.00154690359593326,0.00757354301563157,0.00486082407356645,0.00781219402847024
"101",0.00303232133308411,0.0215073013529517,0.0118680123877413,0.0149829699013495,0.0112794356121216,0.0220157958243664,0.00351056574446119,0.0223969635750381,0.00261405308465068,0.0115209577735142,0.0203402318302462,0.0114412154501641,0.101166696822489,0.840969333165395,0.869032371769262,0.104102040533851,0.075642667309713,0.0227403616349797,0.0123590117665198,0.0218195106053013,0.0229951090012606,0.00223799846795331,0.0122149661575368,0.820709512251261,0.842774195076949,0.114483976330234,0.12625423683094,0.0196455502721258,0.0277972005207916,0.897641871395956,0.7468957585538,0.016479460015256,0.0865180063844275,0.0137671567454695,0.0802841102080271,0.00321230637498286,0.0235685183215167,0.00601712632637357,0.0274577263980717,0.011091778690133,0.0282948919483174,0.765063079913885,0.482393800941324,0.943285298545813,0.972182673063907,0.0209459615585256,0.967072457402058,0.0107072572131058,0.0215601652609354,0.0184970507263753,0.0233332767545072,0.0164124079683459,0.00632887171510985,0.00636054770496534,0.00226399268286159,0.0156366410770009,0.01573669026676,0.0134695782525118,0.66278866761244,0.0128176435016285,0.0103408446078564,0.787094034108909,0.00924414676596231,0.000823814132836781,0.00970093416402777,0.0187720551527683,0.012810457879929,0.0102431620602688,0.0166468666612472,0.0100141584416185,0.0109528523535908,0.00947944820240511,0.014098311239794,0.0106453284524094,0.0168053801302184,0.00451087991529904,0.00209746904783357,0.824161254010726,0.917495834730689,0.884355458770924,0.0675651199558273,0.064215588951276,0.0632205961495809,0.826907933872402,0.0455468455429849,0.0486454770244686,0.0504521023235177,0.0150208285250082,0.015229344992719,0.993937592205805,0.0217311079086705,0.00301350663245642,1.01310233157299,1.01348644593078,1.05040655758218,1.02948401881942,0.0209831175509712,0.0194891401256323,0.0146184651662844,0.0145414967152105,0.669253203498467,0.0105371628603169,0.0131595718738677,0.038178453523979,0.019169411914353
"102",0.0075841068311577,0.156777191127034,0.139710420484316,0.00138032070709829,0.0144743629919986,0.15715212442765,0.0171504136984982,0.133254136812227,0.00943838193393551,0.140579899652142,0.226061553891889,0.0355400157270278,0.267852530011979,0.307020671726035,0.30738775574917,0.31062250486799,0.225318587997988,0.0206411798877688,0.0156161882136188,0.076313473457121,0.0242059474521919,0.0436273063908006,0.145341315920276,0.0453553177940538,0.368858814304285,0.318727414412889,0.343325370259584,0.046881890596817,0.0297992279099522,0.274500818159236,0.23679630670128,0.367857663624847,0.286643935672715,0.148531434048416,0.158078238780009,0.00387319465112773,0.153068184421243,0.0228889302026379,0.391889099406675,0.0142335517936168,0.209181897674854,0.265143550015918,0.313637912953618,0.298158086129074,0.416185431441871,0.104671344978982,0.339350461522565,0.0183903211827187,0.605872194856751,0.632109522529299,0.682649311251784,0.333241468909433,0.454557670663995,0.21947021865859,0.0441340348780765,0.0991500272201569,0.0990154090345206,0.576410957604367,0.032026159232943,0.502970262674245,0.542946773620534,0.29165013038795,0.00740100377596971,0.00736936117574124,0.0124487471962444,0.611651431275688,0.585595713535657,0.422283974349039,0.592167992985472,0.01285069300698,0.488153720669409,0.24258826222047,0.57060419711758,0.36203842227464,0.601269708801303,0.0294380540346836,0.024498636908688,0.382927784121614,0.260080722333359,0.28865159357517,0.314404171271754,0.293022181728128,0.296776989258239,0.310214432242155,0.136151921487856,0.159392454980866,0.497887345949586,0.0928780652477458,0.0962837517386829,0.262402590383585,0.0345999008955783,0.00600986760284511,0.273653314337267,0.264881661132707,0.279912904000581,0.273925542483597,0.095874608958701,0.0312673680772732,0.00853562005457923,0.00836392678521964,0.0357956105659227,0.0135218396904652,0.174492999766714,0.0277230708376687,0.0706006253110153
"103",0.00853017825808806,0.00688142388237853,0.00508978690780195,0.00213024627093142,0.00456485803608264,0.00712055551759288,0.00576374258805984,0.0191230598968764,0.00246373598025475,0.00495236032677953,0.0131690971382629,0.0775738744848965,0.0292945387699747,0.08913781326526,0.0863931536367497,0.0416166087839922,0.0242289572909629,0.00408944116718163,0.0046032733980059,0.0184413427136303,0.00689558836118974,0.012680652680353,0.00524214589461866,0.0104651143289924,0.0962198337353488,0.0434802297323529,0.0472501722438745,0.0199818108044509,0.00341425562546327,0.0873462410581657,0.019029594887814,0.061222958397254,0.0798304927811521,0.00587308719708072,0.0335524650878985,0.000892607817809294,0.0100446546939591,0.0192085332770745,0.07444169701918,0.00448891210777344,0.0129304643328009,0.0766885550695018,0.0739481973672337,0.0847177193702157,0.113663071376141,0.0738642907583684,0.115183754262262,0.00394602576867258,1.0796170135863,1.16670338840285,1.13386659192342,0.159874814295786,0.992934558599509,0.115770169793292,0.0128279376833011,0.0637614478866544,0.0641135654836101,1.01694477375711,0.0412984857176199,1.11861015375812,1.09835334466206,0.0894265299626133,0.00171283142469648,0.00318749953719083,0.0039260286417683,1.14405910674875,1.11442248302386,1.06031892821615,1.09312799539949,0.00405279246309988,1.09414975372755,0.120499386863617,1.07343667040754,1.11605495111748,1.11732068617491,0.0881803472984255,0.0771112111910926,0.10348656990958,0.0806902929021968,0.0925523461322329,0.09521752509056,0.0885045964338393,0.0890284263624128,0.0965398830465148,0.0246244797243868,0.0937363135547211,1.00898518424096,0.0604887090324242,0.0611250096252084,0.0938075648097289,0.0103282323577107,0.00955108640588879,0.0529102012283001,0.0514786173408816,0.0540726614169003,0.0531912343710953,0.0913443799272093,0.0264293267748092,0.00510476471203598,0.00502452787826089,0.0512479004206228,0.00426445561768508,0.0285021074255996,0.00497884115752636,0.0210711048088672
"104",0.152199275995439,0.45219088548724,0.341470798377534,0.0138693165781874,0.343404344449369,0.470633170663185,0.0343712560727592,0.45486492903358,0.0253859816078646,0.330694963888815,0.347838238190865,0.302898139682372,0.998917395561992,0.702628895189234,0.791931390377885,0.999508456126778,0.838747345648802,0.291852466550449,0.299956817545564,0.340822293816138,0.495054869024397,0.0106704995054508,0.351206827053965,0.0786595861120434,0.755788944501595,0.981432365479286,1.09666423785283,0.376748247889718,0.0318627464981295,0.79657759685266,0.676671858966549,0.16881622559011,0.749734428475257,0.398272428794847,0.59442128417522,0.019772337512957,0.479146746927725,0.043780953133972,0.173939115730824,0.337691097395798,0.54457776069443,0.736659134062741,0.71260703248211,0.429298660085985,0.507800718654044,0.15978532929509,0.906346794818679,0.278461921532955,0.132375633034027,0.134930282417039,0.167938079982988,0.109377050513287,0.0554588250992565,0.056617122277407,0.0107944367025915,0.0720733745756399,0.0713794643013494,0.100287211864205,0.0435583404751569,0.0912783481891012,0.0969170841756428,0.794072011518252,0.108923914366738,0.00827427594946654,0.295346598154642,0.127323492020251,0.108758967407749,0.0748498028996132,0.11617921599329,0.304882764804334,0.0807212260230776,0.0655322621634909,0.114174767164929,0.0465580361951116,0.116656228693122,0.0251187734235179,0.0163591212467868,0.825802636132103,0.776478602019443,0.837309044963032,0.8203240971868,0.815538761296585,0.783053297344068,0.81668621914258,0.130851652567715,0.147394884335282,0.171250372511054,0.0678660479096487,0.0671398450553642,0.858898954282663,0.0535654732368739,0.0304323519475552,0.18297291126375,0.176182083158038,0.185817395283915,0.182764837931234,0.396823903846471,0.0390132299072017,0.0209358828215366,0.0206951077324238,0.0783010240105704,0.320805723693717,0.0584037041317193,0.0409119898167433,0.0387710537317153
"105",0.00909174806543188,0.156202569930358,0.149792840743302,0.00313703165782603,0.161535632920958,0.165627296862934,0.00378013812051464,0.862099704074855,0.00159525188498793,0.144609516583542,0.148211661444265,0.142017351089803,0.206638507037718,1.57043914855407,1.70780683038791,0.208243585300302,0.180615711816178,0.133978622839123,0.136413430717418,0.452598261482173,0.182130048281252,0.0122015085937822,0.153921322354951,0.0136287938414037,1.57595179123856,0.209642418221748,0.213194357482351,0.347802081403189,0.00296991214497605,1.83787106169265,0.190737435769465,0.427034350760277,1.66921646420153,0.175956456531827,0.248855033552467,0.00451103537380424,0.162754179772872,0.00966311898893714,0.371194401537737,0.158848150966377,0.186261808227753,1.43378448123472,1.2841122402315,1.4012285666638,1.35651104426417,0.0597898011667143,1.90789943635075,0.130249306031063,0.0569691367557152,0.0526461681907767,0.10315598947744,0.0464268748378683,0.0229738005864783,0.0236605372370804,0.0123432283675594,0.0397480120725115,0.0405759678448914,0.0381761756299726,0.0285318426437146,0.0402083753370634,0.0292504558407444,2.07532413283015,0.00854380805919095,0.00211117586176753,0.138929516865784,0.0536496195660629,0.0423074163652209,0.0364318751273954,0.0490027986404869,0.143415280486124,0.0364024492172688,0.027844504919409,0.0445087662501532,0.0339682070984216,0.0489331936841333,0.0128227654604404,0.00720974616084987,1.6940518513732,1.7115765793324,1.72929841803224,2.3208545768865,2.16108288988779,2.18558221958205,2.28098202824503,0.107693501633772,0.116248824003358,0.11962328712936,0.0380535102605444,0.0388287165648158,1.88003614547416,0.0102488277028244,0.0541501514138898,0.0618849319270467,0.0603304126279865,0.0633930786859942,0.0622842350031742,0.187967019180056,0.126487500886958,0.00497160502036294,0.00491173657110972,0.13043771009156,0.150905358243571,0.296903111667712,0.00549262771843814,0.0203280000099641
"106",0.00656750828495591,0.0100226443492889,0.0059380178649629,0.00227256430334817,0.00529214664575828,0.010267640995517,0.00253586557605485,0.011070800219069,0.00207953100039444,0.0057790900948466,0.0111570888385919,0.00597651905184802,0.0393029508879221,0.0703382693918779,0.0739578941636839,0.0412416006057289,0.0313591993736011,0.0092566176258168,0.0063226729656707,0.00996189904391187,0.010261983635959,0.00165015850904022,0.00611620542878724,0.0271955262748234,0.0739836313773651,0.0429027685392281,0.0478061402558546,0.0128657274715608,0.00887359095961991,0.0759455031049365,0.0367797285366923,0.0132954717360623,0.0569145752338417,0.00684802957159354,0.0250281551483029,0.00204292371466312,0.0109134461219137,0.00348767810965936,0.0185006036691729,0.00520410075548446,0.0132456761576352,0.0664746610984987,1.69394141556065,1.4238850460566,1.48877683048135,0.018319851170255,0.0812275275580269,0.00530276624407133,0.0182983248454866,0.0130171122097428,0.0262980611774056,0.015440643204993,0.0047362682875194,0.00480273722726305,0.0016693249988886,0.0163930249665917,0.0162147623376055,0.00984075475409741,0.0227694398647197,0.0084990839530784,0.00861574487543556,0.0724842798701583,0.00389381496429341,0.000403103798318331,0.00455153679335777,0.0173908945984514,0.0104704495304857,0.00845822903897525,0.0160344760170427,0.00469849705511415,0.00730864394557332,0.00586143588074737,0.011178673751093,0.011315033924555,0.0162331088207484,0.00250907379442722,0.0016202538069277,0.0774879931020322,0.0734885111926787,0.0760447946196642,0.0587123246692393,0.05513356731289,0.0538446523972308,0.0718375996061463,0.485522946982196,0.488172732621101,0.524454485813322,0.0155178484015244,0.0153340738486844,0.0765119426125432,0.00431519366326396,0.00769571195158123,0.0449365882890028,0.0442340919411412,0.0461085309872032,0.0453584081227809,0.0119649863612988,0.00968671644465066,0.00249143944402306,0.0024734877031702,0.0281551213044933,0.0049438830988234,0.00820635661949936,0.00989836538549916,0.00496578445820695
"107",0.00641308630556345,0.0412538843180201,0.032933617662577,0.000883860137715397,0.0322790176431636,0.0430194953304968,0.0172140113718552,0.0687432891465111,0.00309207439905023,0.0319295542982607,0.0351292485393751,0.0452896758685463,0.0769955419776555,0.134664396205774,0.143943941006805,0.084258833591863,0.0646063008146369,0.0277860532437592,0.0860008301914217,0.055175463149502,0.0441014534576177,0.00924218990518587,0.033883617157015,0.0121545331873336,0.14044337962304,0.0829758350942167,0.0923376163169123,0.0610683172290332,0.00360087020080783,0.150511985398835,0.0609565911118565,0.355604226440709,0.140330012599256,0.0383156987120124,0.066434484466919,0.0609606661037149,0.0553887616874157,0.0198678162681356,1.20305283903315,0.031741988903071,0.0498483211237039,0.135806857994104,0.139730269940324,0.119965845243558,0.131224194979155,0.0470144337220855,0.158336131406341,0.787758721440277,1.07154373387276,1.09362435645233,1.15503357759584,1.06963251294098,0.173602444837254,0.187806091891572,0.00934953737394361,0.0443332671566103,0.044835452581726,0.296510737446112,0.0322653410897176,0.967223853009054,0.302348012545522,0.158481672216906,0.00819202695152571,0.0138019117093448,0.0277617281399527,1.09370775554791,0.310306261036434,0.142599397117238,0.327956382090219,0.0286581002928068,0.19307344244114,0.191557699659712,1.04110115473149,0.0455541800941806,0.331618081744051,0.0211800861053147,0.0191210313570173,0.1495341754825,0.146879291111501,0.147788153806688,0.168152394884512,0.161224979843713,0.157603108552163,0.169856569650338,0.0264282896571636,0.0440671037007643,0.138022576926861,0.0419650863982795,0.0430607416603022,0.151970965600203,0.00909377271148728,0.0113342881021324,0.0293493989684761,0.0284672135510136,0.0299527398865138,0.0294413076336355,0.957627201495832,0.0288665274877221,0.0144184520809639,0.0141035201985867,0.0376042904226691,0.0301548124900445,0.163874891876509,0.00399946367111799,0.0254580051194879
