"motID","crossMotCor"
"EBF3",0.906452224733667
"YY1",0.659104029549321
"vfl",-0.0721958241018896
"IRF2",0.226995093578545
"Hand1::Tcf3",0.0753296016148917
"ZBTB14",0.554758127000281
"ZBTB7A",0.237150415196269
"efl-1",0.856001748163918
"E2F6",0.638091908686301
"EGR1",0.112157890479152
"KLF9",0.199692418031201
"KLF6",0.197607583176373
"MXI1",0.756527019457064
"TFAP2B(var.2)",0.248721958289099
"ZFP57",0.682055472506555
"IRF7",-0.124090332385268
"brk",0.210989381707908
"GCM2",0.277541150224278
"NFIC",-0.0506515900860115
"E2F2",0.685048264159135
"SP3",-0.218245286213681
"Prdm15",0.597633691799249
"NFYC",0.204615274433983
"KLF4",-0.0960566940519195
"IRF9",-0.0970927179258222
"Klf1",-0.248471820264979
"POU4F2",0.357666618849074
"fkh",-0.113853583752306
"SOX18",-0.0310345374866711
"zip-8",0.355189865074884
"JUN::JUNB(var.2)",0.0347828128192844
"CREB1",-0.00724721527520784
"STAT1::STAT2",0.359444775039466
"TFE3",-0.153416998501239
"JDP2(var.2)",0.269380544941679
"ATF3",0.0720488098620714
"RFX1",0.617574939227824
"FOXB1",0.633225424421694
"vnd",0.175779795252744
"blmp-1",0.710190938510781
"PAX6",0.736111229839197
"SOX15",-0.153294355880979
"FOXO3",-0.176766970134582
"eor-1",0.320945446956181
"GATA5",0.257089788410658
"Foxo1",-0.0356837184472189
"slp1",-0.146294340230093
