"Base Gene ID","Manuscript Gene ID","Manuscript Transcript ID","Genome Portal Gene ID","Genome Portal Transcript ID"
"G004644","HVAEP1_G004644","HVAEP1_T004644.1","HVAEP2.G004644","HVAEP2.T004644.1"
"G004645","HVAEP1_G004645","HVAEP1_T004645.1","HVAEP2.G004645","HVAEP2.T004645.1"
"G004646","HVAEP1_G004646","HVAEP1_T004646.1","HVAEP2.G004646","HVAEP2.T004646.1"
"G004647","HVAEP1_G004647","HVAEP1_T004647.1","HVAEP2.G004647","HVAEP2.T004647.1"
"G004648","HVAEP1_G004648","HVAEP1_T004648.1","HVAEP2.G004648","HVAEP2.T004648.1"
"G004649","HVAEP1_G004649","HVAEP1_T004649.1","HVAEP2.G004649","HVAEP2.T004649.1"
"G004650","HVAEP1_G004650","HVAEP1_T004650.1","HVAEP2.G004650","HVAEP2.T004650.1"
"G004651","HVAEP1_G004651","HVAEP1_T004651.1","HVAEP2.G004651","HVAEP2.T004651.1"
"G004652","HVAEP1_G004652","HVAEP1_T004652.1","HVAEP2.G004652","HVAEP2.T004652.1"
"G004653","HVAEP1_G004653","HVAEP1_T004653.1","HVAEP2.G004653","HVAEP2.T004653.1"
"G004654","HVAEP1_G004654","HVAEP1_T004654.1","HVAEP2.G004654","HVAEP2.T004654.1"
"G004655","HVAEP1_G004655","HVAEP1_T004655.1","HVAEP2.G004655","HVAEP2.T004655.1"
"G004656","HVAEP1_G004656","HVAEP1_T004656.1","HVAEP2.G004656","HVAEP2.T004656.1"
"G004657","HVAEP1_G004657","HVAEP1_T004657.1","HVAEP2.G004657","HVAEP2.T004657.1"
"G004658","HVAEP1_G004658","HVAEP1_T004658.1","HVAEP2.G004658","HVAEP2.T004658.1"
"G004659","HVAEP1_G004659","HVAEP1_T004659.1","HVAEP2.G004659","HVAEP2.T004659.1"
"G004659","HVAEP1_G004659","HVAEP1_T004659.2","HVAEP2.G004659","HVAEP2.T004659.2"
"G004660","HVAEP1_G004660","HVAEP1_T004660.1","HVAEP2.G004660","HVAEP2.T004660.1"
"G004661","HVAEP1_G004661","HVAEP1_T004661.1","HVAEP2.G004661","HVAEP2.T004661.1"
"G004662","HVAEP1_G004662","HVAEP1_T004662.1","HVAEP2.G004662","HVAEP2.T004662.1"
"G004663","HVAEP1_G004663","HVAEP1_T004663.1","HVAEP2.G004663","HVAEP2.T004663.1"
"G004664","HVAEP1_G004664","HVAEP1_T004664.1","HVAEP2.G004664","HVAEP2.T004664.1"
"G004665","HVAEP1_G004665","HVAEP1_T004665.1","HVAEP2.G004665","HVAEP2.T004665.1"
"G004666","HVAEP1_G004666","HVAEP1_T004666.1","HVAEP2.G004666","HVAEP2.T004666.1"
"G004667","HVAEP1_G004667","HVAEP1_T004667.1","HVAEP2.G004667","HVAEP2.T004667.1"
"G004668","HVAEP1_G004668","HVAEP1_T004668.1","HVAEP2.G004668","HVAEP2.T004668.1"
"G004669","HVAEP1_G004669","HVAEP1_T004669.1","HVAEP2.G004669","HVAEP2.T004669.1"
"G004670","HVAEP1_G004670","HVAEP1_T004670.1","HVAEP2.G004670","HVAEP2.T004670.1"
"G004671","HVAEP1_G004671","HVAEP1_T004671.1","HVAEP2.G004671","HVAEP2.T004671.1"
"G004672","HVAEP1_G004672","HVAEP1_T004672.1","HVAEP2.G004672","HVAEP2.T004672.1"
"G004673","HVAEP1_G004673","HVAEP1_T004673.1","HVAEP2.G004673","HVAEP2.T004673.1"
"G004674","HVAEP1_G004674","HVAEP1_T004674.1","HVAEP2.G004674","HVAEP2.T004674.1"
"G004675","HVAEP1_G004675","HVAEP1_T004675.1","HVAEP2.G004675","HVAEP2.T004675.1"
"G004676","HVAEP1_G004676","HVAEP1_T004676.1","HVAEP2.G004676","HVAEP2.T004676.1"
"G004677","HVAEP1_G004677","HVAEP1_T004677.1","HVAEP2.G004677","HVAEP2.T004677.1"
"G004678","HVAEP1_G004678","HVAEP1_T004678.1","HVAEP2.G004678","HVAEP2.T004678.1"
"G004679","HVAEP1_G004679","HVAEP1_T004679.1","HVAEP2.G004679","HVAEP2.T004679.1"
"G004680","HVAEP1_G004680","HVAEP1_T004680.1","HVAEP2.G004680","HVAEP2.T004680.1"
"G004681","HVAEP1_G004681","HVAEP1_T004681.1","HVAEP2.G004681","HVAEP2.T004681.1"
"G004682","HVAEP1_G004682","HVAEP1_T004682.1","HVAEP2.G004682","HVAEP2.T004682.1"
"G004683","HVAEP1_G004683","HVAEP1_T004683.1","HVAEP2.G004683","HVAEP2.T004683.1"
"G004684","HVAEP1_G004684","HVAEP1_T004684.1","HVAEP2.G004684","HVAEP2.T004684.1"
"G004684","HVAEP1_G004684","HVAEP1_T004684.2","HVAEP2.G004684","HVAEP2.T004684.2"
"G004684","HVAEP1_G004684","HVAEP1_T004684.3","HVAEP2.G004684","HVAEP2.T004684.3"
"G004685","HVAEP1_G004685","HVAEP1_T004685.1","HVAEP2.G004685","HVAEP2.T004685.1"
"G004686","HVAEP1_G004686","HVAEP1_T004686.1","HVAEP2.G004686","HVAEP2.T004686.1"
"G004687","HVAEP1_G004687","HVAEP1_T004687.1","HVAEP2.G004687","HVAEP2.T004687.1"
"G004688","HVAEP1_G004688","HVAEP1_T004688.1","HVAEP2.G004688","HVAEP2.T004688.1"
"G004689","HVAEP1_G004689","HVAEP1_T004689.1","HVAEP2.G004689","HVAEP2.T004689.1"
"G004690","HVAEP1_G004690","HVAEP1_T004690.1","HVAEP2.G004690","HVAEP2.T004690.1"
"G004691","HVAEP1_G004691","HVAEP1_T004691.1","HVAEP2.G004691","HVAEP2.T004691.1"
"G004692","HVAEP1_G004692","HVAEP1_T004692.1","HVAEP2.G004692","HVAEP2.T004692.1"
"G004693","HVAEP1_G004693","HVAEP1_T004693.1","HVAEP2.G004693","HVAEP2.T004693.1"
"G004694","HVAEP1_G004694","HVAEP1_T004694.1","HVAEP2.G004694","HVAEP2.T004694.1"
"G004694","HVAEP1_G004694","HVAEP1_T004694.2","HVAEP2.G004694","HVAEP2.T004694.2"
"G004694","HVAEP1_G004694","HVAEP1_T004694.3","HVAEP2.G004694","HVAEP2.T004694.3"
"G004694","HVAEP1_G004694","HVAEP1_T004694.4","HVAEP2.G004694","HVAEP2.T004694.4"
"G004695","HVAEP1_G004695","HVAEP1_T004695.1","HVAEP2.G004695","HVAEP2.T004695.1"
"G004696","HVAEP1_G004696","HVAEP1_T004696.1","HVAEP2.G004696","HVAEP2.T004696.1"
"G004697","HVAEP1_G004697","HVAEP1_T004697.1","HVAEP2.G004697","HVAEP2.T004697.1"
"G004698","HVAEP1_G004698","HVAEP1_T004698.1","HVAEP2.G004698","HVAEP2.T004698.1"
"G004699","HVAEP1_G004699","HVAEP1_T004699.1","HVAEP2.G004699","HVAEP2.T004699.1"
"G004700","HVAEP1_G004700","HVAEP1_T004700.1","HVAEP2.G004700","HVAEP2.T004700.1"
"G004700","HVAEP1_G004700","HVAEP1_T004700.2","HVAEP2.G004700","HVAEP2.T004700.2"
"G004701","HVAEP1_G004701","HVAEP1_T004701.1","HVAEP2.G004701","HVAEP2.T004701.1"
"G004701","HVAEP1_G004701","HVAEP1_T004701.2","HVAEP2.G004701","HVAEP2.T004701.2"
"G004702","HVAEP1_G004702","HVAEP1_T004702.1","HVAEP2.G004702","HVAEP2.T004702.1"
"G004703","HVAEP1_G004703","HVAEP1_T004703.1","HVAEP2.G004703","HVAEP2.T004703.1"
"G004704","HVAEP1_G004704","HVAEP1_T004704.1","HVAEP2.G004704","HVAEP2.T004704.1"
"G004704","HVAEP1_G004704","HVAEP1_T004704.2","HVAEP2.G004704","HVAEP2.T004704.2"
"G004705","HVAEP1_G004705","HVAEP1_T004705.1","HVAEP2.G004705","HVAEP2.T004705.1"
"G004706","HVAEP1_G004706","HVAEP1_T004706.1","HVAEP2.G004706","HVAEP2.T004706.1"
"G004707","HVAEP1_G004707","HVAEP1_T004707.1","HVAEP2.G004707","HVAEP2.T004707.1"
"G004708","HVAEP1_G004708","HVAEP1_T004708.1","HVAEP2.G004708","HVAEP2.T004708.1"
"G004709","HVAEP1_G004709","HVAEP1_T004709.1","HVAEP2.G004709","HVAEP2.T004709.1"
"G004710","HVAEP1_G004710","HVAEP1_T004710.1","HVAEP2.G004710","HVAEP2.T004710.1"
"G004710","HVAEP1_G004710","HVAEP1_T004710.2","HVAEP2.G004710","HVAEP2.T004710.2"
"G004711","HVAEP1_G004711","HVAEP1_T004711.1","HVAEP2.G004711","HVAEP2.T004711.1"
"G004712","HVAEP1_G004712","HVAEP1_T004712.1","HVAEP2.G004712","HVAEP2.T004712.1"
"G004712","HVAEP1_G004712","HVAEP1_T004712.2","HVAEP2.G004712","HVAEP2.T004712.2"
"G004713","HVAEP1_G004713","HVAEP1_T004713.1","HVAEP2.G004713","HVAEP2.T004713.1"
"G004714","HVAEP1_G004714","HVAEP1_T004714.1","HVAEP2.G004714","HVAEP2.T004714.1"
"G004715","HVAEP1_G004715","HVAEP1_T004715.1","HVAEP2.G004715","HVAEP2.T004715.1"
"G004716","HVAEP1_G004716","HVAEP1_T004716.1","HVAEP2.G004716","HVAEP2.T004716.1"
"G004717","HVAEP1_G004717","HVAEP1_T004717.1","HVAEP2.G004717","HVAEP2.T004717.1"
"G004718","HVAEP1_G004718","HVAEP1_T004718.1","HVAEP2.G004718","HVAEP2.T004718.1"
"G004718","HVAEP1_G004718","HVAEP1_T004718.2","HVAEP2.G004718","HVAEP2.T004718.2"
"G004719","HVAEP1_G004719","HVAEP1_T004719.1","HVAEP2.G004719","HVAEP2.T004719.1"
"G004720","HVAEP1_G004720","HVAEP1_T004720.1","HVAEP2.G004720","HVAEP2.T004720.1"
"G004721","HVAEP1_G004721","HVAEP1_T004721.1","HVAEP2.G004721","HVAEP2.T004721.1"
"G004722","HVAEP1_G004722","HVAEP1_T004722.1","HVAEP2.G004722","HVAEP2.T004722.1"
"G004723","HVAEP1_G004723","HVAEP1_T004723.1","HVAEP2.G004723","HVAEP2.T004723.1"
"G004723","HVAEP1_G004723","HVAEP1_T004723.2","HVAEP2.G004723","HVAEP2.T004723.2"
"G004723","HVAEP1_G004723","HVAEP1_T004723.3","HVAEP2.G004723","HVAEP2.T004723.3"
"G004724","HVAEP1_G004724","HVAEP1_T004724.1","HVAEP2.G004724","HVAEP2.T004724.1"
"G004725","HVAEP1_G004725","HVAEP1_T004725.1","HVAEP2.G004725","HVAEP2.T004725.1"
"G004725","HVAEP1_G004725","HVAEP1_T004725.2","HVAEP2.G004725","HVAEP2.T004725.2"
"G004726","HVAEP1_G004726","HVAEP1_T004726.1","HVAEP2.G004726","HVAEP2.T004726.1"
"G004726","HVAEP1_G004726","HVAEP1_T004726.2","HVAEP2.G004726","HVAEP2.T004726.2"
"G004727","HVAEP1_G004727","HVAEP1_T004727.1","HVAEP2.G004727","HVAEP2.T004727.1"
"G004727","HVAEP1_G004727","HVAEP1_T004727.2","HVAEP2.G004727","HVAEP2.T004727.2"
"G004727","HVAEP1_G004727","HVAEP1_T004727.3","HVAEP2.G004727","HVAEP2.T004727.3"
"G004728","HVAEP1_G004728","HVAEP1_T004728.1","HVAEP2.G004728","HVAEP2.T004728.1"
"G004729","HVAEP1_G004729","HVAEP1_T004729.1","HVAEP2.G004729","HVAEP2.T004729.1"
"G004729","HVAEP1_G004729","HVAEP1_T004729.2","HVAEP2.G004729","HVAEP2.T004729.2"
"G004730","HVAEP1_G004730","HVAEP1_T004730.1","HVAEP2.G004730","HVAEP2.T004730.1"
"G004731","HVAEP1_G004731","HVAEP1_T004731.1","HVAEP2.G004731","HVAEP2.T004731.1"
"G004732","HVAEP1_G004732","HVAEP1_T004732.1","HVAEP2.G004732","HVAEP2.T004732.1"
"G004733","HVAEP1_G004733","HVAEP1_T004733.1","HVAEP2.G004733","HVAEP2.T004733.1"
"G004733","HVAEP1_G004733","HVAEP1_T004733.2","HVAEP2.G004733","HVAEP2.T004733.2"
"G004734","HVAEP1_G004734","HVAEP1_T004734.1","HVAEP2.G004734","HVAEP2.T004734.1"
"G004735","HVAEP1_G004735","HVAEP1_T004735.1","HVAEP2.G004735","HVAEP2.T004735.1"
"G004736","HVAEP1_G004736","HVAEP1_T004736.1","HVAEP2.G004736","HVAEP2.T004736.1"
"G004737","HVAEP1_G004737","HVAEP1_T004737.1","HVAEP2.G004737","HVAEP2.T004737.1"
"G004738","HVAEP1_G004738","HVAEP1_T004738.1","HVAEP2.G004738","HVAEP2.T004738.1"
"G004739","HVAEP1_G004739","HVAEP1_T004739.1","HVAEP2.G004739","HVAEP2.T004739.1"
"G004740","HVAEP1_G004740","HVAEP1_T004740.1","HVAEP2.G004740","HVAEP2.T004740.1"
"G004741","HVAEP1_G004741","HVAEP1_T004741.1","HVAEP2.G004741","HVAEP2.T004741.1"
"G004741","HVAEP1_G004741","HVAEP1_T004741.2","HVAEP2.G004741","HVAEP2.T004741.2"
"G004741","HVAEP1_G004741","HVAEP1_T004741.3","HVAEP2.G004741","HVAEP2.T004741.3"
"G004742","HVAEP1_G004742","HVAEP1_T004742.1","HVAEP2.G004742","HVAEP2.T004742.1"
"G004743","HVAEP1_G004743","HVAEP1_T004743.1","HVAEP2.G004743","HVAEP2.T004743.1"
"G004744","HVAEP1_G004744","HVAEP1_T004744.1","HVAEP2.G004744","HVAEP2.T004744.1"
"G004745","HVAEP1_G004745","HVAEP1_T004745.1","HVAEP2.G004745","HVAEP2.T004745.1"
"G004746","HVAEP1_G004746","HVAEP1_T004746.1","HVAEP2.G004746","HVAEP2.T004746.1"
"G004747","HVAEP1_G004747","HVAEP1_T004747.1","HVAEP2.G004747","HVAEP2.T004747.1"
"G004748","HVAEP1_G004748","HVAEP1_T004748.1","HVAEP2.G004748","HVAEP2.T004748.1"
"G004749","HVAEP1_G004749","HVAEP1_T004749.1","HVAEP2.G004749","HVAEP2.T004749.1"
"G004750","HVAEP1_G004750","HVAEP1_T004750.1","HVAEP2.G004750","HVAEP2.T004750.1"
"G004751","HVAEP1_G004751","HVAEP1_T004751.1","HVAEP2.G004751","HVAEP2.T004751.1"
"G004752","HVAEP1_G004752","HVAEP1_T004752.1","HVAEP2.G004752","HVAEP2.T004752.1"
"G004753","HVAEP1_G004753","HVAEP1_T004753.1","HVAEP2.G004753","HVAEP2.T004753.1"
"G004754","HVAEP1_G004754","HVAEP1_T004754.1","HVAEP2.G004754","HVAEP2.T004754.1"
"G004754","HVAEP1_G004754","HVAEP1_T004754.2","HVAEP2.G004754","HVAEP2.T004754.2"
"G004754","HVAEP1_G004754","HVAEP1_T004754.3","HVAEP2.G004754","HVAEP2.T004754.3"
"G004755","HVAEP1_G004755","HVAEP1_T004755.1","HVAEP2.G004755","HVAEP2.T004755.1"
"G004756","HVAEP1_G004756","HVAEP1_T004756.1","HVAEP2.G004756","HVAEP2.T004756.1"
"G004757","HVAEP1_G004757","HVAEP1_T004757.1","HVAEP2.G004757","HVAEP2.T004757.1"
"G004757","HVAEP1_G004757","HVAEP1_T004757.2","HVAEP2.G004757","HVAEP2.T004757.2"
"G004757","HVAEP1_G004757","HVAEP1_T004757.3","HVAEP2.G004757","HVAEP2.T004757.3"
"G004758","HVAEP1_G004758","HVAEP1_T004758.1","HVAEP2.G004758","HVAEP2.T004758.1"
"G004759","HVAEP1_G004759","HVAEP1_T004759.1","HVAEP2.G004759","HVAEP2.T004759.1"
"G004760","HVAEP1_G004760","HVAEP1_T004760.1","HVAEP2.G004760","HVAEP2.T004760.1"
"G004761","HVAEP1_G004761","HVAEP1_T004761.1","HVAEP2.G004761","HVAEP2.T004761.1"
"G004762","HVAEP1_G004762","HVAEP1_T004762.1","HVAEP2.G004762","HVAEP2.T004762.1"
"G004763","HVAEP1_G004763","HVAEP1_T004763.1","HVAEP2.G004763","HVAEP2.T004763.1"
"G004764","HVAEP1_G004764","HVAEP1_T004764.1","HVAEP2.G004764","HVAEP2.T004764.1"
"G004765","HVAEP1_G004765","HVAEP1_T004765.1","HVAEP2.G004765","HVAEP2.T004765.1"
"G004766","HVAEP1_G004766","HVAEP1_T004766.1","HVAEP2.G004766","HVAEP2.T004766.1"
"G004767","HVAEP1_G004767","HVAEP1_T004767.1","HVAEP2.G004767","HVAEP2.T004767.1"
"G004768","HVAEP1_G004768","HVAEP1_T004768.1","HVAEP2.G004768","HVAEP2.T004768.1"
"G004769","HVAEP1_G004769","HVAEP1_T004769.1","HVAEP2.G004769","HVAEP2.T004769.1"
"G004770","HVAEP1_G004770","HVAEP1_T004770.1","HVAEP2.G004770","HVAEP2.T004770.1"
"G004771","HVAEP1_G004771","HVAEP1_T004771.1","HVAEP2.G004771","HVAEP2.T004771.1"
"G004771","HVAEP1_G004771","HVAEP1_T004771.2","HVAEP2.G004771","HVAEP2.T004771.2"
"G004772","HVAEP1_G004772","HVAEP1_T004772.1","HVAEP2.G004772","HVAEP2.T004772.1"
"G004773","HVAEP1_G004773","HVAEP1_T004773.1","HVAEP2.G004773","HVAEP2.T004773.1"
"G004774","HVAEP1_G004774","HVAEP1_T004774.1","HVAEP2.G004774","HVAEP2.T004774.1"
"G004775","HVAEP1_G004775","HVAEP1_T004775.1","HVAEP2.G004775","HVAEP2.T004775.1"
"G004776","HVAEP1_G004776","HVAEP1_T004776.1","HVAEP2.G004776","HVAEP2.T004776.1"
"G004777","HVAEP1_G004777","HVAEP1_T004777.1","HVAEP2.G004777","HVAEP2.T004777.1"
"G004778","HVAEP1_G004778","HVAEP1_T004778.1","HVAEP2.G004778","HVAEP2.T004778.1"
"G004779","HVAEP1_G004779","HVAEP1_T004779.1","HVAEP2.G004779","HVAEP2.T004779.1"
"G004780","HVAEP1_G004780","HVAEP1_T004780.1","HVAEP2.G004780","HVAEP2.T004780.1"
"G004781","HVAEP1_G004781","HVAEP1_T004781.1","HVAEP2.G004781","HVAEP2.T004781.1"
"G004782","HVAEP1_G004782","HVAEP1_T004782.1","HVAEP2.G004782","HVAEP2.T004782.1"
"G004783","HVAEP1_G004783","HVAEP1_T004783.1","HVAEP2.G004783","HVAEP2.T004783.1"
"G004784","HVAEP1_G004784","HVAEP1_T004784.1","HVAEP2.G004784","HVAEP2.T004784.1"
"G004785","HVAEP1_G004785","HVAEP1_T004785.1","HVAEP2.G004785","HVAEP2.T004785.1"
"G004786","HVAEP1_G004786","HVAEP1_T004786.1","HVAEP2.G004786","HVAEP2.T004786.1"
"G004787","HVAEP1_G004787","HVAEP1_T004787.1","HVAEP2.G004787","HVAEP2.T004787.1"
"G004788","HVAEP1_G004788","HVAEP1_T004788.1","HVAEP2.G004788","HVAEP2.T004788.1"
"G004789","HVAEP1_G004789","HVAEP1_T004789.1","HVAEP2.G004789","HVAEP2.T004789.1"
"G004790","HVAEP1_G004790","HVAEP1_T004790.1","HVAEP2.G004790","HVAEP2.T004790.1"
"G004791","HVAEP1_G004791","HVAEP1_T004791.1","HVAEP2.G004791","HVAEP2.T004791.1"
"G004792","HVAEP1_G004792","HVAEP1_T004792.1","HVAEP2.G004792","HVAEP2.T004792.1"
"G004793","HVAEP1_G004793","HVAEP1_T004793.1","HVAEP2.G004793","HVAEP2.T004793.1"
"G004794","HVAEP1_G004794","HVAEP1_T004794.1","HVAEP2.G004794","HVAEP2.T004794.1"
"G004795","HVAEP1_G004795","HVAEP1_T004795.1","HVAEP2.G004795","HVAEP2.T004795.1"
"G004795","HVAEP1_G004795","HVAEP1_T004795.2","HVAEP2.G004795","HVAEP2.T004795.2"
"G004796","HVAEP1_G004796","HVAEP1_T004796.1","HVAEP2.G004796","HVAEP2.T004796.1"
"G004797","HVAEP1_G004797","HVAEP1_T004797.1","HVAEP2.G004797","HVAEP2.T004797.1"
"G004798","HVAEP1_G004798","HVAEP1_T004798.1","HVAEP2.G004798","HVAEP2.T004798.1"
"G004799","HVAEP1_G004799","HVAEP1_T004799.1","HVAEP2.G004799","HVAEP2.T004799.1"
"G004800","HVAEP1_G004800","HVAEP1_T004800.1","HVAEP2.G004800","HVAEP2.T004800.1"
"G004801","HVAEP1_G004801","HVAEP1_T004801.1","HVAEP2.G004801","HVAEP2.T004801.1"
"G004802","HVAEP1_G004802","HVAEP1_T004802.1","HVAEP2.G004802","HVAEP2.T004802.1"
"G004803","HVAEP1_G004803","HVAEP1_T004803.1","HVAEP2.G004803","HVAEP2.T004803.1"
"G004804","HVAEP1_G004804","HVAEP1_T004804.1","HVAEP2.G004804","HVAEP2.T004804.1"
"G004805","HVAEP1_G004805","HVAEP1_T004805.1","HVAEP2.G004805","HVAEP2.T004805.1"
"G004806","HVAEP1_G004806","HVAEP1_T004806.1","HVAEP2.G004806","HVAEP2.T004806.1"
"G004807","HVAEP1_G004807","HVAEP1_T004807.1","HVAEP2.G004807","HVAEP2.T004807.1"
"G004808","HVAEP1_G004808","HVAEP1_T004808.1","HVAEP2.G004808","HVAEP2.T004808.1"
"G004808","HVAEP1_G004808","HVAEP1_T004808.2","HVAEP2.G004808","HVAEP2.T004808.2"
"G004809","HVAEP1_G004809","HVAEP1_T004809.1","HVAEP2.G004809","HVAEP2.T004809.1"
"G004810","HVAEP1_G004810","HVAEP1_T004810.1","HVAEP2.G004810","HVAEP2.T004810.1"
"G004811","HVAEP1_G004811","HVAEP1_T004811.1","HVAEP2.G004811","HVAEP2.T004811.1"
"G004812","HVAEP1_G004812","HVAEP1_T004812.1","HVAEP2.G004812","HVAEP2.T004812.1"
"G004813","HVAEP1_G004813","HVAEP1_T004813.1","HVAEP2.G004813","HVAEP2.T004813.1"
"G004814","HVAEP1_G004814","HVAEP1_T004814.1","HVAEP2.G004814","HVAEP2.T004814.1"
"G004815","HVAEP1_G004815","HVAEP1_T004815.1","HVAEP2.G004815","HVAEP2.T004815.1"
"G004816","HVAEP1_G004816","HVAEP1_T004816.1","HVAEP2.G004816","HVAEP2.T004816.1"
"G004816","HVAEP1_G004816","HVAEP1_T004816.2","HVAEP2.G004816","HVAEP2.T004816.2"
"G004817","HVAEP1_G004817","HVAEP1_T004817.1","HVAEP2.G004817","HVAEP2.T004817.1"
"G004818","HVAEP1_G004818","HVAEP1_T004818.1","HVAEP2.G004818","HVAEP2.T004818.1"
"G004819","HVAEP1_G004819","HVAEP1_T004819.1","HVAEP2.G004819","HVAEP2.T004819.1"
"G004820","HVAEP1_G004820","HVAEP1_T004820.1","HVAEP2.G004820","HVAEP2.T004820.1"
"G004820","HVAEP1_G004820","HVAEP1_T004820.2","HVAEP2.G004820","HVAEP2.T004820.2"
"G004821","HVAEP1_G004821","HVAEP1_T004821.1","HVAEP2.G004821","HVAEP2.T004821.1"
"G004822","HVAEP1_G004822","HVAEP1_T004822.1","HVAEP2.G004822","HVAEP2.T004822.1"
"G004822","HVAEP1_G004822","HVAEP1_T004822.2","HVAEP2.G004822","HVAEP2.T004822.2"
"G004822","HVAEP1_G004822","HVAEP1_T004822.3","HVAEP2.G004822","HVAEP2.T004822.3"
"G004823","HVAEP1_G004823","HVAEP1_T004823.1","HVAEP2.G004823","HVAEP2.T004823.1"
"G004824","HVAEP1_G004824","HVAEP1_T004824.1","HVAEP2.G004824","HVAEP2.T004824.1"
"G004825","HVAEP1_G004825","HVAEP1_T004825.1","HVAEP2.G004825","HVAEP2.T004825.1"
"G004826","HVAEP1_G004826","HVAEP1_T004826.1","HVAEP2.G004826","HVAEP2.T004826.1"
"G004827","HVAEP1_G004827","HVAEP1_T004827.1","HVAEP2.G004827","HVAEP2.T004827.1"
"G004828","HVAEP1_G004828","HVAEP1_T004828.1","HVAEP2.G004828","HVAEP2.T004828.1"
"G004829","HVAEP1_G004829","HVAEP1_T004829.1","HVAEP2.G004829","HVAEP2.T004829.1"
"G004830","HVAEP1_G004830","HVAEP1_T004830.1","HVAEP2.G004830","HVAEP2.T004830.1"
"G004831","HVAEP1_G004831","HVAEP1_T004831.1","HVAEP2.G004831","HVAEP2.T004831.1"
"G004832","HVAEP1_G004832","HVAEP1_T004832.1","HVAEP2.G004832","HVAEP2.T004832.1"
"G004833","HVAEP1_G004833","HVAEP1_T004833.1","HVAEP2.G004833","HVAEP2.T004833.1"
"G004834","HVAEP1_G004834","HVAEP1_T004834.1","HVAEP2.G004834","HVAEP2.T004834.1"
"G004835","HVAEP1_G004835","HVAEP1_T004835.1","HVAEP2.G004835","HVAEP2.T004835.1"
"G004836","HVAEP1_G004836","HVAEP1_T004836.1","HVAEP2.G004836","HVAEP2.T004836.1"
"G004837","HVAEP1_G004837","HVAEP1_T004837.1","HVAEP2.G004837","HVAEP2.T004837.1"
"G004837","HVAEP1_G004837","HVAEP1_T004837.2","HVAEP2.G004837","HVAEP2.T004837.2"
"G004837","HVAEP1_G004837","HVAEP1_T004837.3","HVAEP2.G004837","HVAEP2.T004837.3"
"G004837","HVAEP1_G004837","HVAEP1_T004837.4","HVAEP2.G004837","HVAEP2.T004837.4"
"G004838","HVAEP1_G004838","HVAEP1_T004838.1","HVAEP2.G004838","HVAEP2.T004838.1"
"G004839","HVAEP1_G004839","HVAEP1_T004839.1","HVAEP2.G004839","HVAEP2.T004839.1"
"G004840","HVAEP1_G004840","HVAEP1_T004840.1","HVAEP2.G004840","HVAEP2.T004840.1"
"G004841","HVAEP1_G004841","HVAEP1_T004841.1","HVAEP2.G004841","HVAEP2.T004841.1"
"G004842","HVAEP1_G004842","HVAEP1_T004842.1","HVAEP2.G004842","HVAEP2.T004842.1"
"G004843","HVAEP1_G004843","HVAEP1_T004843.1","HVAEP2.G004843","HVAEP2.T004843.1"
"G004844","HVAEP1_G004844","HVAEP1_T004844.1","HVAEP2.G004844","HVAEP2.T004844.1"
"G004844","HVAEP1_G004844","HVAEP1_T004844.2","HVAEP2.G004844","HVAEP2.T004844.2"
"G004845","HVAEP1_G004845","HVAEP1_T004845.1","HVAEP2.G004845","HVAEP2.T004845.1"
"G004846","HVAEP1_G004846","HVAEP1_T004846.1","HVAEP2.G004846","HVAEP2.T004846.1"
"G004847","HVAEP1_G004847","HVAEP1_T004847.1","HVAEP2.G004847","HVAEP2.T004847.1"
"G004848","HVAEP1_G004848","HVAEP1_T004848.1","HVAEP2.G004848","HVAEP2.T004848.1"
"G004849","HVAEP1_G004849","HVAEP1_T004849.1","HVAEP2.G004849","HVAEP2.T004849.1"
"G004850","HVAEP1_G004850","HVAEP1_T004850.1","HVAEP2.G004850","HVAEP2.T004850.1"
"G004850","HVAEP1_G004850","HVAEP1_T004850.2","HVAEP2.G004850","HVAEP2.T004850.2"
"G004851","HVAEP1_G004851","HVAEP1_T004851.1","HVAEP2.G004851","HVAEP2.T004851.1"
"G004852","HVAEP1_G004852","HVAEP1_T004852.1","HVAEP2.G004852","HVAEP2.T004852.1"
"G004852","HVAEP1_G004852","HVAEP1_T004852.2","HVAEP2.G004852","HVAEP2.T004852.2"
"G004852","HVAEP1_G004852","HVAEP1_T004852.3","HVAEP2.G004852","HVAEP2.T004852.3"
"G004853","HVAEP1_G004853","HVAEP1_T004853.1","HVAEP2.G004853","HVAEP2.T004853.1"
"G004854","HVAEP1_G004854","HVAEP1_T004854.1","HVAEP2.G004854","HVAEP2.T004854.1"
"G004855","HVAEP1_G004855","HVAEP1_T004855.1","HVAEP2.G004855","HVAEP2.T004855.1"
"G004856","HVAEP1_G004856","HVAEP1_T004856.1","HVAEP2.G004856","HVAEP2.T004856.1"
"G004856","HVAEP1_G004856","HVAEP1_T004856.2","HVAEP2.G004856","HVAEP2.T004856.2"
"G004857","HVAEP1_G004857","HVAEP1_T004857.1","HVAEP2.G004857","HVAEP2.T004857.1"
"G004857","HVAEP1_G004857","HVAEP1_T004857.2","HVAEP2.G004857","HVAEP2.T004857.2"
"G004858","HVAEP1_G004858","HVAEP1_T004858.1","HVAEP2.G004858","HVAEP2.T004858.1"
"G004858","HVAEP1_G004858","HVAEP1_T004858.2","HVAEP2.G004858","HVAEP2.T004858.2"
