"","ID","clust","jID","enClust","bClust"
"ZNF354C_MA0130.1","ZNF354C_MA0130.1",89,"MA0130.1",1,"89_1"
"HINFP_MA0131.2","HINFP_MA0131.2",93,"MA0131.2",2,"93_2"
"Lhx3_MA0135.1","Lhx3_MA0135.1",1,"MA0135.1",40,"1_40"
"ELF5_MA0136.2","ELF5_MA0136.2",24,"MA0136.2",10,"24_10"
"STAT1_MA0137.3","STAT1_MA0137.3",47,"MA0137.3",22,"47_22"
"REST_MA0138.2","REST_MA0138.2",128,"MA0138.2",1,"128_1"
"CTCF_MA0139.1","CTCF_MA0139.1",18,"MA0139.1",41,"18_41"
"ESRRB_MA0141.3","ESRRB_MA0141.3",71,"MA0141.3",6,"71_6"
"SOX2_MA0143.4","SOX2_MA0143.4",19,"MA0143.4",1,"19_1"
"TFCP2_MA0145.3","TFCP2_MA0145.3",26,"MA0145.3",27,"26_27"
"Zfx_MA0146.2","Zfx_MA0146.2",153,"MA0146.2",1,"153_1"
"MYC_MA0147.3","MYC_MA0147.3",28,"MA0147.3",2,"28_2"
"FOXA1_MA0148.4","FOXA1_MA0148.4",3,"MA0148.4",12,"3_12"
"HNF1B_MA0153.2","HNF1B_MA0153.2",95,"MA0153.2",17,"95_17"
"INSM1_MA0155.1","INSM1_MA0155.1",81,"MA0155.1",26,"81_26"
"FEV_MA0156.2","FEV_MA0156.2",24,"MA0156.2",10,"24_10"
"FOXO3_MA0157.2","FOXO3_MA0157.2",3,"MA0157.2",5,"3_5"
"RARA::RXRA_MA0159.1","RARA::RXRA_MA0159.1",126,"MA0159.1",42,"126_42"
"NR4A2_MA0160.1","NR4A2_MA0160.1",71,"MA0160.1",1,"71_1"
"NFIC_MA0161.2","NFIC_MA0161.2",92,"MA0161.2",23,"92_23"
"EGR1_MA0162.4","EGR1_MA0162.4",85,"MA0162.4",1,"85_1"
"PLAG1_MA0163.1","PLAG1_MA0163.1",121,"MA0163.1",1,"121_1"
"Vsx2_MA0180.1","Vsx2_MA0180.1",1,"MA0180.1",4,"1_4"
"Deaf1_MA0185.1","Deaf1_MA0185.1",20,"MA0185.1",20,"20_20"
"brk_MA0213.1","brk_MA0213.1",11,"MA0213.1",26,"11_26"
"exd_MA0222.1","exd_MA0222.1",2,"MA0222.1",27,"2_27"
"inv_MA0229.1","inv_MA0229.1",1,"MA0229.1",1,"1_1"
"pan_MA0237.2","pan_MA0237.2",41,"MA0237.2",26,"41_26"
