"","Interstitial SCs","Female Germ Cells","Male Germ Cells","Early NBs","Early/Mid NBs","Isorhiza NBs 1","Isorhiza NBs 2","Early Desmoneme NBs","Mid/Late Desmoneme NBs","Late Desmoneme NBs","Mid Stenotele NBs","Mid/Late Stenotele NBs","Late Stenotele NBs","Early Maturing NCs","Late Iso NCs","Mid Nematocytes","Mid Desmoneme NCs","Late Desmoneme NCs","Late Stenotele NCs","Neurogenesis","Ec1 Neurons","Ec1/5 Neurons","Ec2 Neurons","Ec3 Neurons","Ec4 Neurons","Ec5 Neurons","En1 Neurons","En2 Neurons","En3 Neurons","Mucous GCs","Granular Mucous GCs Tip","Granular Mucous GCs","Zymogen GCs 1","Zymogen GCs 2","Zymogen GCs 3","Zymogen GCs 4","Spumous Mucous GCs Tip","Spumous Mucous GCs","Ecto Basal Disk","Ecto Aboral SCs","Ecto SCs 1","Ecto SCs 2","Ecto Somatic Gonad","Ecto Head","Ecto Tentacle","Ecto Tentacle Tip","Epithelial Head Organizer","Endo Foot","Endo Mid SCs","Endo SCs","Endo Head","Endo Tentacle","Endo Tentacle Tip"
"MA0746.2 SP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328235177279362,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.940287272639708,0.44715189112408,0,0,0,0.462706575583592,0,0.458240362618088,0,0,0,0,0.494638675139485,0
"MA0742.1 Klf12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.388291927131328,0,0,0,0,0,0
"MA1517.1 KLF6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86502596176018,0,0,0,1,0.993795923359888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0443.1 btd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.784348771744139,0,0,0.907320582010664,1,0,0.896044216656497,0,0,0,0,0,0,0,0,0,0,0,0,0.851024514611401,0,0,0,0,0,0,0.689236089892785,0,0,0,0,0,0
"MA0450.1 hkb",0,0,0,0,0,0,0,0,0,0,0,0,0,0.910421930174378,0,0,0,0,0,0.8363694005402,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0493.1 Klf1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197237709501659,0,0,0,0.693405617251419,0.965695260687746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964058530635985,0.686769638877113,0,0,0.180682607669324,0.523531183691814,0,0.677220336253828,0,0,0,0.332970538684556,0.372947803500166,0
"MA0685.1 SP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911507380860103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958348403514644,0,0,0,0,0,0,0,0,0,0,0,0.77056709103233,0
"MA1513.1 KLF15",0,0,0,0.279101010221133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302686862046754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1571.1 TGIF2LX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0783.1 PKNOX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824797881882408,0,0,1,0,0.959337922266913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0797.1 TGIF2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748525968817764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615538770686321,0,0
"MA0796.1 TGIF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.938618342314389,0,0
"MA0163.1 PLAG1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA1616.1 Prdm15",0,0,0,0.778307685751823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
