"","Interstitial SCs","Female Germ Cells","Male Germ Cells","Early NBs","Early/Mid NBs","Isorhiza NBs 1","Isorhiza NBs 2","Early Desmoneme NBs","Mid/Late Desmoneme NBs","Late Desmoneme NBs","Mid Stenotele NBs","Mid/Late Stenotele NBs","Late Stenotele NBs","Early Maturing NCs","Late Iso NCs","Mid Nematocytes","Mid Desmoneme NCs","Late Desmoneme NCs","Late Stenotele NCs","Neurogenesis","Ec1 Neurons","Ec1/5 Neurons","Ec2 Neurons","Ec3 Neurons","Ec4 Neurons","Ec5 Neurons","En1 Neurons","En2 Neurons","En3 Neurons","Mucous GCs","Granular Mucous GCs Tip","Granular Mucous GCs","Zymogen GCs 1","Zymogen GCs 2","Zymogen GCs 3","Zymogen GCs 4","Spumous Mucous GCs Tip","Spumous Mucous GCs","Ecto Basal Disk","Ecto Aboral SCs","Ecto SCs 1","Ecto SCs 2","Ecto Somatic Gonad","Ecto Head","Ecto Tentacle","Ecto Tentacle Tip","Epithelial Head Organizer","Endo Foot","Endo Mid SCs","Endo SCs","Endo Head","Endo Tentacle","Endo Tentacle Tip"
"MA0069.1 PAX6",0,0,0,0,0.845410210255524,1,0.920042731639451,0.869632641631589,0.844299142374808,0.825925921451001,0.718041599270285,0.856684084184968,0.772956786211867,0.918302560900325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0076.2 ELK4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.941876383245415,0.951311031244903,0.887830433306449,0.869864461902397,0,0,0.824410565596533,0.986592784948719,0.94774359061989
"MA0079.4 SP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.919625129181399,0.651897384357375,0,0,0,0,0,0,0,0,0,0,0.751773338240736,0
"MA0080.5 SPI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997601158166675,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"MA0086.2 sna",0,0,0,0,0,0.595310824895817,0,0,0.54130936859016,0.624572452410944,0,0,0.564624594265243,0.630748368918461,0,0,0,0,0,0.752458521289372,0.655803941612312,0.670811501200968,1,0.735823472988488,0.872402416162919,0.826977353087547,0.701086541478306,0.852803267383879,0.804399707732012,0,0,0,0,0,0,0,0.709781321266983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0091.1 TAL1::TCF3",0,0,0,0,0,0,0,0,0,0.486001051854537,0,0,0,0.560455119880187,0,0,0,0,0,0.681752214655245,0.629885254161803,0.724250548116999,0.976572919363608,0.928514842284334,0.894847087072574,0.76320997600887,0.993180819593293,0.953796656575743,1,0,0,0,0,0,0,0,0.594246446448295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0092.1 Hand1::Tcf3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.703802242117156,0,0,0,0,0.87550900190212,0,0.869692432634065,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0095.2 YY1",0.854931101410665,0,0,0.954826369419221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MA0098.3 ETS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.936471147841806,1,0,0,0,0.866658338074248,0.877577934772179,0.920555427896579,0.900607104500867,0.86954184472278,0,0,0.799540410169304,0.948893946288383,0.927706054539142
"MA0099.3 FOS::JUN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.912344398551564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.651975106251216,0,0.745626101911248,0,0,0.630844110269165,0.655065491890409,0,0,0,0,0,0
