g12521	g12521.t1
g12522	g12522.t1
g12523	g12523.t1
g12524	g12524.t1
g12525	g12525.t1
g12526	g12526.t1
g12527	g12527.t1
g12528	g12528.t1
g12529	g12529.t1
g12530	g12530.t1
g12531	g12531.t1
g12532	g12532.t1
g12532	g12532.t2
g12533	g12533.t1
g12534	g12534.t1
g12535	g12535.t1
g12536	g12536.t1
g12537	g12537.t1
g12538	g12538.t1
g12539	g12539.t1
g12540	g12540.t1
g12541	g12541.t1
g12541	g12541.t2
g12542	g12542.t1
g12543	g12543.t1
g12544	g12544.t1
g12545	g12545.t1
g12546	g12546.t1
g12547	g12547.t1
g12548	g12548.t1
g12549	g12549.t1
g12549	g12549.t2
g12550	g12550.t1
g12551	g12551.t1
g12552	g12552.t1
g12553	g12553.t1
g12554	g12554.t1
g12555	g12555.t1
g12556	g12556.t1
g12557	g12557.t1
g12558	g12558.t1
g12559	g12559.t1
g12560	g12560.t1
g12561	g12561.t1
g12562	g12562.t1
g12563	g12563.t1
g12564	g12564.t1
g12565	g12565.t1
g12566	g12566.t1
g12567	g12567.t1
g12568	g12568.t1
g12569	g12569.t1
g12570	g12570.t1
g19880	g19880.t1
g19881	g19881.t1
g19881	g19881.t2
g19881	g19881.t3
g19882	g19882.t1
g19883	g19883.t1
g19884	g19884.t1
g19885	g19885.t1
g19886	g19886.t1
g19887	g19887.t1
g19888	g19888.t1
g19889	g19889.t1
g19889	g19889.t2
g19890	g19890.t1
g19891	g19891.t1
g19892	g19892.t1
g19893	g19893.t1
g19894	g19894.t1
g19895	g19895.t1
g19896	g19896.t1
g19897	g19897.t1
g19898	g19898.t1
g19899	g19899.t1
g19900	g19900.t1
g19901	g19901.t1
g19902	g19902.t1
g19903	g19903.t1
g19904	g19904.t1
g19905	g19905.t1
g19906	g19906.t1
g19907	g19907.t1
g19908	g19908.t1
g19909	g19909.t1
g19910	g19910.t1
g19911	g19911.t1
g19912	g19912.t1
g19913	g19913.t1
g19914	g19914.t1
g19915	g19915.t1
g19915	g19915.t2
g19916	g19916.t1
g19917	g19917.t1
g19918	g19918.t1
g19919	g19919.t1
g19920	g19920.t1
g19921	g19921.t1
g19922	g19922.t1
g19923	g19923.t1
g19924	g19924.t1
g19925	g19925.t1
g19926	g19926.t1
g19927	g19927.t1
g19928	g19928.t1
g19929	g19929.t1
g19930	g19930.t1
g19931	g19931.t1
g19932	g19932.t1
g19933	g19933.t1
g19934	g19934.t1
g19935	g19935.t1
g19936	g19936.t1
g19937	g19937.t1
g19938	g19938.t1
g19939	g19939.t1
g19940	g19940.t1
g19940	g19940.t2
g19941	g19941.t1
g17106	g17106.t1
g14993	g14993.t1
g7705	g7705.t1
g7706	g7706.t1
g7707	g7707.t1
g7708	g7708.t1
g7708	g7708.t2
g7708	g7708.t3
g7709	g7709.t1
g7710	g7710.t1
g7711	g7711.t1
g7712	g7712.t1
g7713	g7713.t1
g7714	g7714.t1
g7715	g7715.t1
g7716	g7716.t1
g7717	g7717.t1
g7718	g7718.t1
g7719	g7719.t1
g7720	g7720.t1
g7721	g7721.t1
g7722	g7722.t1
g7722	g7722.t2
g7723	g7723.t1
g7724	g7724.t1
g7724	g7724.t2
g7725	g7725.t1
g7726	g7726.t1
g7727	g7727.t1
g7728	g7728.t1
g7729	g7729.t1
g7730	g7730.t1
g7731	g7731.t1
g7731	g7731.t2
g13781	g13781.t1
g11770	g11770.t1
g11771	g11771.t1
g11772	g11772.t1
g11773	g11773.t1
g13174	g13174.t1
g10385	g10385.t1
g10386	g10386.t1
g10387	g10387.t1
g10387	g10387.t2
g26546	g26546.t1
g26547	g26547.t1
g15587	g15587.t1
g15588	g15588.t1
g15589	g15589.t1
g15590	g15590.t1
g15591	g15591.t1
g15592	g15592.t1
g15593	g15593.t1
g15594	g15594.t1
g15595	g15595.t1
g15596	g15596.t1
g15597	g15597.t1
g15598	g15598.t1
g15599	g15599.t1
g15600	g15600.t1
g15601	g15601.t1
g15602	g15602.t1
g15603	g15603.t1
g15604	g15604.t1
g15605	g15605.t1
g15606	g15606.t1
g15607	g15607.t1
g15608	g15608.t1
g15609	g15609.t1
g15610	g15610.t1
g15611	g15611.t1
g15612	g15612.t1
g15613	g15613.t1
g15614	g15614.t1
g15615	g15615.t1
g15616	g15616.t1
g21336	g21336.t1
g21337	g21337.t1
g21338	g21338.t1
g21339	g21339.t1
g21340	g21340.t1
g21341	g21341.t1
g1412	g1412.t1
g1413	g1413.t1
g12066	g12066.t1
g9135	g9135.t1
g26182	g26182.t1
g26183	g26183.t1
g17698	g17698.t1
g17699	g17699.t1
g17700	g17700.t1
g2892	g2892.t1
g2893	g2893.t1
g2894	g2894.t1
g29096	g29096.t1
g29097	g29097.t1
g29098	g29098.t1
g29099	g29099.t1
g29100	g29100.t1
g21979	g21979.t1
g21980	g21980.t1
g21981	g21981.t1
g21982	g21982.t1
g21983	g21983.t1
g21984	g21984.t1
g21985	g21985.t1
g21986	g21986.t1
g21987	g21987.t1
g21988	g21988.t1
g21989	g21989.t1
g21990	g21990.t1
g21991	g21991.t1
g21992	g21992.t1
g21993	g21993.t1
g21994	g21994.t1
g21995	g21995.t1
g21996	g21996.t1
g30941	g30941.t1
g30942	g30942.t1
g30943	g30943.t1
g30944	g30944.t1
g30945	g30945.t1
g30945	g30945.t2
g30946	g30946.t1
g30947	g30947.t1
g30948	g30948.t1
g30949	g30949.t1
g30950	g30950.t1
g30951	g30951.t1
g30952	g30952.t1
g30953	g30953.t1
g30954	g30954.t1
g30955	g30955.t1
g30956	g30956.t1
g30957	g30957.t1
g30958	g30958.t1
g30958	g30958.t2
g30959	g30959.t1
g30960	g30960.t1
g30961	g30961.t1
g30962	g30962.t1
g30963	g30963.t1
g30964	g30964.t1
g30965	g30965.t1
g30966	g30966.t1
g30967	g30967.t1
g30968	g30968.t1
g30969	g30969.t1
g30970	g30970.t1
g30971	g30971.t1
g30972	g30972.t1
g30973	g30973.t1
g30974	g30974.t1
g30974	g30974.t2
g30974	g30974.t3
g30975	g30975.t1
g30975	g30975.t2
g30976	g30976.t1
g30977	g30977.t1
g30978	g30978.t1
g30979	g30979.t1
g30980	g30980.t1
g30981	g30981.t1
g30982	g30982.t1
g30983	g30983.t1
g30983	g30983.t2
g30984	g30984.t1
g30985	g30985.t1
g30986	g30986.t1
g30987	g30987.t1
g30988	g30988.t1
g30989	g30989.t1
g30990	g30990.t1
g30991	g30991.t1
g30992	g30992.t1
g29827	g29827.t1
g29828	g29828.t1
g11878	g11878.t1
g11879	g11879.t1
g28077	g28077.t1
g28078	g28078.t1
g28079	g28079.t1
g28080	g28080.t1
g28081	g28081.t1
g28082	g28082.t1
g28082	g28082.t2
g28082	g28082.t3
g28083	g28083.t1
g28083	g28083.t2
g28084	g28084.t1
g102	g102.t1
g103	g103.t1
g104	g104.t1
g105	g105.t1
g106	g106.t1
g107	g107.t1
g33690	g33690.t1
g33691	g33691.t1
g280	g280.t1
g281	g281.t1
g282	g282.t1
g282	g282.t2
g282	g282.t3
g282	g282.t4
g283	g283.t1
g284	g284.t1
g285	g285.t1
g286	g286.t1
g287	g287.t1
g288	g288.t1
g289	g289.t1
g290	g290.t1
g290	g290.t2
g291	g291.t1
g292	g292.t1
g293	g293.t1
g294	g294.t1
g295	g295.t1
g296	g296.t1
g297	g297.t1
g298	g298.t1
g299	g299.t1
g300	g300.t1
g301	g301.t1
g302	g302.t1
g303	g303.t1
g304	g304.t1
g305	g305.t1
g306	g306.t1
g307	g307.t1
g26603	g26603.t1
g7874	g7874.t1
g7875	g7875.t1
g7876	g7876.t1
g7877	g7877.t1
g7878	g7878.t1
g31993	g31993.t1
g13125	g13125.t1
g13126	g13126.t1
g13127	g13127.t1
g13128	g13128.t1
g13129	g13129.t1
g13130	g13130.t1
g13131	g13131.t1
g13132	g13132.t1
g13133	g13133.t1
g13134	g13134.t1
g13134	g13134.t2
g13135	g13135.t1
g13136	g13136.t1
g13137	g13137.t1
g9896	g9896.t1
g9897	g9897.t1
g9898	g9898.t1
g9899	g9899.t1
g9900	g9900.t1
g9901	g9901.t1
g9902	g9902.t1
g9903	g9903.t1
g9904	g9904.t1
g9905	g9905.t1
g9906	g9906.t1
g9907	g9907.t1
g9908	g9908.t1
g9909	g9909.t1
g9910	g9910.t1
