"","ID","clust"
"dsc-1_MA0919.1","dsc-1_MA0919.1",1
"efl-1_MA0541.1","efl-1_MA0541.1",65
"elt-2_MA1701.1","elt-2_MA1701.1",66
"elt-3_MA0542.1","elt-3_MA0542.1",66
"elt-6_MA1439.1","elt-6_MA1439.1",66
"eor-1_MA0543.1","eor-1_MA0543.1",67
"fkh-2_MA0920.1","fkh-2_MA0920.1",3
"fkh-9_MA1440.1","fkh-9_MA1440.1",3
"fos-1_MA1448.1","fos-1_MA1448.1",16
"hlh-1_MA0545.1","hlh-1_MA0545.1",46
"hlh-30_MA1449.1","hlh-30_MA1449.1",28
"lim-4_MA0923.1","lim-4_MA0923.1",1
"lim-7_MA1441.1","lim-7_MA1441.1",1
"lin-14_MA0261.1","lin-14_MA0261.1",68
"lin-54_MA1450.1","lin-54_MA1450.1",69
"mab-3_MA0262.1","mab-3_MA0262.1",70
"mab-5_MA1442.1","mab-5_MA1442.1",1
"nhr-6_MA1451.1","nhr-6_MA1451.1",71
"pal-1_MA0924.1","pal-1_MA0924.1",1
"pha-4_MA0546.1","pha-4_MA0546.1",3
"pqm-1_MA1703.1","pqm-1_MA1703.1",66
"skn-1_MA0547.1","skn-1_MA0547.1",72
"sma-4_MA0925.1","sma-4_MA0925.1",73
"snpc-4_MA0544.1","snpc-4_MA0544.1",74
"unc-30_MA1443.1","unc-30_MA1443.1",5
"unc-62_MA0918.1","unc-62_MA0918.1",2
"unc-86_MA0926.1","unc-86_MA0926.1",56
"vab-7_MA0927.1","vab-7_MA0927.1",1
"zfh-2_MA0928.1","zfh-2_MA0928.1",1
"zip-8_MA1704.1","zip-8_MA1704.1",58
"Ahr::Arnt_MA0006.1","Ahr::Arnt_MA0006.1",75
"Alx1_MA0854.1","Alx1_MA0854.1",1
"ALX3_MA0634.1","ALX3_MA0634.1",1
"Alx4_MA0853.1","Alx4_MA0853.1",1
"Ar_MA0007.3","Ar_MA0007.3",76
"ARGFX_MA1463.1","ARGFX_MA1463.1",1
"Arid3a_MA0151.1","Arid3a_MA0151.1",1
"Arid3b_MA0601.1","Arid3b_MA0601.1",1
"Arid5a_MA0602.1","Arid5a_MA0602.1",77
"Arnt_MA0004.1","Arnt_MA0004.1",28
"ARNT::HIF1A_MA0259.1","ARNT::HIF1A_MA0259.1",28
"ARNT2_MA1464.1","ARNT2_MA1464.1",28
"Arntl_MA0603.1","Arntl_MA0603.1",28
"Arx_MA0874.1","Arx_MA0874.1",1
"ASCL1_MA1100.2","ASCL1_MA1100.2",46
"ASCL1(var.2)_MA1631.1","ASCL1(var.2)_MA1631.1",46
"Ascl2_MA0816.1","Ascl2_MA0816.1",46
"Atf1_MA0604.1","Atf1_MA0604.1",58
"ATF2_MA1632.1","ATF2_MA1632.1",58
"ATF3_MA0605.2","ATF3_MA0605.2",58
"ATF4_MA0833.2","ATF4_MA0833.2",42
"ATF6_MA1466.1","ATF6_MA1466.1",78
"ATF7_MA0834.1","ATF7_MA0834.1",58
"Atoh1_MA0461.2","Atoh1_MA0461.2",53
"ATOH1(var.2)_MA1467.1","ATOH1(var.2)_MA1467.1",46
"ATOH7_MA1468.1","ATOH7_MA1468.1",53
"BACH1_MA1633.1","BACH1_MA1633.1",16
"Bach1::Mafk_MA0591.1","Bach1::Mafk_MA0591.1",16
"BACH2_MA1101.2","BACH2_MA1101.2",16
"BACH2(var.2)_MA1470.1","BACH2(var.2)_MA1470.1",58
"BARHL1_MA0877.2","BARHL1_MA0877.2",79
"BARHL2_MA0635.1","BARHL2_MA0635.1",79
"BARX1_MA0875.1","BARX1_MA0875.1",1
"BARX2_MA1471.1","BARX2_MA1471.1",1
"BATF_MA1634.1","BATF_MA1634.1",16
"BATF::JUN_MA0462.2","BATF::JUN_MA0462.2",16
"BATF3_MA0835.2","BATF3_MA0835.2",16
"BCL6_MA0463.2","BCL6_MA0463.2",47
"BCL6B_MA0731.1","BCL6B_MA0731.1",47
"Bhlha15_MA0607.1","Bhlha15_MA0607.1",53
"BHLHA15(var.2)_MA1472.1","BHLHA15(var.2)_MA1472.1",46
"BHLHE22_MA0818.1","BHLHE22_MA0818.1",53
"BHLHE22(var.2)_MA1635.1","BHLHE22(var.2)_MA1635.1",46
"BHLHE23_MA0817.1","BHLHE23_MA0817.1",53
"BHLHE40_MA0464.2","BHLHE40_MA0464.2",28
"BHLHE41_MA0636.1","BHLHE41_MA0636.1",28
"BSX_MA0876.1","BSX_MA0876.1",1
"CDX1_MA0878.2","CDX1_MA0878.2",13
"CDX2_MA0465.2","CDX2_MA0465.2",13
"CDX4_MA1473.1","CDX4_MA1473.1",13
"CEBPA_MA0102.4","CEBPA_MA0102.4",42
"CEBPB_MA0466.2","CEBPB_MA0466.2",42
"CEBPD_MA0836.2","CEBPD_MA0836.2",42
"CEBPE_MA0837.1","CEBPE_MA0837.1",42
"CEBPG_MA0838.1","CEBPG_MA0838.1",42
"CEBPG(var.2)_MA1636.1","CEBPG(var.2)_MA1636.1",42
"CENPB_MA0637.1","CENPB_MA0637.1",80
"CLOCK_MA0819.1","CLOCK_MA0819.1",28
"CREB1_MA0018.4","CREB1_MA0018.4",58
"CREB3_MA0638.1","CREB3_MA0638.1",78
"CREB3L1_MA0839.1","CREB3L1_MA0839.1",78
"Creb3l2_MA0608.1","Creb3l2_MA0608.1",28
"CREB3L4_MA1474.1","CREB3L4_MA1474.1",78
"CREB3L4(var.2)_MA1475.1","CREB3L4(var.2)_MA1475.1",58
"Creb5_MA0840.1","Creb5_MA0840.1",58
"CREM_MA0609.2","CREM_MA0609.2",58
"Crx_MA0467.1","Crx_MA0467.1",5
"CTCF_MA0139.1","CTCF_MA0139.1",18
"CTCFL_MA1102.2","CTCFL_MA1102.2",81
"CUX1_MA0754.1","CUX1_MA0754.1",6
"CUX2_MA0755.1","CUX2_MA0755.1",6
"DBP_MA0639.1","DBP_MA0639.1",27
"Ddit3::Cebpa_MA0019.1","Ddit3::Cebpa_MA0019.1",82
"Dlx1_MA0879.1","Dlx1_MA0879.1",1
"Dlx2_MA0885.1","Dlx2_MA0885.1",1
"Dlx3_MA0880.1","Dlx3_MA0880.1",1
"Dlx4_MA0881.1","Dlx4_MA0881.1",1
"DLX5_MA1476.1","DLX5_MA1476.1",1
"DLX6_MA0882.1","DLX6_MA0882.1",1
"Dmbx1_MA0883.1","Dmbx1_MA0883.1",5
"Dmrt1_MA1603.1","Dmrt1_MA1603.1",22
"DMRT3_MA0610.1","DMRT3_MA0610.1",39
"DMRTA2_MA1478.1","DMRTA2_MA1478.1",39
"DMRTC2_MA1479.1","DMRTC2_MA1479.1",39
"DPRX_MA1480.1","DPRX_MA1480.1",5
"DRGX_MA1481.1","DRGX_MA1481.1",1
"Dux_MA0611.1","Dux_MA0611.1",37
"DUX4_MA0468.1","DUX4_MA0468.1",83
"DUXA_MA0884.1","DUXA_MA0884.1",83
"E2F1_MA0024.3","E2F1_MA0024.3",11
"E2F2_MA0864.2","E2F2_MA0864.2",11
"E2F3_MA0469.3","E2F3_MA0469.3",11
"E2F4_MA0470.2","E2F4_MA0470.2",11
"E2F6_MA0471.2","E2F6_MA0471.2",65
"E2F7_MA0758.1","E2F7_MA0758.1",65
"E2F8_MA0865.1","E2F8_MA0865.1",65
"EBF1_MA0154.4","EBF1_MA0154.4",84
"Ebf2_MA1604.1","Ebf2_MA1604.1",84
"EBF3_MA1637.1","EBF3_MA1637.1",84
"EGR1_MA0162.4","EGR1_MA0162.4",85
"EGR2_MA0472.2","EGR2_MA0472.2",85
"EGR3_MA0732.1","EGR3_MA0732.1",85
"EGR4_MA0733.1","EGR4_MA0733.1",85
"EHF_MA0598.3","EHF_MA0598.3",24
"ELF1_MA0473.3","ELF1_MA0473.3",24
"ELF2_MA1483.1","ELF2_MA1483.1",24
"ELF3_MA0640.2","ELF3_MA0640.2",24
"ELF4_MA0641.1","ELF4_MA0641.1",24
"ELF5_MA0136.2","ELF5_MA0136.2",24
"ELK1_MA0028.2","ELK1_MA0028.2",24
"ELK3_MA0759.1","ELK3_MA0759.1",24
"ELK4_MA0076.2","ELK4_MA0076.2",24
"EMX1_MA0612.2","EMX1_MA0612.2",1
"EMX2_MA0886.1","EMX2_MA0886.1",1
"EN1_MA0027.2","EN1_MA0027.2",1
"EN2_MA0642.1","EN2_MA0642.1",1
"EOMES_MA0800.1","EOMES_MA0800.1",86
"ERF_MA0760.1","ERF_MA0760.1",24
"ERG_MA0474.2","ERG_MA0474.2",24
"ESR1_MA0112.3","ESR1_MA0112.3",87
"ESR2_MA0258.2","ESR2_MA0258.2",87
"ESRRA_MA0592.3","ESRRA_MA0592.3",71
"ESRRB_MA0141.3","ESRRB_MA0141.3",71
"Esrrg_MA0643.1","Esrrg_MA0643.1",71
"ESX1_MA0644.1","ESX1_MA0644.1",1
"ETS1_MA0098.3","ETS1_MA0098.3",24
"ETS2_MA1484.1","ETS2_MA1484.1",24
"ETV1_MA0761.2","ETV1_MA0761.2",24
"ETV2_MA0762.1","ETV2_MA0762.1",24
"ETV3_MA0763.1","ETV3_MA0763.1",24
"ETV4_MA0764.2","ETV4_MA0764.2",24
"ETV5_MA0765.2","ETV5_MA0765.2",24
"ETV6_MA0645.1","ETV6_MA0645.1",24
"EVX1_MA0887.1","EVX1_MA0887.1",1
"EVX2_MA0888.1","EVX2_MA0888.1",1
"EWSR1-FLI1_MA0149.1","EWSR1-FLI1_MA0149.1",88
"FERD3L_MA1485.1","FERD3L_MA1485.1",46
"FEV_MA0156.2","FEV_MA0156.2",24
"FIGLA_MA0820.1","FIGLA_MA0820.1",46
"FLI1_MA0475.2","FLI1_MA0475.2",24
"FOS_MA0476.1","FOS_MA0476.1",16
"FOS::JUN_MA0099.3","FOS::JUN_MA0099.3",16
"FOS::JUN(var.2)_MA1126.1","FOS::JUN(var.2)_MA1126.1",58
"FOS::JUNB_MA1134.1","FOS::JUNB_MA1134.1",16
"FOS::JUND_MA1141.1","FOS::JUND_MA1141.1",16
"FOSB::JUN_MA1127.1","FOSB::JUN_MA1127.1",58
"FOSB::JUNB_MA1135.1","FOSB::JUNB_MA1135.1",16
"FOSB::JUNB(var.2)_MA1136.1","FOSB::JUNB(var.2)_MA1136.1",58
"FOSL1_MA0477.2","FOSL1_MA0477.2",16
"FOSL1::JUN_MA1128.1","FOSL1::JUN_MA1128.1",16
"FOSL1::JUN(var.2)_MA1129.1","FOSL1::JUN(var.2)_MA1129.1",58
"FOSL1::JUNB_MA1137.1","FOSL1::JUNB_MA1137.1",16
"FOSL1::JUND_MA1142.1","FOSL1::JUND_MA1142.1",16
"FOSL1::JUND(var.2)_MA1143.1","FOSL1::JUND(var.2)_MA1143.1",58
"FOSL2_MA0478.1","FOSL2_MA0478.1",16
"FOSL2::JUN_MA1130.1","FOSL2::JUN_MA1130.1",16
"FOSL2::JUN(var.2)_MA1131.1","FOSL2::JUN(var.2)_MA1131.1",58
"FOSL2::JUNB_MA1138.1","FOSL2::JUNB_MA1138.1",16
"FOSL2::JUNB(var.2)_MA1139.1","FOSL2::JUNB(var.2)_MA1139.1",58
"FOSL2::JUND_MA1144.1","FOSL2::JUND_MA1144.1",16
"FOSL2::JUND(var.2)_MA1145.1","FOSL2::JUND(var.2)_MA1145.1",58
"FOXA1_MA0148.4","FOXA1_MA0148.4",3
"FOXA2_MA0047.3","FOXA2_MA0047.3",3
"FOXA3_MA1683.1","FOXA3_MA1683.1",3
"FOXB1_MA0845.1","FOXB1_MA0845.1",3
"FOXC1_MA0032.2","FOXC1_MA0032.2",3
"FOXC2_MA0846.1","FOXC2_MA0846.1",3
"FOXD1_MA0031.1","FOXD1_MA0031.1",3
"FOXD2_MA0847.2","FOXD2_MA0847.2",3
"Foxd3_MA0041.1","Foxd3_MA0041.1",3
"FOXE1_MA1487.1","FOXE1_MA1487.1",3
"Foxf1_MA1606.1","Foxf1_MA1606.1",3
"FOXF2_MA0030.1","FOXF2_MA0030.1",3
"FOXG1_MA0613.1","FOXG1_MA0613.1",3
"FOXH1_MA0479.1","FOXH1_MA0479.1",89
"FOXI1_MA0042.2","FOXI1_MA0042.2",3
"Foxj2_MA0614.1","Foxj2_MA0614.1",3
"Foxj3_MA0851.1","Foxj3_MA0851.1",3
"FOXK1_MA0852.2","FOXK1_MA0852.2",3
"FOXK2_MA1103.2","FOXK2_MA1103.2",3
"FOXL1_MA0033.2","FOXL1_MA0033.2",3
"Foxl2_MA1607.1","Foxl2_MA1607.1",3
"FOXN3_MA1489.1","FOXN3_MA1489.1",3
"Foxo1_MA0480.1","Foxo1_MA0480.1",3
"FOXO3_MA0157.2","FOXO3_MA0157.2",3
"FOXO4_MA0848.1","FOXO4_MA0848.1",3
"FOXO6_MA0849.1","FOXO6_MA0849.1",3
"FOXP1_MA0481.3","FOXP1_MA0481.3",3
"FOXP2_MA0593.1","FOXP2_MA0593.1",3
"FOXP3_MA0850.1","FOXP3_MA0850.1",3
"Foxq1_MA0040.1","Foxq1_MA0040.1",3
"GABPA_MA0062.3","GABPA_MA0062.3",24
"GATA1_MA0035.4","GATA1_MA0035.4",66
"GATA1::TAL1_MA0140.2","GATA1::TAL1_MA0140.2",66
"GATA2_MA0036.3","GATA2_MA0036.3",66
"GATA3_MA0037.3","GATA3_MA0037.3",66
"GATA4_MA0482.2","GATA4_MA0482.2",66
"GATA5_MA0766.2","GATA5_MA0766.2",66
"GATA6_MA1104.2","GATA6_MA1104.2",66
"GBX1_MA0889.1","GBX1_MA0889.1",1
"GBX2_MA0890.1","GBX2_MA0890.1",1
"GCM1_MA0646.1","GCM1_MA0646.1",25
"GCM2_MA0767.1","GCM2_MA0767.1",25
"GFI1_MA0038.2","GFI1_MA0038.2",90
"Gfi1b_MA0483.1","Gfi1b_MA0483.1",90
"GLI2_MA0734.2","GLI2_MA0734.2",91
"GLI3_MA1491.1","GLI3_MA1491.1",91
"GLIS1_MA0735.1","GLIS1_MA0735.1",91
"GLIS2_MA0736.1","GLIS2_MA0736.1",91
"GLIS3_MA0737.1","GLIS3_MA0737.1",91
"Gmeb1_MA0615.1","Gmeb1_MA0615.1",27
"GMEB2_MA0862.1","GMEB2_MA0862.1",27
"GRHL1_MA0647.1","GRHL1_MA0647.1",26
"GRHL2_MA1105.2","GRHL2_MA1105.2",26
"GSC_MA0648.1","GSC_MA0648.1",5
"GSC2_MA0891.1","GSC2_MA0891.1",5
"GSX1_MA0892.1","GSX1_MA0892.1",1
"GSX2_MA0893.2","GSX2_MA0893.2",1
"Hand1::Tcf3_MA0092.1","Hand1::Tcf3_MA0092.1",30
"HAND2_MA1638.1","HAND2_MA1638.1",53
"HES1_MA1099.2","HES1_MA1099.2",28
"HES2_MA0616.2","HES2_MA0616.2",28
"HES5_MA0821.1","HES5_MA0821.1",28
"HES6_MA1493.1","HES6_MA1493.1",28
"HES7_MA0822.1","HES7_MA0822.1",28
"HESX1_MA0894.1","HESX1_MA0894.1",1
"HEY1_MA0823.1","HEY1_MA0823.1",28
"HEY2_MA0649.1","HEY2_MA0649.1",28
"Hic1_MA0739.1","Hic1_MA0739.1",92
"HIC2_MA0738.1","HIC2_MA0738.1",92
"HIF1A_MA1106.1","HIF1A_MA1106.1",28
"HINFP_MA0131.2","HINFP_MA0131.2",93
"HLF_MA0043.3","HLF_MA0043.3",42
"HLTF_MA0109.1","HLTF_MA0109.1",94
"HMBOX1_MA0895.1","HMBOX1_MA0895.1",1
"Hmx1_MA0896.1","Hmx1_MA0896.1",1
"Hmx2_MA0897.1","Hmx2_MA0897.1",1
"Hmx3_MA0898.1","Hmx3_MA0898.1",1
"HNF1A_MA0046.2","HNF1A_MA0046.2",95
"HNF1B_MA0153.2","HNF1B_MA0153.2",95
"HNF4A_MA0114.4","HNF4A_MA0114.4",51
"HNF4A(var.2)_MA1494.1","HNF4A(var.2)_MA1494.1",96
"HNF4G_MA0484.2","HNF4G_MA0484.2",51
"HOXA1_MA1495.1","HOXA1_MA1495.1",1
"HOXA10_MA0899.1","HOXA10_MA0899.1",13
"Hoxa11_MA0911.1","Hoxa11_MA0911.1",97
"HOXA13_MA0650.2","HOXA13_MA0650.2",13
"HOXA2_MA0900.2","HOXA2_MA0900.2",1
"HOXA4_MA1496.1","HOXA4_MA1496.1",1
"HOXA5_MA0158.2","HOXA5_MA0158.2",1
"HOXA6_MA1497.1","HOXA6_MA1497.1",1
"HOXA7_MA1498.1","HOXA7_MA1498.1",1
"HOXA9_MA0594.2","HOXA9_MA0594.2",97
"HOXB13_MA0901.2","HOXB13_MA0901.2",13
"HOXB2_MA0902.2","HOXB2_MA0902.2",1
"HOXB3_MA0903.1","HOXB3_MA0903.1",1
"HOXB4_MA1499.1","HOXB4_MA1499.1",1
"HOXB5_MA0904.2","HOXB5_MA0904.2",1
"HOXB6_MA1500.1","HOXB6_MA1500.1",1
"HOXB7_MA1501.1","HOXB7_MA1501.1",1
"HOXB8_MA1502.1","HOXB8_MA1502.1",1
"HOXB9_MA1503.1","HOXB9_MA1503.1",97
"HOXC10_MA0905.1","HOXC10_MA0905.1",97
"HOXC11_MA0651.1","HOXC11_MA0651.1",97
"HOXC12_MA0906.1","HOXC12_MA0906.1",97
"HOXC13_MA0907.1","HOXC13_MA0907.1",97
"HOXC4_MA1504.1","HOXC4_MA1504.1",1
"HOXC8_MA1505.1","HOXC8_MA1505.1",1
"HOXC9_MA0485.2","HOXC9_MA0485.2",97
"HOXD10_MA1506.1","HOXD10_MA1506.1",97
"HOXD11_MA0908.1","HOXD11_MA0908.1",97
"HOXD12_MA0873.1","HOXD12_MA0873.1",97
"HOXD13_MA0909.2","HOXD13_MA0909.2",13
"HOXD3_MA0912.2","HOXD3_MA0912.2",1
"HOXD4_MA1507.1","HOXD4_MA1507.1",1
"HOXD8_MA0910.2","HOXD8_MA0910.2",1
"HOXD9_MA0913.2","HOXD9_MA0913.2",13
"HSF1_MA0486.2","HSF1_MA0486.2",98
"HSF2_MA0770.1","HSF2_MA0770.1",98
"HSF4_MA0771.1","HSF4_MA0771.1",98
"IKZF1_MA1508.1","IKZF1_MA1508.1",24
"INSM1_MA0155.1","INSM1_MA0155.1",81
"IRF1_MA0050.2","IRF1_MA0050.2",59
"IRF2_MA0051.1","IRF2_MA0051.1",59
"IRF3_MA1418.1","IRF3_MA1418.1",59
"IRF4_MA1419.1","IRF4_MA1419.1",59
"IRF5_MA1420.1","IRF5_MA1420.1",59
"IRF6_MA1509.1","IRF6_MA1509.1",99
"IRF7_MA0772.1","IRF7_MA0772.1",59
"IRF8_MA0652.1","IRF8_MA0652.1",59
"IRF9_MA0653.1","IRF9_MA0653.1",59
"Isl1_MA1608.1","Isl1_MA1608.1",1
"ISL2_MA0914.1","ISL2_MA0914.1",4
"ISX_MA0654.1","ISX_MA0654.1",1
"JDP2_MA0655.1","JDP2_MA0655.1",16
"JDP2(var.2)_MA0656.1","JDP2(var.2)_MA0656.1",58
"JUN_MA0488.1","JUN_MA0488.1",58
"JUN::JUNB_MA1132.1","JUN::JUNB_MA1132.1",16
"JUN::JUNB(var.2)_MA1133.1","JUN::JUNB(var.2)_MA1133.1",58
"JUN(var.2)_MA0489.1","JUN(var.2)_MA0489.1",16
"JUNB_MA0490.2","JUNB_MA0490.2",16
"JUNB(var.2)_MA1140.2","JUNB(var.2)_MA1140.2",58
"JUND_MA0491.2","JUND_MA0491.2",16
"JUND(var.2)_MA0492.1","JUND(var.2)_MA0492.1",58
"Klf1_MA0493.1","Klf1_MA0493.1",12
"KLF10_MA1511.1","KLF10_MA1511.1",12
"KLF11_MA1512.1","KLF11_MA1512.1",12
"Klf12_MA0742.1","Klf12_MA0742.1",12
"KLF13_MA0657.1","KLF13_MA0657.1",12
"KLF14_MA0740.1","KLF14_MA0740.1",12
